Original_Name,Genus,Specific_Epithet,Duplicate_Name,Suspected_Issue,Accepted_Name,Status,Notes
Afzelia africana,Afzelia,africana,False,,,,
Albizia auxilary,Albizia,auxilary,False,,,,
Albizia ferruginea,Albizia,ferruginea,False,,,,
Albizia zygia,Albizia,zygia,False,,,,
Alstonei bonei,Alstonei,bonei,False,Possible spelling error,,,
Alstonei boonei,Alstonei,boonei,False,Possible spelling error,,,
Alstonia  boonei,Alstonia,boonei,False,,,,
Alstonia boonei,Alstonia,boonei,False,,,,
Amphimas tetracoides,Amphimas,tetracoides,False,,,,
Aningeria robusta,Aningeria,robusta,False,,,,
Annonidium manni,Annonidium,manni,False,,,,
Anthocleista djalonensis,Anthocleista,djalonensis,False,,,,
Anthocliesta vogeli,Anthocliesta,vogeli,False,Possible spelling error,,,
Anthocliesta vogelii,Anthocliesta,vogelii,False,Possible spelling error,,,
Anthonotha macrophylla,Anthonotha,macrophylla,False,,,,
Artocarpus communis,Artocarpus,communis,False,,,,
Artocarpus  communis,Artocarpus,communis,False,,,,
Bambusa vulgaris,Bambusa,vulgaris,False,,,,
Baphia nitida,Baphia,nitida,False,,,,
Bligha sapida,Bligha,sapida,False,Possible spelling error,,,
Blighia Sapida,Blighia,Sapida,False,,,,
Blighia sapida,Blighia,sapida,False,,,,
Blighia unijigata,Blighia,unijigata,False,,,,
Bombax buonopozene,Bombax,buonopozene,False,,,,
Bombax buonopozense,Bombax,buonopozense,False,,,,
Bosquei angolensis,Bosquei,angolensis,False,Possible spelling error,,,
Bosqueia angolensis,Bosqueia,angolensis,False,,,,
Brachystegia eurycoma,Brachystegia,eurycoma,False,,,,
Bridelia ferruginea,Bridelia,ferruginea,False,,,,
Carica papaya,Carica,papaya,False,,,,
Cassia saimen,Cassia,saimen,False,,,,
Ceiba pentandra,Ceiba,pentandra,False,,,,
Celtis zenkeri,Celtis,zenkeri,False,,,,
Chrysophyllum albidum,Chrysophyllum,albidum,False,,,,
Chrysophylum albidum,Chrysophylum,albidum,False,,,,
Citrus sinenses,Citrus,sinenses,False,,,,
Cleistoformis patens,Cleistoformis,patens,False,,,,
Cleistopholis Patens,Cleistopholis,Patens,False,,,,
Cleistopholis patens,Cleistopholis,patens,False,,,,
Cola Species,Cola,Species,False,Genus-level identification,,,
Cola nitida,Cola,nitida,False,,,,
Corynante pachycercus,Corynante,pachycercus,False,,,,
Dialium guineense,Dialium,guineense,False,,,,
Dialium guinensis,Dialium,guinensis,False,,,,
Diallium guineense,Diallium,guineense,False,,,,
Dillenia indica,Dillenia,indica,False,,,,
Diospyros dendo,Diospyros,dendo,False,,,,
Diospyros soubreana,Diospyros,soubreana,False,,,,
Diospyros undebunda,Diospyros,undebunda,False,,,,
Diospyrous dendo,Diospyrous,dendo,False,,,,
Diospyrous melistoformis,Diospyrous,melistoformis,False,,,,
Diospyrous mespiliformis,Diospyrous,mespiliformis,False,,,,
Dracena manni,Dracena,manni,False,,,,
Drypetes species,Drypetes,species,False,Genus-level identification,,,
Drypetes,Drypetes,,False,Incomplete scientific name,,,
Elaeis guineense,Elaeis,guineense,False,,,,
Elaeis guineensis,Elaeis,guineensis,False,,,,
Elaeis guinensis,Elaeis,guinensis,False,,,,
Ficus exasperata,Ficus,exasperata,False,,,,
Ficus mucosa,Ficus,mucosa,False,,,,
Ficus mucuso,Ficus,mucuso,False,,,,
Funtumia africana,Funtumia,africana,False,,,,
Funtumia elastica,Funtumia,elastica,False,,,,
Garcinia kola,Garcinia,kola,False,,,,
Gmelina arborea,Gmelina,arborea,False,,,,
Grewia pubescens,Grewia,pubescens,False,,,,
Harungana madagascariensis,Harungana,madagascariensis,False,,,,
Hexalobus crispiflorus,Hexalobus,crispiflorus,False,,,,
Hildegardia barteri,Hildegardia,barteri,False,,,,
Holarrhena floribunda,Holarrhena,floribunda,False,,,,
Homalium alymeri,Homalium,alymeri,False,,,,
Homalium aylmeri,Homalium,aylmeri,False,,,,
Homalium  aylmeri,Homalium,aylmeri,False,,,,
Lecaniodiscus cupaniodes,Lecaniodiscus,cupaniodes,False,,,,
Lecaniodiscus cupanioides,Lecaniodiscus,cupanioides,False,,,,
Lonchocarpus cilliata,Lonchocarpus,cilliata,False,,,,
Lonchocarpus cyanescens,Lonchocarpus,cyanescens,False,,,,
Macaranga barteri,Macaranga,barteri,False,,,,
Macranga bateri,Macranga,bateri,False,Possible spelling error,,,
Maesobotrya barteri,Maesobotrya,barteri,False,,,,
Margaritaria discoidea,Margaritaria,discoidea,False,,,,
Margartaria discoidea,Margartaria,discoidea,False,,,,
Melacantha alnifolia,Melacantha,alnifolia,False,,,,
Milicia excelsa,Milicia,excelsa,False,,,,
Millettia thoningii,Millettia,thoningii,False,,,,
Mitragyna cilliata,Mitragyna,cilliata,False,,,,
Monodora tenuifolia,Monodora,tenuifolia,False,,,,
Musa sapiensis,Musa,sapiensis,False,,,,
