Raw_Record_ID,Source_Species,Source_Family,Management_Zone,Habitat,Total_DBH,Mean_DBH,Total_Height,Mean_Height,Basal_Area,BA_Percent,Source_Table,Source_Page,Source_Row,QC_Flag
OMO_STR_0001,Alstonia  boonei,Apocynaceae,Core,Stream,181.7,36.34,177.9,35.58,1037.6,2.64,4.1,1,2,
OMO_STR_0002,Blighia sapida,Sapindaceae,Core,Stream,233.8,33.4,246.4,35.2,876.51,2.23,4.1,1,3,
OMO_STR_0003,Bombax buonopozene,Bombacaceae,Core,Stream,126.1,31.5,126.2,31.5,779.63,1.98,4.1,1,4,
OMO_STR_0004,Bosquei angolensis,Moraceae,Core,Stream,86.2,28.7,34.3,28.1,647.19,1.65,4.1,1,5,
OMO_STR_0005,Celtis zenkeri,Ulmaceae,Core,Stream,235.8,29.4,235,31,679.14,1.73,4.1,1,6,
OMO_STR_0006,Cleistopholis Patens,Annonaceae,Core,Stream,248.5,31,263.4,34.9,755.07,1.92,4.1,1,7,
OMO_STR_0007,Dialium guinensis,Caesalpiniodeae,Core,Stream,66.2,33.1,65.2,32.6,860.84,2.19,4.1,1,8,
OMO_STR_0008,Diospyros dendo,Ebenaceae,Core,Stream,653.2,21.5,649.4,24.9,363.2,0.92,4.1,1,9,
OMO_STR_0009,Drypetes,Euphorbiaceae,Core,Stream,680.2,25.1,696.8,25.8,495.01,1.26,4.1,1,10,
OMO_STR_0010,Ficus exasperata,Moraceae,Core,Stream,225.6,56.4,217.6,54.4,2499.3,6.37,4.1,1,11,
OMO_STR_0011,Grewia pubescens,Tiliaceae,Core,Stream,409.5,31.5,425,32.6,779.63,1.98,4.1,1,12,
OMO_STR_0012,Homalium alymeri,Rubiceae,Core,Stream,312.8,52.1,30.7,50.45,2132.8,5.44,4.1,1,13,
OMO_STR_0013,Lecaniodiscus cupanioides,Sapindaceae,Core,Stream,48,23.7,52,26,441.33,1.12,4.1,1,14,
OMO_STR_0014,Margaritaria discoidea,Euphorbiaceae,Core,Stream,199.2,24.9,210.8,26.4,487.15,1.24,4.1,1,15,
OMO_STR_0015,Musanga cecropoides,Moraceae,Core,Stream,350,26.9,280.9,21.6,568.55,1.45,4.1,1,16,
OMO_STR_0016,Nesodogornia papaverivera,Sterculiaceae,Core,Stream,105,52.5,82,41,2165.6,5.52,4.1,1,17,
OMO_STR_0017,Pavetta crassipes,Rubiaceae,Core,Stream,64,32,66,33,804.57,2.05,4.1,1,18,
OMO_STR_0018,Picralima nitida,Apocynaceae,Core,Stream,232.7,46.5,239.4,47.8,1698.9,4.33,4.1,1,19,DUPLICATE_SOURCE_RECORD
OMO_STR_0019,Picralima nitida,Apocynaceae,Core,Stream,221.2,55.3,226.9,56.7,2402.8,6.13,4.1,1,20,DUPLICATE_SOURCE_RECORD
OMO_STR_0020,Pycnanthus angolensis,Myristicaceae,Core,Stream,310.9,77.7,268,67.5,4743.6,12.10,4.1,1,21,
OMO_STR_0021,Ricinodendron heudeloti,Euphorbiaceae,Core,Stream,510.1,102.2,410.5,82.1,8206.7,20.94,4.1,1,22,
OMO_STR_0022,Sterculia rhinopetala,Sterculiaceae,Core,Stream,395.3,49.4,361.7,45.2,1917.4,4.89,4.1,1,23,
OMO_STR_0023,Sterculia tragacantha,Sterculiaceae,Core,Stream,112.9,37.6,117.1,39,1110.8,2.83,4.1,1,24,
OMO_STR_0024,Strombosia pustulata,Olacaceae,Core,Stream,469.3,42.6,384.7,35.2,1425.9,3.63,4.1,1,25,
OMO_STR_0025,Trichilia monadelpha,meliaceae,Core,Stream,407.5,40.7,392.8,39.2,1301.5,3.32,4.1,1,26,
OMO_STR_0026,Amphimas tetracoides,Papilionoideae,Core,Major River,64.2,21.4,66.5,22.1,359.8,2.02,4.2,2,1,
OMO_STR_0027,Annonidium manni,Annonacaceae,Core,Major River,271.6,30.2,267.1,29.6,716.6,4.02,4.2,2,2,
OMO_STR_0028,Anthonotha macrophylla,Caesalpinoideae,Core,Major River,91,18.2,84.5,16.9,260.2,1.46,4.2,2,3,
OMO_STR_0029,Blighia Sapida,Sapindaceae,Core,Major River,40.4,20.2,48.5,24.25,320.6,1.80,4.2,2,4,
OMO_STR_0030,Celtis zenkeri,Ulmaceae,Core,Major River,125,25,105.8,21.16,491.0,2.75,4.2,2,5,
OMO_STR_0031,Cleistopholis patens,Annonaceae,Core,Major River,199,39.8,201.7,40.34,1244.,6.98,4.2,2,6,
OMO_STR_0032,Diospyros dendo,Ebenaceae,Core,Major River,1123.2,19.4,1183.7,20.4,295.7,1.66,4.2,2,7,
OMO_STR_0033,Drypetes,Euphorbiaceae,Core,Major River,595,13.8,95.3,22.1,149.6,0.84,4.2,2,8,
OMO_STR_0034,Funtumia elastica,Apocyanaceae,Core,Major River,170.8,24.4,204.5,29.2,467.7,2.62,4.2,2,9,
OMO_STR_0035,Homalium aylmeri,Samydaceae,Core,Major River,354.5,32.2,383.1,34.8,814.6,4.57,4.2,2,10,
OMO_STR_0036,irvinga gabonensis,Irvingaceae,Core,Major River,118.3,23.6,13.8,22.7,437.6,2.45,4.2,2,11,
OMO_STR_0037,Lecaniodiscus cupanioides,Sapindaceae,Core,Major River,194,19.4,213.4,21.34,295.7,1.66,4.2,2,12,
OMO_STR_0038,Lonchocarpus ciliata,Fabaceae,Core,Major River,190.7,23.8,194,24.25,445.0,2.49,4.2,2,13,
OMO_STR_0039,Margaritaria discoidea,Euphorbiaceae,Core,Major River,294.3,26.75,300.6,27.3,562.2,3.15,4.2,2,14,
OMO_STR_0040,Millettia thoningii,Papilionoideae,Core,Major River,56.4,18.8,53.3,17.8,277.7,1.55,4.2,2,15,
OMO_STR_0041,Monodora lenuifolia,Monimiaceae,Core,Major River,185.8,26.5,185.9,26.5,551.7,3.09,4.2,2,16,
OMO_STR_0042,Nesodogornia papaverifera,Sterculiaceae,Core,Major River,283,56.6,274.4,54.8,2517.,14.13,4.2,2,17,
OMO_STR_0043,Picralima nitida,Apocyanaceae,Core,Major River,539.1,20.7,528.5,20.3,336.6,1.89,4.2,2,18,
OMO_STR_0044,Pycanthus angolensis,Myristiacaceae,Core,Major River,182.5,26,181.1,25.8,531.1,2.98,4.2,2,19,
OMO_STR_0045,Ricinodendron heudeloti,Euphorbiaceae,Core,Major River,324.9,64.8,332.2,66.5,3299.,18.52,4.2,2,20,
OMO_STR_0046,Scotellia coricea,Flacourtiaceae,Core,Major River,82.6,27.5,99.8,33.2,594.2,3.33,4.2,2,21,
OMO_STR_0047,Sterculia rhinopetala,Sterculiaceae,Core,Major River,133,16.6,119.5,14.9,216.5,1.21,4.2,2,22,
OMO_STR_0048,Strombosia  pustulata,Olacaceae,Core,Major River,734.8,27.2,723.9,26.8,581.3,3.26,4.2,2,23,
OMO_STR_0049,Trichilia gilgiana,Meliaceae,Core,Major River,33.9,16.9,41,20.5,224.4,1.25,4.2,2,24,
OMO_STR_0050,Trichilia monadelpha,Meliaceae,Core,Major River,84.5,21,75.1,18.7,346.5,1.94,4.2,2,25,
OMO_STR_0051,Uapaca heudelotii,Euphorbiaceae,Core,Major River,130,43.3,164.8,54.9,1473.,8.27,4.2,2,26,
OMO_STR_0052,Annonidium manni,Annonaceae,Core,Upland,143.3,20.4,146.6,20.9,326.9,2.93,4.3,3,32,
OMO_STR_0053,Baphia nitida,Sapindaceae,Core,Upland,124.7,17.8,135.3,19.3,248.9,2.23,4.3,3,33,
OMO_STR_0054,Celtis zenkeri,Ulmaceae,Core,Upland,143.3,20.6,149.7,21.31,333.4,2.98,4.3,3,34,
OMO_STR_0055,Cola species,Sterculiaceae,Core,Upland,40.6,13.5,42.4,14.1,143.2,1.28,4.3,3,35,
OMO_STR_0056,Diospyrous dendo,Ebenaceae,Core,Upland,1785.,20.5,1874.9,21.5,330.2,2.95,4.3,3,36,
OMO_STR_0057,Diospyros mespiliformis,Ebenaceae,Core,Upland,76.2,24.2,78.2,26,460.1,4.12,4.3,3,37,
OMO_STR_0058,Funtumia elastica,Apocyanaceae,Core,Upland,129.8,21.6,134.5,22.4,366.5,3.28,4.3,3,38,
OMO_STR_0059,Garcinia kola,Guttiferae,Core,Upland,105.6,26.4,109.1,27.2,547.6,4.90,4.3,3,39,
OMO_STR_0060,Hildergardia baarteri,Malvaceae,Core,Upland,69.1,23,63.7,21.2,415.6,3.72,4.3,3,40,
OMO_STR_0061,Lecaniodiscus cupaniodes,Sapindaceae,Core,Upland,54,18,54.8,18.2,254.5,2.28,4.3,3,41,
OMO_STR_0062,Maesobotrya barteri,Euphorbiaceae,Core,Upland,11.1,11.1,24.4,24.4,96.8,0.86,4.3,3,42,
OMO_STR_0063,Magaritaria discoidea,Euphorbiaceae,Core,Upland,207.2,23,215.4,23.9,415.6,3.72,4.3,3,43,
OMO_STR_0064,Mesobotyra barteri,Euphorbiaceae,Core,Upland,202,22.4,210,23.3,394.2,3.53,4.3,3,44,
OMO_STR_0065,Nauclea diderrichi,Rubiaceae,Core,Upland,72,24,83.1,27.7,452.5,4.05,4.3,3,45,
OMO_STR_0066,Nesorgodonia papaverifera,Sterculiaceae,Core,Upland,392,32.7,409.7,34.1,840.1,7.52,4.3,3,46,
OMO_STR_0067,Pterocarpus osun,Papillionoides,Core,Upland,124.5,41.5,128,42.6,1353.,12.12,4.3,3,47,
OMO_STR_0068,Pycnantus angolensis,Myristiaceae,Core,Upland,88.4,22.1,98.3,24.5,383.7,3.43,4.3,3,48,
