QC_Level,Raw_Record_ID,Source_Table,Source_Species,Canonical_Species,Management_Zone,Habitat,QC_Flag,QC_Status,QC_Detail
RECORD,OMO_STR_0001,4.1,Alstonia  boonei,Alstonia boonei,Core,Stream,NAME_HARMONIZED,FLAGGED,
RECORD,OMO_STR_0003,4.1,Bombax buonopozene,Bombax buonopozense,Core,Stream,NAME_HARMONIZED,FLAGGED,
RECORD,OMO_STR_0004,4.1,Bosquei angolensis,Bosqueia angolensis,Core,Stream,NAME_HARMONIZED,FLAGGED,
RECORD,OMO_STR_0004,4.1,Bosquei angolensis,Bosqueia angolensis,Core,Stream,TOTAL_MEAN_INCONSISTENT,FLAGGED,
RECORD,OMO_STR_0005,4.1,Celtis zenkeri,Celtis zenkeri,Core,Stream,TOTAL_MEAN_INCONSISTENT,FLAGGED,
RECORD,OMO_STR_0006,4.1,Cleistopholis Patens,Cleistopholis patens,Core,Stream,NAME_HARMONIZED,FLAGGED,
RECORD,OMO_STR_0006,4.1,Cleistopholis Patens,Cleistopholis patens,Core,Stream,TOTAL_MEAN_INCONSISTENT,FLAGGED,
RECORD,OMO_STR_0008,4.1,Diospyros dendo,Diospyros dendo,Core,Stream,TOTAL_MEAN_INCONSISTENT,FLAGGED,
RECORD,OMO_STR_0012,4.1,Homalium alymeri,Homalium alymeri,Core,Stream,TOTAL_MEAN_INCONSISTENT,FLAGGED,
RECORD,OMO_STR_0017,4.1,Pavetta crassipes,,Core,Stream,NOT_IN_CANONICAL_127,FLAGGED,
RECORD,OMO_STR_0018,4.1,Picralima nitida,Picralima nitida,Core,Stream,DUPLICATE_SOURCE_RECORD,FLAGGED,
RECORD,OMO_STR_0019,4.1,Picralima nitida,Picralima nitida,Core,Stream,DUPLICATE_SOURCE_RECORD,FLAGGED,
RECORD,OMO_STR_0029,4.2,Blighia Sapida,Blighia sapida,Core,Major River,NAME_HARMONIZED,FLAGGED,
RECORD,OMO_STR_0033,4.2,Drypetes,Drypetes,Core,Major River,TOTAL_MEAN_INCONSISTENT,FLAGGED,
RECORD,OMO_STR_0036,4.2,irvinga gabonensis,Irvinga gabonensis,Core,Major River,NAME_HARMONIZED,FLAGGED,
RECORD,OMO_STR_0036,4.2,irvinga gabonensis,Irvinga gabonensis,Core,Major River,TOTAL_MEAN_INCONSISTENT,FLAGGED,
RECORD,OMO_STR_0038,4.2,Lonchocarpus ciliata,Lonchocarpus cilliata,Core,Major River,NAME_HARMONIZED,FLAGGED,
RECORD,OMO_STR_0041,4.2,Monodora lenuifolia,Monodora tenuifolia,Core,Major River,NAME_HARMONIZED,FLAGGED,
RECORD,OMO_STR_0048,4.2,Strombosia  pustulata,Strombosia pustulata,Core,Major River,NAME_HARMONIZED,FLAGGED,
