Species,Plot1,Plot2,Plot3,Plot4,Plot5,Plot6,Plot7,Plot8,Plot9,Plot10,Frequency,Individuals,Density,Relative_Density,Relative_Frequency,RIV,Zone,Habitat
Alstonei boonei,1.0,,,,,1.0,,,,1.0,2,2,0.0027,1.156,2.04,1.5984,Buffer,Major River
Blighia sapida,2.0,,1.0,1.0,,,1.0,,1.0,1.0,5,5,0.0068,2.8901,5.102,3.9961,Buffer,Major River
Bombax buonopozene,,,,2.0,1.0,2.0,1.0,,1.0,,5,7,0.0096,4.0462,5.102,4.5741,Buffer,Major River
Bosqueia angolensis,,,,2.0,,,1.0,,1.0,,3,4,0.0055,2.3121,3.0612,2.6866,Buffer,Major River
Celtis zenkeri,,1.0,,1.0,1.0,,1.0,2.0,,,4,5,0.0068,2.8901,4.0816,3.4859,Buffer,Major River
Cleistopholis patens,1.0,2.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,7,8,0.011,4.6242,7.1428,5.8835,Buffer,Major River
Diallium guineense,,,,,,,1.0,,1.0,,2,2,0.0027,1.156,2.0408,1.5984,Buffer,Major River
Dillenia indica,,,,,,1.0,,,1.0,,2,2,0.0027,1.156,2.0408,1.5984,Buffer,Major River
Diospyros dendo,5.0,1.0,6.0,4.0,,4.0,2.0,5.0,1.0,2.0,9,30,0.0413,17.341,9.1836,13.262,Buffer,Major River
Ficus exasperata,1.0,,,,,1.0,,,,2.0,3,4,0.0055,2.3121,3.0617,2.6866,Buffer,Major River
Grewia pubescens,5.0,2.0,1.0,,,3.0,,,1.0,3.0,6,15,0.0206,8.6705,6.1224,7.3964,Buffer,Major River
Homalium aylmeri,,,2.0,1.0,,1.0,,,1.0,,4,5,0.0068,2.8901,4.0816,3.4859,Buffer,Major River
Lecaniodiscus cupaniodes,,1.0,,,,,,1.0,,,2,2,0.0027,1.156,2.0408,1.5984,Buffer,Major River
Margartaria discoidea,,3.0,,,,,,1.0,,2.0,3,6,0.0082,3.4682,3.0612,3.2647,Buffer,Major River
Musanga cecropioides,1.0,,2.0,1.0,2.0,2.0,2.0,,1.0,1.0,8,12,0.0165,6.9364,8.1632,7.5498,Buffer,Major River
Nesogordonia papaverifera,,,1.0,,,,,,,,1,1,0.0013,0.578,1.0204,0.7992,Buffer,Major River
Pavetta Corymbosia,,,,,,,1.0,,,,1,1,0.0013,0.578,1.0204,0.7992,Buffer,Major River
Picralima nitida,,1.0,,,,,,2.0,,,2,3,0.0041,1.7341,2.0408,1.8876,Buffer,Major River
Pycanthus angolensis,,,2.0,,,2.0,,1.0,1.0,,4,6,0.0082,3.4682,4.0816,3.7749,Buffer,Major River
Ricinodendron heudeotii,1.0,1.0,,,,,,,,,2,2,0.0027,1.156,2.0408,1.5984,Buffer,Major River
Sterculia rhinopetala,3.0,,,,1.0,1.0,,,1.0,,4,6,0.0082,3.4682,4.0816,3.7749,Buffer,Major River
Sterculia tragacantha,1.0,,,,,,,,,,1,1,0.0013,0.578,1.0204,0.7992,Buffer,Major River
Strombosia postulata,,1.0,1.0,1.0,,2.0,,,1.0,,5,6,0.0082,3.4682,5.102,4.2851,Buffer,Major River
Trichilia monadelpha,,,1.0,2.0,,1.0,,,,1.0,4,5,0.0068,2.8901,4.0816,3.4859,Buffer,Major River
25,,,,,,,,,,,98,173,0.2768,100.0,100.0,100.0,Buffer,Major River
Afzelia africana,,,,,1.0,,1.0,1.0,1.0,,4,4,0.00552,1.80995,3.63636,2.7232,Buffer,Stream
Albizia zygia,,1.0,,,,1.0,,,,,2,2,0.00276,0.90498,1.81818,1.3616,Buffer,Stream
Alstonia boonei,,,,,2.0,,,1.0,1.0,1.0,4,5,0.0069,2.26244,3.63636,2.9494,Buffer,Stream
Anthocleista djalonensis,1.0,1.0,,1.0,3.0,,,1.0,1.0,2.0,7,10,0.01379,4.52489,6.36364,5.4443,Buffer,Stream
Anthocliesta vogeli,,,,,,,,,1.0,,1,1,0.00138,0.45249,0.90909,0.6808,Buffer,Stream
Brachystegia eurycoma,,,7.0,1.0,,,3.0,1.0,,2.0,5,14,0.01931,6.33484,4.54545,5.4401,Buffer,Stream
Bridelia ferruginea,1.0,1.0,,,1.0,1.0,,1.0,2.0,1.0,7,8,0.01103,3.61991,6.36364,4.9918,Buffer,Stream
Cassia saimen,12.0,10.0,,,,8.0,,,6.0,2.0,5,38,0.05241,17.1946,4.54545,10.87,Buffer,Stream
Ceiba pentandra,,,1.0,,,,1.0,,,1.0,3,3,0.00414,1.35747,2.72727,2.0424,Buffer,Stream
Cleistopholis patens,,,1.0,,2.0,1.0,3.0,1.0,,3.0,6,11,0.01517,4.97738,5.45455,5.216,Buffer,Stream
Diospyros dendo,,,2.0,3.0,,,3.0,1.0,,,4,9,0.01241,4.0724,3.63636,3.8544,Buffer,Stream
Diospyrous melistoformis,,,,1.0,,,,1.0,,,2,2,0.00276,0.90498,1.81818,1.3616,Buffer,Stream
Drypetes,,,2.0,1.0,,,,1.0,,,3,4,0.00552,1.80995,2.72727,2.2686,Buffer,Stream
Funtumia africana,,,2.0,,,,1.0,,,2.0,3,5,0.0069,2.26244,2.72727,2.4949,Buffer,Stream
Funtumia elastica,,,2.0,3.0,,,1.0,1.0,,,4,7,0.00966,3.16742,3.63636,3.4019,Buffer,Stream
Gmelina arborea,6.0,1.0,,,,3.0,,,,1.0,4,11,0.01517,4.97738,3.63636,4.3069,Buffer,Stream
Harungana madagascariensis,,2.0,,,,2.0,,,,1.0,3,5,0.0069,2.26244,2.72727,2.4949,Buffer,Stream
Hexalobus crispiflorus,,,,8.0,,,1.0,2.0,,,3,11,0.01517,4.97738,2.72727,3.8523,Buffer,Stream
Holarrhena floribunda,,,,1.0,,,1.0,,,,2,2,0.00276,0.90498,1.81818,1.3616,Buffer,Stream
Macaranga barteri,5.0,4.0,1.0,10.0,,3.0,2.0,1.0,4.0,1.0,9,31,0.04276,14.0271,8.18182,11.104,Buffer,Stream
Melacantha alnifolia,,,,3.0,,,,1.0,,,2,4,0.00552,1.80995,1.81818,1.8141,Buffer,Stream
Musanga cecropoides,,,,,2.0,,,,,2.0,2,4,0.00552,1.80995,1.81818,1.8141,Buffer,Stream
Nauclea diderrichi,,,,,2.0,,,3.0,2.0,2.0,4,4,0.00552,1.80995,3.63636,2.7232,Buffer,Stream
Nothospondia staudtii,,,,,3.0,,,,,3.0,2,6,0.00828,2.71493,1.81818,2.2666,Buffer,Stream
Nuclea diderrichi,,,,,1.0,,,,,,1,1,0.00138,0.45249,0.90909,0.6808,Buffer,Stream
Pterocarpus osun,,,,1.0,,,,,,,1,1,0.00138,0.45249,0.90909,0.6808,Buffer,Stream
