Species,BsP1,BsP2,BsP3,BsP4,BsP5,BsP6,BsP7,BsP8,BsP9,BsP10,Frequency,Individual,density,Rel density,Rel. Freq.,RIV
Afzelia africana,,,,,1,,1,1,1,,4,4,0.00552,1.80995,3.63636,2.7232
Albizia zygia,,1,,,,1,,,,,2,2,0.00276,0.90498,1.81818,1.3616
Alstonia boonei,,,,,2,,,1,1,1,4,5,0.0069,2.26244,3.63636,2.9494
Anthocleista djalonensis,1,1,,1,3,,,1,1,2,7,10,0.01379,4.52489,6.36364,5.4443
Anthocliesta vogeli,,,,,,,,,1,,1,1,0.00138,0.45249,0.90909,0.6808
Brachystegia eurycoma,Brachystegia eurycoma,,7,1,,,3,1,,2,5,14,0.01931,6.33484,4.54545,5.4401
Bridelia ferruginea,1,1,,,1,1,,1,2,1,7,8,0.01103,3.61991,6.36364,4.9918
Cassia saimen,12,10,,,,8,,,6,2,5,38,0.05241,17.1946,4.54545,10.87
Ceiba pentandra,,,1,,,,1,,,1,3,3,0.00414,1.35747,2.72727,2.0424
Cleistopholis patens,,,1,,2,1,3,1,,3,6,11,0.01517,4.97738,5.45455,5.216
Diospyros dendo,,,2,3,,,3,1,,,4,9,0.01241,4.0724,3.63636,3.8544
Diospyrous melistoformis,Diospyrous melistoformis,,,1,,,,1,,,2,2,0.00276,0.90498,1.81818,1.3616
Drypetes,,,2,1,,,,1,,,3,4,0.00552,1.80995,2.72727,2.2686
Funtumia africana,,,2,,,,1,,,2,3,5,0.0069,2.26244,2.72727,2.4949
Funtumia elastica,,,2,3,,,1,1,,,4,7,0.00966,3.16742,3.63636,3.4019
Gmelina arborea,6,1,,,,3,,,,1,4,11,0.01517,4.97738,3.63636,4.3069
Harungana madagascariensis,Harungana madagascariensis,2,,,,2,,,,1,3,5,0.0069,2.26244,2.72727,2.4949
Hexalobus crispiflorus,,,,8,,,1,2,,,3,11,0.01517,4.97738,2.72727,3.8523
Holarrhena floribunda,,,,1,,,1,,,,2,2,0.00276,0.90498,1.81818,1.3616
Macaranga barteri,5,4,1,10,,3,2,1,4,1,9,31,0.04276,14.0271,8.18182,11.104
Melacantha alnifolia,,,,3,,,,1,,,2,4,0.00552,1.80995,1.81818,1.8141
Musanga cecropoides,,,,,2,,,,,2,2,4,0.00552,1.80995,1.81818,1.8141
Nauclea diderrichi,,,,,2,,,3,2,2,4,4,0.00552,1.80995,3.63636,2.7232
Nothospondia staudtii,,,,,3,,,,,3,2,6,0.00828,2.71493,1.81818,2.2666
Nuclea diderrichi,,,,,1,,,,,,1,1,0.00138,0.45249,0.90909,0.6808
Pterocarpus osun,,,,1,,,,,,,1,1,0.00138,0.45249,0.90909,0.6808
Rauvolvia vomitoria,1,,,,,,,,,,1,1,0.00138,0.45249,0.90909,0.6808
Rothmania hispida,,,,1,,,,,1,,2,2,0.00276,0.90498,1.81818,1.3616
Spondia mombin,1,,,,,1,,,1,,3,3,0.00414,1.35747,2.72727,2.0424
Sterculia oblonga,,,,,1,,,,1,,2,3,0.00414,1.35747,1.81818,1.5878
Sterculia rhinopetala,,,,,1,,,,1,,2,2,0.00276,0.90498,1.81818,1.3616
Strombosia pustulata,,,,2,,,1,1,,,4,4,0.00552,1.80995,3.63636,2.7232
Terminalia superba,,,,,1,,,1,1,,3,3,0.00414,1.35747,2.72727,2.0424
33,,,,,,,,,,,110,221,0.3536,100,100,100
