Species,CSP1,CsP2,CsP3,CsP4,CsP5,CsP6,CsP7,CsP8,CsP9,CsP10,Frequency,total,density,Rel density,Rel. Freq.,RIV
Alstonia boonei,2,,,,,,,,3,,2,5,0.008,2.74726,2.04082,2.394
Blighia sapida,2,,1,1,,1,1,,,1,6,7,0.0112,3.84616,6.12245,4.984
Bombax buonopozene,,,,2,1,,1,,,,3,4,0.0064,2.19781,3.06122,2.629
Bosquei angolensis,,,,2,,,1,,,,2,3,0.0048,1.64835,2.04082,1.844
Celtis zenkeri,,1,,1,1,3,,,,2,5,8,0.0128,4.39561,5.10204,4.748
Cleistopholis Patens,,2,1,1,,1,,,,3,5,8,0.0128,4.39561,5.10204,4.748
Dialium guinensis,,,,1,,1,,,,,2,2,0.0032,1.0989,2.04082,1.569
Diospyros dendo,3,1,6,4,,3,3,6,,,7,26,0.0416,14.2857,7.14286,10.71
Drypetes species,4,4,5,3,1,2,3,3,,2,9,27,0.0432,14.8352,9.18367,12.00
Ficus exasperata,2,,,,,,,,2,,2,4,0.0064,2.19781,2.04082,2.119
Grewia pubescens,3,2,1,,,3,,2,,2,6,13,0.0208,7.14287,6.12245,6.632
Homalium alymeri,,,2,1,,,2,,,1,4,6,0.0036,3.29671,4.08163,3.689
Lecaniodiscus cupanioides,Lecaniodiscus cupanioides,1,,,,,,,,1,2,2,0.0032,1.0989,2.04082,1.569
Margaritaria discoidea,1,3,,,,1,,,2,1,5,8,0.0128,4.39561,5.10204,4.748
Musanga cecropiodes,2,,2,1,2,2,,2,,,6,11,0.0176,6.04397,6.12245,6.082
Nesodogornia papaverivera,Nesodogornia papaverivera,,1,,,,,1,,,2,2,0.0032,1.0989,2.04082,1.569
Pavetta corymbosa,,,,1,,,1,,,,2,2,0.0032,1.0989,2.04082,1.569
Picralima nitida,,1,,,,1,,,,3,3,5,0.008,2.74726,3.06122,2.904
Pycnanthus angolensis,,,1,,,2,,1,,,3,4,0.0064,2.19781,3.06122,2.629
Ricinodendron heudeloti,1,1,1,,,1,,,1,,5,5,0.008,2.74726,5.10204,3.924
Sterculia rhinopetala,2,,,,1,1,,,3,,4,7,0.0112,3.84616,4.08163,3.963
Sterculia tragacantha,2,,,,,,,,1,,2,3,0.0048,1.64835,2.04082,1.844
Strombosia postulata,,1,2,1,,1,2,2,,2,7,10,0.016,5.49452,7.14286,6.318
Trichilia monadelpha,,,1,2,,2,5,,,,4,10,0.016,5.49452,4.08163,4.788
24,,,,,,,,,,,98,182,0.2912,100,100,100
