Species,CuP1,CuP2,CuP3,CuP4,CuP5,CuP6,CuP7,CuP8,CuP9,CuP10,Frequency,Individual,Density,Rel density,Rel. Freq.,RIV
Annonidium manni,,1,,2,,,,3,,1,4,7,0.009655,3.0837,3.703704,3.393702
Baphia nitida,,1,,,1,,,,3,1,4,6,0.008276,2.64317,3.703704,3.173438
Blighia sapida,,,,,,1,,,,,1,1,0.001379,0.44053,0.925926,0.683227
Celtis zenkeri,,1,,,,1,,1,2,2,5,7,0.009655,3.0837,4.62963,3.856665
Cola Species,1,,,,,,,,1,,2,2,0.002759,0.88106,1.851852,1.366455
Diospyros dendo,8,8,7,8,6,9,9,10,8,7,10,80,0.110345,35.2423,9.259259,22.25078
Diospyrous mespiliformis,,,,,1,1,1,1,,,4,1,0.001379,0.44053,3.703704,2.072116
Funtumia elastica,,,1,1,,1,,,1,1,5,5,0.006897,2.20264,4.62963,3.416137
Garcinia kola,,,,,1,2,,1,,,3,4,0.005517,1.76211,2.777778,2.269946
Hildegardia barteri,,,,,1,,1,,1,,3,3,0.004138,1.32159,2.777778,2.049682
Lecaniodiscus cupaniodes,,,,1,,,,,1,1,3,3,0.004138,1.32159,2.777778,2.049682
Maesobotrya barteri,1,,1,3,2,,,,1,1,6,9,0.012414,3.96476,5.555556,4.760157
Margaritaria discoidea,1,3,,1,,1,1,1,1,,7,9,0.012414,3.96476,6.481481,5.22312
Nauclea diderrichi,,,,1,,1,,,1,,3,3,0.004138,1.32159,2.777778,2.049682
Nesogordonia papaverifera,1,2,3,1,2,,,2,1,,7,12,0.016552,5.28634,6.481481,5.883913
Pterocarpus osun,,1,,,,,1,,,1,3,3,0.004138,1.32159,2.777778,2.049682
Pycnanthus angolensis,,1,,,,,1,1,,1,4,4,0.005517,1.76211,3.703704,2.732909
Ricinodendron heudelotii,,,1,,1,,,1,,,3,3,0.004138,1.32159,2.777778,2.049682
Rinorea dentata,,,,,1,,3,,,,2,4,0.0055,1.76211,1.851852,1.806983
Scotellia coriaceae,1,,4,7,4,1,4,,1,3,8,25,0.0344,11.0132,7.407407,9.210312
Sterculia rhinopetala,,1,,1,1,1,2,,1,,6,7,0.0096,3.0837,5.555556,4.319628
Strombosia pustulata,5,1,1,,7,1,2,1,2,2,9,22,0.0303,9.69163,8.333333,9.012482
Terminalia superba,1,,,,,,,2,,1,3,4,0.0055,1.76211,2.777778,2.269946
Zanthoxylum xanthoxyloides,Zanthoxylum xanthoxyloides,,,,1,1,,,,1,3,3,0.0041,1.32159,2.777778,2.049682
24,,,,,,,,,,,108,227,0.3632,100,100,100
