SPECIES,TmP1,TmP2,TmP3,TmP4,TmP5,TmP6,TmP7,TmP8,TmP9,TmP10,Freq.,Individuals,density,Rel.density,Rel. Freq.,RIV
Albizia ferruginea,,,,5,1,1,,3,2,,5,12,0.0165,8.7591,6.1728,7.4659
Aningeria robusta,,,1,,,1,,,,,2,2,0.0027,1.4598,2.4691,1.9644
Artocarpus communis,Artocarpus communis,,,1,,1,1,,,1,4,4,0.0055,2.9197,4.9382,3.9289
Bambusa vulgaris,1,1,,,,,,,2,1,4,5,0.0068,3.6496,4.9382,4.2939
Bligha sapida,1,,,,,,2,,1,,3,4,0.0057,2.9197,3.7037,3.3117
Chrysophylum albidum,Chrysophylum albidum,1,,,,1,,,1,,3,3,0.0041,2.1897,3.7037,2.9467
Cleistopholis patens,Cleistopholis patens,,,,2,,,2,,,2,4,0.0055,2.9197,2.4691,2.6944
Cola nitida,,,,,1,,1,1,,2,4,5,0.0068,3.6496,4.9382,4.2939
Corynante pachycercus,Corynante pachycercus,,5,,,3,,,,1,3,9,0.0124,6.5693,3.7037,5.1365
Diospyrous dendo,,,1,,,,,,,2,2,3,0.0041,2.1897,2.4691,2.3294
Elaeis guineensis,,1,,,,,1,,2,,3,4,0.0057,2.9197,3.7037,3.3117
Ficus exasperata,,2,2,,,1,,1,,1,5,7,0.0096,5.1094,6.1728,5.6411
Holarrhena floribunda,Holarrhena floribunda,,1,,,,,,1,,2,2,0.0027,1.4598,2.4691,1.9644
Lonchocarpus cyanescens,Lonchocarpus cyanescens,Lonchocarpus cyanescens,,,,1,1,,1,,3,3,0.0041,2.1897,3.7037,2.9467
Macaranga barteri,,,5,,,,,,2,,2,7,0.0096,5.1094,2.4691,3.7893
Mitragyna cilliata,,,5,,,,,3,,,2,8,0.0110,5.8394,2.4691,4.1542
Musanga cecropoides,Musanga cecropoides,4,,,,,,,,,1,4,0.0055,2.9197,1.2345,2.0771
Pterocarpus santoxyloides,3,2,,,4,,,,,,3,9,0.0124,6.5693,3.7037,5.1365
Pycanthus angolensis,2,,,1,,1,1,,1,1,6,7,0.0096,5.1094,7.4074,6.2584
Rauvolvia vomitoria,Rauvolvia vomitoria,,4,,,,1,,,,2,5,0.0068,3.6496,2.4691,3.0593
Ricinodendron heudelotii,Ricinodendron heudelotii,Ricinodendron heudelotii,,1,,1,,1,,,3,3,0.0041,2.1897,3.7037,2.9467
Spondia mombin,,,,,,,1,,,1,2,2,0.0027,1.4598,2.4691,1.9644
Strombosia pustulata,1,,1,,,1,,1,,,4,4,0.0055,2.9197,4.9382,3.9289
Terminalia superba,,,,1,,1,,,,2,3,4,0.0055,2.9197,3.7037,3.3117
Tetrapleura tetraptera,1,,,,,1,,,,,2,2,0.0027,1.4598,2.4691,1.9644
Trichilia monadelpha,Trichilia monadelpha,,6,,,3,1,,,3,4,13,0.0179,9.4890,4.9382,7.2136
Uapaca heudeloti,,1,,,,1,,,,,2,2,0.0027,1.4598,2.4691,1.9644
27,,,,,,,,,,,81,137,0.1889,100,100,100
