Accepted_Name,Scientific_Name,Family,Genus,Taxonomic_Status,Confidence,Match_Type,GBIF_Species_Key,Synonym,Original_Name,Reviewed,Review_Status,Reviewer,Review_Date,Remarks,Final_Name
,,Apocynaceae,Alstonia,ACCEPTED,100,NONE,,False,Alstonei boonei,No,Pending,,,,Alstonia boonei
Blighia sapida,Blighia sapida K.D.Koenig,Sapindaceae,Blighia,ACCEPTED,99,EXACT,3189955,False,Blighia sapida,No,Pending,,,,Blighia sapida
Bombax buonopozense,Bombax buonopozense Beauverd,Malvaceae,Bombax,ACCEPTED,95,VARIANT,4073599,False,Bombax buonopozene,No,Pending,,,,Bombax buonopozense
Bosqueia angolensis,Bosqueia angolensis Ficalho,Moraceae,Bosqueia,SYNONYM,98,EXACT,3763770,True,Bosqueia angolensis,No,Pending,,,,Bosqueia angolensis
Celtis zenkeri,Celtis zenkeri Engl.,Cannabaceae,Celtis,ACCEPTED,99,EXACT,4159774,False,Celtis zenkeri,No,Pending,,,,Celtis zenkeri
Cleistopholis patens,Cleistopholis patens (Benth.) Engl. & Diels,Annonaceae,Cleistopholis,ACCEPTED,99,EXACT,3153999,False,Cleistopholis patens,No,Pending,,,,Cleistopholis patens
Dialium guineense,Dialium guineense Willd.,Fabaceae,Dialium,ACCEPTED,82,VARIANT,2971007,False,Diallium guineense,No,Pending,,,,Dialium guineense
Dillenia indica,Dillenia indica L.,Dilleniaceae,Dillenia,ACCEPTED,97,EXACT,5383898,False,Dillenia indica,No,Pending,,,,Dillenia indica
Diospyros dendo,Diospyros dendo Welw. ex Hiern,Ebenaceae,Diospyros,ACCEPTED,97,EXACT,4070466,False,Diospyros dendo,No,Pending,,,,Diospyros dendo
Ficus exasperata,Ficus exasperata Vahl,Moraceae,Ficus,ACCEPTED,97,EXACT,7687857,False,Ficus exasperata,No,Pending,,,,Ficus exasperata
Grewia pubescens,Grewia pubescens P.Beauv.,Malvaceae,Grewia,ACCEPTED,99,EXACT,4260830,False,Grewia pubescens,No,Pending,,,,Grewia pubescens
Homalium aylmeri,Homalium aylmeri Hutch. & Dalziel,Salicaceae,Homalium,SYNONYM,98,EXACT,7428568,True,Homalium aylmeri,No,Pending,,,,Homalium aylmeri
Lecaniodiscus cupanioides,Lecaniodiscus cupanioides Planch.,Sapindaceae,Lecaniodiscus,ACCEPTED,94,VARIANT,3785542,False,Lecaniodiscus cupaniodes,No,Pending,,,,Lecaniodiscus cupanioides
Margaritaria discoidea,Margaritaria discoidea (Baill.) G.L.Webster,Phyllanthaceae,Margaritaria,ACCEPTED,85,VARIANT,5383225,False,Margartaria discoidea,No,Pending,,,,Margaritaria discoidea
Musanga cecropioides,Musanga cecropioides R.Br. ex Tedlie,Urticaceae,Musanga,ACCEPTED,98,EXACT,5643189,False,Musanga cecropioides,No,Pending,,,,Musanga cecropioides
Nesogordonia papaverifera,Nesogordonia papaverifera (A.Chev.) Capuron,Datiscaceae,Nesogordonia,ACCEPTED,97,EXACT,3670970,False,Nesogordonia papaverifera,No,Pending,,,,Nesogordonia papaverifera
Pavetta corymbosa,Pavetta corymbosa (DC.) F.N.Williams,Rubiaceae,Pavetta,ACCEPTED,93,VARIANT,2924761,False,Pavetta corymbosia,No,Pending,,,,Pavetta corymbosa
Picralima nitida,Picralima nitida (Stapf) T.Durand & H.Durand,Apocynaceae,Picralima,ACCEPTED,99,EXACT,3617063,False,Picralima nitida,No,Pending,,,,Picralima nitida
Pycnanthus angolensis,Pycnanthus angolensis (Welw.) Exell,Myristicaceae,Pycnanthus,ACCEPTED,80,VARIANT,8025076,False,Pycanthus angolensis,No,Pending,,,,Pycnanthus angolensis
Ricinodendron heudelotii,Ricinodendron heudelotii (Baill.) Heckel,Euphorbiaceae,Ricinodendron,ACCEPTED,93,VARIANT,3071632,False,Ricinodendron heudeotii,No,Pending,,,,Ricinodendron heudelotii
Sterculia rhinopetala,Sterculia rhinopetala K.Schum.,Malvaceae,Sterculia,ACCEPTED,99,EXACT,5545389,False,Sterculia rhinopetala,No,Pending,,,,Sterculia rhinopetala
Sterculia tragacantha,Sterculia tragacantha Lindl.,Malvaceae,Sterculia,ACCEPTED,99,EXACT,5406677,False,Sterculia tragacantha,No,Pending,,,,Sterculia tragacantha
Strombosia pustulata,Strombosia pustulata Oliv.,Strombosiaceae,Strombosia,ACCEPTED,95,VARIANT,7326453,False,Strombosia postulata,No,Pending,,,,Strombosia pustulata
Trichilia monadelpha,Trichilia monadelpha (Thonn.) J.De Wild.,Meliaceae,Trichilia,ACCEPTED,97,EXACT,3852768,False,Trichilia monadelpha,No,Pending,,,,Trichilia monadelpha
Afzelia africana,Afzelia africana Sm. ex Pers.,Fabaceae,Afzelia,ACCEPTED,98,EXACT,5358300,False,Afzelia africana,No,Pending,,,,Afzelia africana
Albizia zygia,Albizia zygia (DC.) J.F.Macbr.,Fabaceae,Albizia,ACCEPTED,99,EXACT,2973160,False,Albizia zygia,No,Pending,,,,Albizia zygia
Alstonia boonei,Alstonia boonei De Wild.,Apocynaceae,Alstonia,ACCEPTED,98,EXACT,5535759,False,Alstonia boonei,No,Pending,,,,Alstonia boonei
Anthocleista djalonensis,Anthocleista djalonensis A.Chev.,Gentianaceae,Anthocleista,ACCEPTED,99,EXACT,4019367,False,Anthocleista djalonensis,No,Pending,,,,Anthocleista djalonensis
Anthocleista vogelii,Anthocleista vogelii Planch.,Gentianaceae,Anthocleista,ACCEPTED,85,VARIANT,4018973,False,Anthocliesta vogeli,No,Pending,,,,Anthocleista vogelii
Brachystegia eurycoma,Brachystegia eurycoma Harms,Fabaceae,Brachystegia,ACCEPTED,99,EXACT,2952652,False,Brachystegia eurycoma,No,Pending,,,,Brachystegia eurycoma
Bridelia ferruginea,Bridelia ferruginea Benth.,Phyllanthaceae,Bridelia,ACCEPTED,99,EXACT,3076157,False,Bridelia ferruginea,No,Pending,,,,Bridelia ferruginea
Cassia siamea,Cassia siamea Lam.,Fabaceae,Cassia,SYNONYM,92,VARIANT,5353880,True,Cassia saimen,No,Pending,,,,Cassia siamea
Ceiba pentandra,Ceiba pentandra (L.) Gaertn.,Malvaceae,Ceiba,ACCEPTED,98,EXACT,5406697,False,Ceiba pentandra,No,Pending,,,,Ceiba pentandra
,,Ebenaceae,Diospyros,ACCEPTED,100,NONE,,False,Diospyrous melistoformis,No,Pending,,,,Diospyros mespiliformis
Drypetes,Drypetes Vahl,Putranjivaceae,,ACCEPTED,94,EXACT,3075615,False,Drypetes,No,Pending,,,,Drypetes
Funtumia africana,Funtumia africana (Benth.) Stapf,Apocynaceae,Funtumia,ACCEPTED,99,EXACT,3169842,False,Funtumia africana,No,Pending,,,,Funtumia africana
Funtumia elastica,Funtumia elastica (Preuss) Stapf,Apocynaceae,Funtumia,ACCEPTED,98,EXACT,3169843,False,Funtumia elastica,No,Pending,,,,Funtumia elastica
Gmelina arborea,Gmelina arborea Roxb. ex Sm.,Lamiaceae,Gmelina,ACCEPTED,98,EXACT,8247889,False,Gmelina arborea,No,Pending,,,,Gmelina arborea
