Predictor_Domain,Target_Domain,Leakage_Status,N_Targets,Mean_R2,Median_R2,Mean_Fold_Win_Rate
FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,ELIGIBLE_WITH_CAUTION,2,-0.07141400375724621,-0.07141400375724621,0.59
FUNCTIONAL_COMPOSITION,STRUCTURAL,ELIGIBLE,2,-0.09086779080178847,-0.09086779080178847,0.525
FUNCTIONAL_COMPOSITION,TAXONOMIC,ELIGIBLE,2,0.07636842977755744,0.07636842977755744,0.69
FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION,ELIGIBLE_WITH_CAUTION,4,-0.12510537875544128,-0.1245704348017985,0.5
FUNCTIONAL_DIVERSITY,STRUCTURAL,ELIGIBLE,2,-0.15766323920635522,-0.15766323920635522,0.565
FUNCTIONAL_DIVERSITY,TAXONOMIC,ELIGIBLE_WITH_CAUTION,2,0.016943331784884372,0.016943331784884372,0.62
STRUCTURAL,FUNCTIONAL_COMPOSITION,ELIGIBLE,4,-0.0935334668170505,-0.1047425844467535,0.42250000000000004
STRUCTURAL,FUNCTIONAL_DIVERSITY,ELIGIBLE,2,-0.0694907971696832,-0.0694907971696832,0.64
STRUCTURAL,TAXONOMIC,ELIGIBLE,2,0.000557803926375465,0.000557803926375465,0.75
TAXONOMIC,FUNCTIONAL_COMPOSITION,ELIGIBLE,4,0.06498496373115595,0.0101475832923109,0.6925
TAXONOMIC,FUNCTIONAL_DIVERSITY,ELIGIBLE,2,0.055607024048714725,0.055607024048714725,0.7749999999999999
TAXONOMIC,STRUCTURAL,ELIGIBLE,2,-0.004622244257756536,-0.004622244257756536,0.79
