Experiment_ID,Predictor_Domain,Target_Domain,Target,Leakage_Status,Metric,Ridge_Mean,Ridge_SD,Ridge_Median,Null_Mean,Mean_Improvement,Proportion_Folds_Better_Than_Null,Screening_Class
CD12_FEve,STRUCTURAL,FUNCTIONAL_DIVERSITY,FEve,ELIGIBLE,R2,-0.007749447736890502,0.17280446025021845,0.01342584289933818,-0.078437868058859,0.0706884203219685,0.77,LIMITED_OR_UNSTABLE
CD03_Estimated_Mean_DBH,TAXONOMIC,STRUCTURAL,Estimated_Mean_DBH,ELIGIBLE,R2,-0.041521501247664745,0.33254005575612855,0.06216033219708661,-0.09400902920660487,0.052487527958940135,0.77,LIMITED_OR_UNSTABLE
CD11_CWM_Log10_Seed_Mass,STRUCTURAL,FUNCTIONAL_COMPOSITION,CWM_Log10_Seed_Mass,ELIGIBLE,R2,-0.04943109785505794,0.32049613478555605,0.013623200040463024,-0.06736806411699126,0.017936966261933317,0.66,LIMITED_OR_UNSTABLE
CD06_Estimated_Mean_Height,FUNCTIONAL_COMPOSITION,STRUCTURAL,Estimated_Mean_Height,ELIGIBLE,R2,-0.06516864470069911,0.18987058136766446,-0.026864690811899017,-0.08036406894788226,0.015195424247183145,0.63,LIMITED_OR_UNSTABLE
CD05_FDis,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FDis,ELIGIBLE_WITH_CAUTION,R2,-0.06556740750790725,0.34691903609172736,-0.017677874421977213,-0.0837136200316432,0.018146212523735956,0.59,LIMITED_OR_UNSTABLE
CD08_CWM_Max_Height_m,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION,CWM_Max_Height_m,ELIGIBLE_WITH_CAUTION,R2,-0.067535634946403,0.25913959605801395,-0.014055287164678631,-0.06401016078148382,-0.0035254741649191766,0.6,LIMITED_OR_UNSTABLE
CD10_Richness,STRUCTURAL,TAXONOMIC,Richness,ELIGIBLE,R2,-0.06860874640634824,0.17294964380886832,-0.033066213661942734,-0.07554967518188511,0.0069409287755368854,0.66,LIMITED_OR_UNSTABLE
CD05_FEve,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FEve,ELIGIBLE_WITH_CAUTION,R2,-0.07726060000658519,0.3064240376897664,-0.005500449584246225,-0.078437868058859,0.0011772680522738144,0.59,LIMITED_OR_UNSTABLE
CD01_CWM_Log10_Seed_Mass,TAXONOMIC,FUNCTIONAL_COMPOSITION,CWM_Log10_Seed_Mass,ELIGIBLE,R2,-0.08198722283409782,0.16489838573503052,-0.04182617001241329,-0.06736806411699126,-0.014619158717106555,0.52,LIMITED_OR_UNSTABLE
CD11_CWM_Max_Height_m,STRUCTURAL,FUNCTIONAL_COMPOSITION,CWM_Max_Height_m,ELIGIBLE,R2,-0.09552328185191258,0.13176464269385946,-0.055406616909727036,-0.05466390733901409,-0.04085937451289849,0.39,LIMITED_OR_UNSTABLE
CD01_CWM_Max_Height_m,TAXONOMIC,FUNCTIONAL_COMPOSITION,CWM_Max_Height_m,ELIGIBLE,R2,-0.09782408166713585,0.11959655647757737,-0.07216173631437595,-0.05466390733901409,-0.04316017432812177,0.41,LIMITED_OR_UNSTABLE
CD11_CWM_SLA,STRUCTURAL,FUNCTIONAL_COMPOSITION,CWM_SLA,ELIGIBLE,R2,-0.11396188704159439,0.21010003064245347,-0.05531852083467825,-0.08876884806952633,-0.025193038972068055,0.55,LIMITED_OR_UNSTABLE
CD11_CWM_WD,STRUCTURAL,FUNCTIONAL_COMPOSITION,CWM_WD,ELIGIBLE,R2,-0.11521760051963709,0.1413733437714996,-0.07281815026739569,-0.0739748160255773,-0.04124278449405978,0.09,LIMITED_OR_UNSTABLE
