Experiment_ID,Predictor_Domain,Target_Domain,Target,Leakage_Status,Metric,Ridge_Mean,Ridge_SD,Ridge_Median,Null_Mean,Mean_Improvement,Proportion_Folds_Better_Than_Null
CD01_CWM_Log10_Seed_Mass,TAXONOMIC,FUNCTIONAL_COMPOSITION,CWM_Log10_Seed_Mass,ELIGIBLE,MAE,0.2957480732104685,0.048498846578006675,0.28953714014071585,0.2938298779035546,-0.0019181953069139126,0.48
CD01_CWM_Log10_Seed_Mass,TAXONOMIC,FUNCTIONAL_COMPOSITION,CWM_Log10_Seed_Mass,ELIGIBLE,R2,-0.08198722283409782,0.16489838573503052,-0.04182617001241329,-0.06736806411699126,-0.014619158717106555,0.52
CD01_CWM_Log10_Seed_Mass,TAXONOMIC,FUNCTIONAL_COMPOSITION,CWM_Log10_Seed_Mass,ELIGIBLE,RMSE,0.39705202195889405,0.06485121220049786,0.3975908702659631,0.3961090275742244,-0.0009429943846697017,0.52
CD01_CWM_Max_Height_m,TAXONOMIC,FUNCTIONAL_COMPOSITION,CWM_Max_Height_m,ELIGIBLE,MAE,3.4504833137089355,0.7929341909038212,3.433544353005412,3.3578588252079595,-0.09262448850097593,0.35
CD01_CWM_Max_Height_m,TAXONOMIC,FUNCTIONAL_COMPOSITION,CWM_Max_Height_m,ELIGIBLE,R2,-0.09782408166713585,0.11959655647757737,-0.07216173631437595,-0.05466390733901409,-0.04316017432812177,0.41
CD01_CWM_Max_Height_m,TAXONOMIC,FUNCTIONAL_COMPOSITION,CWM_Max_Height_m,ELIGIBLE,RMSE,4.631878590878893,1.1278344425268192,4.564323965204943,4.538766656614668,-0.0931119342642247,0.41
CD01_CWM_SLA,TAXONOMIC,FUNCTIONAL_COMPOSITION,CWM_SLA,ELIGIBLE,MAE,1.8465526074879677,0.33247638096189897,1.8215542315271984,2.0496297119955527,0.20307710450758498,0.78
CD01_CWM_SLA,TAXONOMIC,FUNCTIONAL_COMPOSITION,CWM_SLA,ELIGIBLE,R2,0.10228238941871962,0.22352194085220126,0.15290725196167032,-0.08876884806952633,0.19105123748824593,0.84
CD01_CWM_SLA,TAXONOMIC,FUNCTIONAL_COMPOSITION,CWM_SLA,ELIGIBLE,RMSE,2.3627427024507672,0.4101228433083353,2.351509488667491,2.6381552872525176,0.27541258480174996,0.84
CD01_CWM_WD,TAXONOMIC,FUNCTIONAL_COMPOSITION,CWM_WD,ELIGIBLE,MAE,0.05964781955912565,0.010246545278965555,0.06027060544390945,0.08121324546540512,0.021565425906279464,1.0
CD01_CWM_WD,TAXONOMIC,FUNCTIONAL_COMPOSITION,CWM_WD,ELIGIBLE,R2,0.3374687700071378,0.162526460685996,0.3583560590881002,-0.0739748160255773,0.41144358603271514,1.0
