Plot_ID,Habitat,Zone,N_Primary_Models,N_High_Uncertainty_Models,N_Moderate_or_High_Models,Mean_MAE_Percentile,Mean_Prediction_SD_Percentile,High_Error_Model_Count,High_Instability_Model_Count,Uncertainty_Mechanism,Cross_Model_Uncertainty_Class,High_Uncertainty_Experiments
BmP1,Major River,Buffer,3,0,0,0.19259259259259257,0.2962962962962963,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
BmP10,Major River,Buffer,3,0,1,0.2074074074074074,0.34074074074074073,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
BmP2,Major River,Buffer,3,1,1,0.3814814814814815,0.3333333333333333,0,1,PREDOMINANTLY_INSTABILITY,SINGLE_MODEL_HIGH,CD04_Richness
BmP3,Major River,Buffer,3,0,0,0.16296296296296298,0.19259259259259257,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
BmP4,Major River,Buffer,3,0,0,0.40740740740740744,0.39259259259259255,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
BmP5,Major River,Buffer,3,1,1,0.3407407407407408,0.7481481481481481,0,1,PREDOMINANTLY_INSTABILITY,SINGLE_MODEL_HIGH,CD02_FDis
BmP6,Major River,Buffer,3,0,2,0.6666666666666666,0.6592592592592592,0,0,NO_EXTREME_COMPONENT,RECURRENT_MODERATE_OR_HIGH,
BmP7,Major River,Buffer,3,0,1,0.4222222222222223,0.4481481481481482,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
BmP8,Major River,Buffer,3,1,2,0.6259259259259259,0.3074074074074074,1,0,PREDOMINANTLY_ERROR,RECURRENT_MODERATE_OR_HIGH,CD01_CWM_WD
BmP9,Major River,Buffer,3,0,1,0.48518518518518516,0.4740740740740741,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
BsP1,Stream,Buffer,3,2,3,0.4259259259259259,0.825925925925926,0,2,PREDOMINANTLY_INSTABILITY,RECURRENT_HIGH,CD01_CWM_WD | CD02_FDis
BsP10,Stream,Buffer,3,2,2,0.7333333333333334,0.5962962962962962,2,0,PREDOMINANTLY_ERROR,RECURRENT_HIGH,CD01_CWM_WD | CD04_Richness
BsP2,Stream,Buffer,3,1,1,0.5592592592592592,0.662962962962963,0,1,PREDOMINANTLY_INSTABILITY,SINGLE_MODEL_HIGH,CD01_CWM_WD
BsP3,Stream,Buffer,3,0,1,0.4185185185185185,0.5851851851851851,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
BsP4,Stream,Buffer,3,0,1,0.7074074074074074,0.3,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
BsP5,Stream,Buffer,3,1,2,0.7851851851851852,0.4222222222222222,1,0,PREDOMINANTLY_ERROR,RECURRENT_MODERATE_OR_HIGH,CD04_Richness
BsP6,Stream,Buffer,3,0,2,0.4740740740740741,0.7185185185185187,0,0,NO_EXTREME_COMPONENT,RECURRENT_MODERATE_OR_HIGH,
BsP7,Stream,Buffer,3,1,1,0.44814814814814813,0.5,0,1,PREDOMINANTLY_INSTABILITY,SINGLE_MODEL_HIGH,CD04_Richness
BsP8,Stream,Buffer,3,2,2,0.7481481481481481,0.6962962962962963,1,2,ERROR_AND_INSTABILITY,RECURRENT_HIGH,CD01_CWM_WD | CD04_Richness
BsP9,Stream,Buffer,3,0,0,0.5148148148148148,0.5,0,0,NO_EXTREME_COMPONENT,LOW_CROSS_MODEL_UNCERTAINTY,
BuP1,Upland,Buffer,3,1,1,0.23703703703703705,0.8148148148148149,0,1,PREDOMINANTLY_INSTABILITY,SINGLE_MODEL_HIGH,CD04_Richness
BuP10,Upland,Buffer,3,1,2,0.5962962962962963,0.5925925925925926,1,0,PREDOMINANTLY_ERROR,RECURRENT_MODERATE_OR_HIGH,CD04_Richness
BuP2,Upland,Buffer,3,1,3,0.8407407407407407,0.2814814814814815,1,0,PREDOMINANTLY_ERROR,RECURRENT_MODERATE_OR_HIGH,CD01_CWM_WD
BuP3,Upland,Buffer,3,1,1,0.5444444444444444,0.6777777777777777,1,0,PREDOMINANTLY_ERROR,SINGLE_MODEL_HIGH,CD01_CWM_WD
