Target,Model,Metric,Mean,SD,Median,Min,Max
PC1,ECO_RANDOM_FOREST,MAE,0.45830661881986373,0.09539388000476721,0.45060223051256276,0.22877857869353482,0.6982649030391715
PC1,ECO_RANDOM_FOREST,R2,0.8325332219715357,0.060771553229541295,0.8374308915686977,0.6199739846113801,0.9390362614306095
PC1,ECO_RANDOM_FOREST,RMSE,0.6279501474165484,0.13540672222916164,0.6237309642584739,0.30538752097225125,0.907593488460597
PC1,ECO_RIDGE,MAE,0.0076932365577980985,0.0017791026948874523,0.007424025691295914,0.004974112345744224,0.017793970456425515
PC1,ECO_RIDGE,R2,0.9999616886491609,1.9522667414232923e-05,0.9999648854706091,0.9997924684055749,0.9999782204002091
PC1,ECO_RIDGE,RMSE,0.009526402895506946,0.0022849246078961677,0.009196932945571452,0.006082283677983042,0.024017843244779603
PC2,ECO_RANDOM_FOREST,MAE,0.3403582654703826,0.07953600831139694,0.33189939134785573,0.17897612884963573,0.5553440641029289
PC2,ECO_RANDOM_FOREST,R2,0.9002787488006433,0.04756318175059327,0.9128808234691613,0.6895612791797276,0.9639457568518701
PC2,ECO_RANDOM_FOREST,RMSE,0.4397023275964782,0.13115359011439232,0.4033145767566165,0.21760890764798643,0.772618815100923
PC2,ECO_RIDGE,MAE,0.009269048500544254,0.0020116819521575555,0.008976979201730972,0.005699286346784441,0.017812489623495124
PC2,ECO_RIDGE,R2,0.9999384399824233,2.1733863177950656e-05,0.9999450040450408,0.99981696263803,0.9999617089098523
PC2,ECO_RIDGE,RMSE,0.011090858998898518,0.002669013166429575,0.01059618989113438,0.006589078234654595,0.021840442851515447
