Experiment_ID,Predictor_Domain,Target_Domain,Target,Leakage_Status,Ridge_Mean,Screening_Class,RF_Mean,Best_Observed_Model_R2,Retained_For_XAI,Plot_Label
CD08_CWM_SLA,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION,CWM_SLA,ELIGIBLE_WITH_CAUTION,-0.1837450104717652,LIMITED_OR_UNSTABLE,,-0.1837450104717652,False,Functional diversity → CWM_SLA
CD09_Estimated_Mean_DBH,FUNCTIONAL_DIVERSITY,STRUCTURAL,Estimated_Mean_DBH,ELIGIBLE,-0.1674008605431667,LIMITED_OR_UNSTABLE,,-0.1674008605431667,False,Functional diversity → Estimated_Mean_DBH
CD07_Richness,FUNCTIONAL_DIVERSITY,TAXONOMIC,Richness,ELIGIBLE_WITH_CAUTION,-0.163033206371876,LIMITED_OR_UNSTABLE,,-0.163033206371876,False,Functional diversity → Richness
CD04_Pielou,FUNCTIONAL_COMPOSITION,TAXONOMIC,Pielou,ELIGIBLE,-0.15841160846625982,LIMITED_OR_UNSTABLE,,-0.15841160846625982,False,Functional composition → Pielou
CD09_Estimated_Mean_Height,FUNCTIONAL_DIVERSITY,STRUCTURAL,Estimated_Mean_Height,ELIGIBLE,-0.14792561786954375,LIMITED_OR_UNSTABLE,,-0.14792561786954375,False,Functional diversity → Estimated_Mean_Height
CD08_CWM_WD,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION,CWM_WD,ELIGIBLE_WITH_CAUTION,-0.1339074347576796,LIMITED_OR_UNSTABLE,,-0.1339074347576796,False,Functional diversity → CWM_WD
CD12_FDis,STRUCTURAL,FUNCTIONAL_DIVERSITY,FDis,ELIGIBLE,-0.1312321466024759,LIMITED_OR_UNSTABLE,,-0.1312321466024759,False,Structural → FDis
CD06_Estimated_Mean_DBH,FUNCTIONAL_COMPOSITION,STRUCTURAL,Estimated_Mean_DBH,ELIGIBLE,-0.11656693690287784,LIMITED_OR_UNSTABLE,,-0.11656693690287784,False,Functional composition → Estimated_Mean_DBH
CD08_CWM_Log10_Seed_Mass,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION,CWM_Log10_Seed_Mass,ELIGIBLE_WITH_CAUTION,-0.11523343484591737,LIMITED_OR_UNSTABLE,,-0.11523343484591737,False,Functional diversity → CWM_Log10_Seed_Mass
CD11_CWM_WD,STRUCTURAL,FUNCTIONAL_COMPOSITION,CWM_WD,ELIGIBLE,-0.11521760051963709,LIMITED_OR_UNSTABLE,,-0.11521760051963709,False,Structural → CWM_WD
CD11_CWM_SLA,STRUCTURAL,FUNCTIONAL_COMPOSITION,CWM_SLA,ELIGIBLE,-0.11396188704159439,LIMITED_OR_UNSTABLE,,-0.11396188704159439,False,Structural → CWM_SLA
CD01_CWM_Max_Height_m,TAXONOMIC,FUNCTIONAL_COMPOSITION,CWM_Max_Height_m,ELIGIBLE,-0.09782408166713585,LIMITED_OR_UNSTABLE,,-0.09782408166713585,False,Taxonomic → CWM_Max_Height_m
CD11_CWM_Max_Height_m,STRUCTURAL,FUNCTIONAL_COMPOSITION,CWM_Max_Height_m,ELIGIBLE,-0.09552328185191258,LIMITED_OR_UNSTABLE,,-0.09552328185191258,False,Structural → CWM_Max_Height_m
CD01_CWM_Log10_Seed_Mass,TAXONOMIC,FUNCTIONAL_COMPOSITION,CWM_Log10_Seed_Mass,ELIGIBLE,-0.08198722283409782,LIMITED_OR_UNSTABLE,,-0.08198722283409782,False,Taxonomic → CWM_Log10_Seed_Mass
CD05_FEve,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FEve,ELIGIBLE_WITH_CAUTION,-0.07726060000658519,LIMITED_OR_UNSTABLE,,-0.07726060000658519,False,Functional composition → FEve
CD10_Richness,STRUCTURAL,TAXONOMIC,Richness,ELIGIBLE,-0.06860874640634824,LIMITED_OR_UNSTABLE,,-0.06860874640634824,False,Structural → Richness
CD08_CWM_Max_Height_m,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION,CWM_Max_Height_m,ELIGIBLE_WITH_CAUTION,-0.067535634946403,LIMITED_OR_UNSTABLE,,-0.067535634946403,False,Functional diversity → CWM_Max_Height_m
CD05_FDis,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FDis,ELIGIBLE_WITH_CAUTION,-0.06556740750790725,LIMITED_OR_UNSTABLE,,-0.06556740750790725,False,Functional composition → FDis
CD06_Estimated_Mean_Height,FUNCTIONAL_COMPOSITION,STRUCTURAL,Estimated_Mean_Height,ELIGIBLE,-0.06516864470069911,LIMITED_OR_UNSTABLE,,-0.06516864470069911,False,Functional composition → Estimated_Mean_Height
CD11_CWM_Log10_Seed_Mass,STRUCTURAL,FUNCTIONAL_COMPOSITION,CWM_Log10_Seed_Mass,ELIGIBLE,-0.04943109785505794,LIMITED_OR_UNSTABLE,,-0.04943109785505794,False,Structural → CWM_Log10_Seed_Mass
