Experiment_ID,Final_Role,Target,Plot_ID,Predictor,Predictor_Value,SHAP_Value,Absolute_SHAP_Value
CD04_Richness,PRIMARY_XAI,Richness,TsP5,CWM_WD,0.3566666666666667,-3.012408553918196,3.012408553918196
CD04_Richness,PRIMARY_XAI,Richness,TsP8,CWM_WD,0.3642307692307692,-3.068914043927708,3.068914043927708
CD04_Richness,PRIMARY_XAI,Richness,TsP9,CWM_WD,0.3686666666666666,-2.483088832882072,2.483088832882072
CD04_Richness,PRIMARY_XAI,Richness,TsP4,CWM_WD,0.373076923076923,-3.111742974252206,3.111742974252206
CD04_Richness,PRIMARY_XAI,Richness,TuP9,CWM_WD,0.38625,-2.471743011327667,2.471743011327667
CD04_Richness,PRIMARY_XAI,Richness,TsP7,CWM_WD,0.3945454545454545,-2.686816954877216,2.686816954877216
CD04_Richness,PRIMARY_XAI,Richness,TsP10,CWM_WD,0.3947058823529412,-2.5559605666579506,2.5559605666579506
CD04_Richness,PRIMARY_XAI,Richness,TuP4,CWM_WD,0.3975,-2.569069368711629,2.569069368711629
CD04_Richness,PRIMARY_XAI,Richness,TsP2,CWM_WD,0.4023076923076922,-3.0087884171978354,3.0087884171978354
CD04_Richness,PRIMARY_XAI,Richness,TsP6,CWM_WD,0.4085714285714286,-2.161940713075091,2.161940713075091
CD04_Richness,PRIMARY_XAI,Richness,TuP10,CWM_WD,0.4157142857142856,-2.1504734808768498,2.1504734808768498
CD04_Richness,PRIMARY_XAI,Richness,TmP2,CWM_WD,0.4175,-2.540866298370748,2.540866298370748
CD04_Richness,PRIMARY_XAI,Richness,TsP1,CWM_WD,0.42,-2.3689900256568346,2.3689900256568346
CD04_Richness,PRIMARY_XAI,Richness,TuP2,CWM_WD,0.422,-3.472602527677674,3.472602527677674
CD04_Richness,PRIMARY_XAI,Richness,TuP1,CWM_WD,0.4285714285714285,-2.6807118797185727,2.6807118797185727
CD04_Richness,PRIMARY_XAI,Richness,TuP8,CWM_WD,0.4366666666666667,-2.4234527823836625,2.4234527823836625
CD04_Richness,PRIMARY_XAI,Richness,TmP5,CWM_WD,0.4525,-2.399371055078894,2.399371055078894
CD04_Richness,PRIMARY_XAI,Richness,BsP10,CWM_WD,0.4529166666666667,-1.7325583616733582,1.7325583616733582
CD04_Richness,PRIMARY_XAI,Richness,CsP5,CWM_WD,0.4599999999999999,-2.430317019779249,2.430317019779249
CD04_Richness,PRIMARY_XAI,Richness,BmP5,CWM_WD,0.4599999999999999,-2.430317019779249,2.430317019779249
CD04_Richness,PRIMARY_XAI,Richness,TuP5,CWM_WD,0.4609999999999999,-2.812282598977583,2.812282598977583
CD04_Richness,PRIMARY_XAI,Richness,TmP4,CWM_WD,0.4611111111111111,-3.2182637339358577,3.2182637339358577
CD04_Richness,PRIMARY_XAI,Richness,TuP7,CWM_WD,0.462,-2.1698314987399177,2.1698314987399177
CD04_Richness,PRIMARY_XAI,Richness,TmP8,CWM_WD,0.4641666666666666,-2.570415532769909,2.570415532769909
CD04_Richness,PRIMARY_XAI,Richness,TuP3,CWM_WD,0.4644444444444444,-2.7544133670714572,2.7544133670714572
CD04_Richness,PRIMARY_XAI,Richness,TuP6,CWM_WD,0.465,-2.714964676577973,2.714964676577973
CD04_Richness,PRIMARY_XAI,Richness,BsP5,CWM_WD,0.47,-1.00819261660539,1.00819261660539
CD04_Richness,PRIMARY_XAI,Richness,CsP9,CWM_WD,0.4708333333333334,-2.044989479334784,2.044989479334784
CD04_Richness,PRIMARY_XAI,Richness,TsP3,CWM_WD,0.4716666666666667,-2.1582057932787957,2.1582057932787957
CD04_Richness,PRIMARY_XAI,Richness,BuP1,CWM_WD,0.4742857142857143,-1.4594220899990258,1.4594220899990258
CD04_Richness,PRIMARY_XAI,Richness,BsP7,CWM_WD,0.5061111111111112,0.7461414269879049,0.7461414269879049
CD04_Richness,PRIMARY_XAI,Richness,TmP3,CWM_WD,0.5196774193548387,1.0421809190271953,1.0421809190271953
