Plot_ID,Habitat,Zone,N_Primary_Models,N_High_Uncertainty_Models,N_Moderate_or_High_Models,Mean_MAE_Percentile,Mean_Prediction_SD_Percentile,High_Error_Model_Count,High_Instability_Model_Count,Uncertainty_Mechanism,Cross_Model_Uncertainty_Class,High_Uncertainty_Experiments,Composite_Uncertainty_Score
CmP5,Major River,Core,3,3,3,0.9555555555555556,0.4518518518518519,3,0,PREDOMINANTLY_ERROR,RECURRENT_HIGH,CD01_CWM_WD | CD02_FDis | CD04_Richness,5.907407407407407
BsP1,Stream,Buffer,3,2,3,0.4259259259259259,0.825925925925926,0,2,PREDOMINANTLY_INSTABILITY,RECURRENT_HIGH,CD01_CWM_WD | CD02_FDis,4.7518518518518515
TsP6,Stream,Transition,3,2,3,0.8000000000000002,0.3333333333333333,1,1,ERROR_AND_INSTABILITY,RECURRENT_HIGH,CD01_CWM_WD | CD04_Richness,4.633333333333333
TuP3,Upland,Transition,3,2,2,0.8703703703703703,0.762962962962963,2,1,ERROR_AND_INSTABILITY,RECURRENT_HIGH,CD02_FDis | CD04_Richness,4.633333333333333
TuP5,Upland,Transition,3,2,2,0.7666666666666666,0.8037037037037038,1,1,ERROR_AND_INSTABILITY,RECURRENT_HIGH,CD02_FDis | CD04_Richness,4.57037037037037
BsP8,Stream,Buffer,3,2,2,0.7481481481481481,0.6962962962962963,1,2,ERROR_AND_INSTABILITY,RECURRENT_HIGH,CD01_CWM_WD | CD04_Richness,4.444444444444445
TsP4,Stream,Transition,3,2,2,0.6777777777777777,0.6555555555555556,0,2,PREDOMINANTLY_INSTABILITY,RECURRENT_HIGH,CD01_CWM_WD | CD02_FDis,4.333333333333333
BsP10,Stream,Buffer,3,2,2,0.7333333333333334,0.5962962962962962,2,0,PREDOMINANTLY_ERROR,RECURRENT_HIGH,CD01_CWM_WD | CD04_Richness,4.32962962962963
TsP3,Stream,Transition,3,2,2,0.3,0.762962962962963,0,2,PREDOMINANTLY_INSTABILITY,RECURRENT_HIGH,CD02_FDis | CD04_Richness,4.062962962962962
TmP5,Major River,Transition,3,2,2,0.21851851851851847,0.6259259259259259,0,2,PREDOMINANTLY_INSTABILITY,RECURRENT_HIGH,CD01_CWM_WD | CD02_FDis,3.844444444444444
BuP2,Upland,Buffer,3,1,3,0.8407407407407407,0.2814814814814815,1,0,PREDOMINANTLY_ERROR,RECURRENT_MODERATE_OR_HIGH,CD01_CWM_WD,3.6222222222222222
CuP1,Upland,Core,3,1,2,0.7037037037037037,0.8111111111111112,1,1,ERROR_AND_INSTABILITY,RECURRENT_MODERATE_OR_HIGH,CD01_CWM_WD,3.514814814814815
CuP3,Upland,Core,3,1,2,0.8037037037037038,0.5925925925925927,1,0,PREDOMINANTLY_ERROR,RECURRENT_MODERATE_OR_HIGH,CD04_Richness,3.3962962962962964
TmP4,Major River,Transition,3,1,2,0.7111111111111111,0.6407407407407407,1,0,PREDOMINANTLY_ERROR,RECURRENT_MODERATE_OR_HIGH,CD02_FDis,3.351851851851852
TsP9,Stream,Transition,3,1,2,0.6185185185185186,0.6925925925925925,1,1,ERROR_AND_INSTABILITY,RECURRENT_MODERATE_OR_HIGH,CD01_CWM_WD,3.3111111111111113
TsP5,Stream,Transition,3,1,2,0.7444444444444445,0.5407407407407406,1,1,ERROR_AND_INSTABILITY,RECURRENT_MODERATE_OR_HIGH,CD01_CWM_WD,3.285185185185185
TsP8,Stream,Transition,3,1,2,0.6555555555555556,0.6296296296296297,0,1,PREDOMINANTLY_INSTABILITY,RECURRENT_MODERATE_OR_HIGH,CD02_FDis,3.285185185185185
TuP2,Upland,Transition,3,1,2,0.6777777777777777,0.5703703703703704,0,1,PREDOMINANTLY_INSTABILITY,RECURRENT_MODERATE_OR_HIGH,CD02_FDis,3.248148148148148
BsP5,Stream,Buffer,3,1,2,0.7851851851851852,0.4222222222222222,1,0,PREDOMINANTLY_ERROR,RECURRENT_MODERATE_OR_HIGH,CD04_Richness,3.2074074074074073
BuP10,Upland,Buffer,3,1,2,0.5962962962962963,0.5925925925925926,1,0,PREDOMINANTLY_ERROR,RECURRENT_MODERATE_OR_HIGH,CD04_Richness,3.188888888888889
CsP8,Stream,Core,3,1,2,0.7407407407407408,0.4148148148148148,1,0,PREDOMINANTLY_ERROR,RECURRENT_MODERATE_OR_HIGH,CD01_CWM_WD,3.155555555555556
CmP2,Major River,Core,3,1,2,0.5555555555555556,0.5333333333333333,1,0,PREDOMINANTLY_ERROR,RECURRENT_MODERATE_OR_HIGH,CD04_Richness,3.0888888888888886
CsP5,Stream,Core,3,1,2,0.35555555555555557,0.7074074074074074,0,1,PREDOMINANTLY_INSTABILITY,RECURRENT_MODERATE_OR_HIGH,CD02_FDis,3.062962962962963
CmP7,Major River,Core,3,1,2,0.5074074074074074,0.46296296296296297,1,0,PREDOMINANTLY_ERROR,RECURRENT_MODERATE_OR_HIGH,CD04_Richness,2.9703703703703703
BmP8,Major River,Buffer,3,1,2,0.6259259259259259,0.3074074074074074,1,0,PREDOMINANTLY_ERROR,RECURRENT_MODERATE_OR_HIGH,CD01_CWM_WD,2.933333333333333
TsP7,Stream,Transition,3,1,2,0.6074074074074074,0.32222222222222224,1,0,PREDOMINANTLY_ERROR,RECURRENT_MODERATE_OR_HIGH,CD02_FDis,2.92962962962963
TuP4,Upland,Transition,3,1,2,0.3962962962962962,0.462962962962963,0,1,PREDOMINANTLY_INSTABILITY,RECURRENT_MODERATE_OR_HIGH,CD02_FDis,2.859259259259259
CuP6,Upland,Core,3,0,3,0.5,0.7888888888888889,0,0,NO_EXTREME_COMPONENT,RECURRENT_MODERATE_OR_HIGH,,2.7888888888888888
CsP6,Stream,Core,3,0,3,0.5703703703703703,0.5481481481481482,0,0,NO_EXTREME_COMPONENT,RECURRENT_MODERATE_OR_HIGH,,2.6185185185185187
CsP10,Stream,Core,3,0,2,0.637037037037037,0.7296296296296295,0,0,NO_EXTREME_COMPONENT,RECURRENT_MODERATE_OR_HIGH,,2.3666666666666663
BmP6,Major River,Buffer,3,0,2,0.6666666666666666,0.6592592592592592,0,0,NO_EXTREME_COMPONENT,RECURRENT_MODERATE_OR_HIGH,,2.325925925925926
TsP2,Stream,Transition,3,0,2,0.611111111111111,0.6407407407407407,0,0,NO_EXTREME_COMPONENT,RECURRENT_MODERATE_OR_HIGH,,2.251851851851852
BsP6,Stream,Buffer,3,0,2,0.4740740740740741,0.7185185185185187,0,0,NO_EXTREME_COMPONENT,RECURRENT_MODERATE_OR_HIGH,,2.1925925925925926
CuP4,Upland,Core,3,0,2,0.611111111111111,0.5037037037037037,0,0,NO_EXTREME_COMPONENT,RECURRENT_MODERATE_OR_HIGH,,2.1148148148148147
CsP7,Stream,Core,3,0,2,0.7222222222222222,0.32962962962962966,0,0,NO_EXTREME_COMPONENT,RECURRENT_MODERATE_OR_HIGH,,2.051851851851852
TmP10,Major River,Transition,3,0,2,0.45925925925925926,0.5518518518518518,0,0,NO_EXTREME_COMPONENT,RECURRENT_MODERATE_OR_HIGH,,2.011111111111111
