Experiment_ID,Target,Predictor,Analysis_Role,Bin,N,Predictor_Min,Predictor_Mean,Predictor_Median,Predictor_Max,Mean_SHAP,Median_SHAP,SD_SHAP
CD04_Richness,Richness,CWM_WD,PRIMARY,1,9.0,0.3566666666666667,0.3819944505385682,0.38625,0.4023076923076922,-2.7742814137502756,-2.686816954877216,0.2706786315206874
CD04_Richness,Richness,CWM_WD,PRIMARY,2,9.0,0.4085714285714286,0.428271164021164,0.422,0.4529166666666667,-2.436774124945743,-2.399371055078894,0.4747201445211822
CD04_Richness,Richness,CWM_WD,PRIMARY,3,9.0,0.4599999999999999,0.4630802469135802,0.462,0.47,-2.456555340470732,-2.570415532769909,0.6181163454149652
CD04_Richness,Richness,CWM_WD,PRIMARY,4,9.0,0.4708333333333334,0.5059419576824767,0.5196774193548387,0.531,-0.0753746303879941,0.7461414269879049,1.379522979118161
CD04_Richness,Richness,CWM_WD,PRIMARY,5,9.0,0.5377777777777778,0.5473338664800652,0.5485185185185185,0.5588888888888889,1.0392784477875734,1.08533492537564,0.2727617222544607
CD04_Richness,Richness,CWM_WD,PRIMARY,6,9.0,0.5614285714285715,0.566307831071237,0.5632,0.5781250000000001,1.3340752935792832,1.3635596595898853,0.26183263480220104
CD04_Richness,Richness,CWM_WD,PRIMARY,7,9.0,0.5858823529411764,0.6008226148752577,0.6011764705882352,0.6104166666666666,1.334644079254852,1.3027998352423695,0.14605794210300943
CD04_Richness,Richness,CWM_WD,PRIMARY,8,9.0,0.6136666666666666,0.6206205982317954,0.618235294117647,0.6322222222222221,1.244166214403204,1.1824387654537534,0.44486167687432965
CD04_Richness,Richness,CWM_WD,PRIMARY,9,9.0,0.636470588235294,0.6491132043978644,0.6502608591225009,0.6655172413793102,1.1482453742628986,1.1976113010654676,0.23742689031700653
CD04_Richness,Richness,CWM_WD,PRIMARY,10,9.0,0.6658260739031261,0.6842789085888588,0.6822727272727273,0.7284615384615385,1.195187355658468,1.18486488466783,0.41367399862151744
CD04_Richness,Richness,CWM_SLA,SECONDARY,1,9.0,9.77391059520689,10.453402757462834,10.338381713408015,11.341397727922017,-0.6708969722943712,-0.6775081991827264,0.24493524140731787
CD04_Richness,Richness,CWM_SLA,SECONDARY,2,9.0,11.601087468630718,11.995948161395512,11.906946770797154,12.341068007622953,-0.271192875659972,-0.20921118028503133,0.3355708887172354
CD04_Richness,Richness,CWM_SLA,SECONDARY,3,9.0,12.355166573579424,12.650166651990922,12.69955534296875,12.947918987766622,0.31594161264113896,0.20375311793770332,0.2849567044474966
CD04_Richness,Richness,CWM_SLA,SECONDARY,4,9.0,13.084687646165843,13.3795565491017,13.297145443271011,13.731046766786818,0.859035375666835,0.8671589841731299,0.2121764310239375
CD04_Richness,Richness,CWM_SLA,SECONDARY,5,9.0,13.785111285515796,13.992963527154034,14.005026947756502,14.186070633511733,0.5921233542073123,0.5395830045072451,0.2814121787378412
CD04_Richness,Richness,CWM_SLA,SECONDARY,6,9.0,14.32755163822413,14.461567766239625,14.4402455437028,14.60966942201894,0.7267157971837781,0.8815406910258315,0.30943972739286585
CD04_Richness,Richness,CWM_SLA,SECONDARY,7,9.0,14.63175004415631,15.008240325771348,15.12998959602362,15.374096912973808,0.619342846437819,0.5960428020960657,0.27499086017937974
CD04_Richness,Richness,CWM_SLA,SECONDARY,8,9.0,15.376254737931967,15.77454769001276,15.741444597960523,16.299374171428575,0.18316373838650557,0.06915651093427957,0.465500505836872
