Trait,Plot_ID,Habitat,Zone,Cooks_D,Leverage,Studentized_Residual,Cooks_Flag,Leverage_Flag,Studentized_GT3
Wood Density,CsP5,Stream,Core,0.08133925023007041,0.09999999999999999,-2.6614449972390455,True,False,False
Wood Density,CsP9,Stream,Core,0.06581972726799426,0.09999999999999999,-2.3741474431622334,True,False,False
Wood Density,BmP5,Major River,Buffer,0.0814492713004732,0.10000000000000002,-2.6634038430935307,True,False,False
Wood Density,BuP1,Upland,Buffer,0.112480108478923,0.1,-3.184152130569534,True,False,True
Wood Density,BuP3,Upland,Buffer,0.04605483828113475,0.1,1.965264093815637,True,False,False
Wood Density,TmP2,Major River,Transition,0.05155966525129187,0.09999999999999998,-2.085427184430558,True,False,False
Specific Leaf Area,CsP8,Stream,Core,0.052334547228523265,0.09999999999999999,-2.101898328270737,True,False,False
Specific Leaf Area,TmP5,Major River,Transition,0.06777021678132022,0.09999999999999998,2.4115870551871206,True,False,False
Specific Leaf Area,TuP1,Upland,Transition,0.12909138730197325,0.10000000000000005,3.4435574653291967,True,False,True
Log10 Seed Mass,CsP5,Stream,Core,0.05416768152641931,0.09999999999999999,-2.140464564449791,True,False,False
Log10 Seed Mass,BmP5,Major River,Buffer,0.05470982459751613,0.10000000000000002,-2.151766206323018,True,False,False
Log10 Seed Mass,BsP3,Stream,Buffer,0.07481818946234817,0.1,2.5435193612337033,True,False,False
Log10 Seed Mass,BsP7,Stream,Buffer,0.0499139796686644,0.1,2.050098030640977,True,False,False
Log10 Seed Mass,TmP2,Major River,Transition,0.12848777466119202,0.09999999999999998,-3.4343073188392905,True,False,True
Log10 Seed Mass,TmP5,Major River,Transition,0.057083934681499277,0.09999999999999998,2.2007232218936656,True,False,False
Log10 Seed Mass,TsP1,Stream,Transition,0.05985119204352323,0.09999999999999996,-2.256748154205698,True,False,False
Log10 Seed Mass,TsP5,Stream,Transition,0.045124839635047743,0.09999999999999996,1.9443727740634882,True,False,False
Log10 Seed Mass,TuP5,Upland,Transition,0.07957585993933705,0.10000000000000005,2.629914705809749,True,False,False
Maximum Height,CsP9,Stream,Core,0.055252817934558364,0.09999999999999999,2.163039284411208,True,False,False
Maximum Height,TmP4,Major River,Transition,0.16067529319912302,0.09999999999999998,3.9134027001630853,True,False,True
Maximum Height,TmP8,Major River,Transition,0.05081364205491774,0.09999999999999998,2.069471317843403,True,False,False
Maximum Height,TuP6,Upland,Transition,0.1603231868087071,0.10000000000000005,3.908292701026961,True,False,True
