Trait,Habitat,Zone,N_Plots,Mean,SD,Skewness,Shapiro_W,Shapiro_p
Wood Density,Major River,Buffer,10,0.5679268263102342,0.047234444831566726,-1.136085264961719,0.9117076698327921,0.2929281303774658
Wood Density,Major River,Core,10,0.6555236700799201,0.035426731291402995,0.9241498121581307,0.9342158003025743,0.49061390194514687
Wood Density,Major River,Transition,10,0.5033698786876206,0.04973902442557572,-0.5614038625857581,0.8847041669858764,0.1477018964333594
Wood Density,Stream,Buffer,10,0.5251431491180185,0.03854546265064808,-0.9426189681417655,0.9017382697540077,0.22891372848732938
Wood Density,Stream,Core,10,0.5678539083001622,0.061027457753455305,-1.040967060176215,0.8312801486486422,0.03466972127850324
Wood Density,Stream,Transition,10,0.3954438150085209,0.03387713579990684,1.2186329485295015,0.9010611140498719,0.2250441344912536
Wood Density,Upland,Buffer,10,0.6011162036329682,0.0610172115173489,-0.7160166110410267,0.9394871274159733,0.5473207371928321
Wood Density,Upland,Core,10,0.6526962248436534,0.02789868348824997,-0.15926889662705232,0.9420636509872296,0.5761966200130471
Wood Density,Upland,Transition,10,0.4339146825396825,0.028921448697089666,-0.36693884054979387,0.8983720832131579,0.2102419353224647
Specific Leaf Area,Major River,Buffer,10,13.834928715965106,1.9432807884789587,-0.020479655368647806,0.9904888571828457,0.9973691700544545
Specific Leaf Area,Major River,Core,10,12.605436407219306,1.4998263126910705,0.17261866274894375,0.9666638044864139,0.8583079544864668
Specific Leaf Area,Major River,Transition,10,17.045340406559355,2.6805284129864835,0.45144440566477956,0.9103698520350112,0.2835411878014632
Specific Leaf Area,Stream,Buffer,10,13.86261455703027,1.642562125593854,0.26630626528620466,0.92777281386871,0.42634641124521866
Specific Leaf Area,Stream,Core,10,13.994407009383957,2.0679742385097106,-0.5740930009574601,0.9425417805231502,0.5816276093447843
Specific Leaf Area,Stream,Transition,10,16.69898085235492,2.213416450210455,-0.15606694546582353,0.8943665997405246,0.18980085920285988
Specific Leaf Area,Upland,Buffer,10,13.738979744760329,1.4052915954816305,-0.0433240003778715,0.9496999419753075,0.664951635326385
Specific Leaf Area,Upland,Core,10,11.76058001142929,1.3579170954988118,-0.6352883984757193,0.8406997125967218,0.04498414461337516
Specific Leaf Area,Upland,Transition,10,16.95104981902592,2.7758268591398965,1.275070614676995,0.8940201827757169,0.18811992545370748
Log10 Seed Mass,Major River,Buffer,10,2.0769606471712625,0.2909930820459362,-1.503855303472712,0.8571126180132165,0.07054650669613036
Log10 Seed Mass,Major River,Core,10,2.4086589377270227,0.12825217163981092,0.756197858273247,0.9047117720914861,0.24660394242548372
Log10 Seed Mass,Major River,Transition,10,2.414423210656847,0.4962498753787551,-0.7328701206725917,0.9441092566901385,0.5995747146161112
Log10 Seed Mass,Stream,Buffer,10,1.9579969088729168,0.435572857263946,0.9276934173373159,0.8793802040309711,0.12837133212519414
Log10 Seed Mass,Stream,Core,10,2.073607454677938,0.3295868080606038,-0.9383595237054384,0.92991009023162,0.44700838861160963
Log10 Seed Mass,Stream,Transition,10,2.0282930652435143,0.4163465960133538,-0.23888860819281688,0.9741073251923793,0.9260972661231748
Log10 Seed Mass,Upland,Buffer,10,2.097365026729123,0.1241335612909245,-0.7241366159566236,0.9576789892977302,0.7591178595549626
Log10 Seed Mass,Upland,Core,10,2.140360395216761,0.10489571550167276,1.2107475444743745,0.9027827194187846,0.23499680055161898
Log10 Seed Mass,Upland,Transition,10,2.7269730929069187,0.4276919190480907,0.7835172444856817,0.9432431431461918,0.5896318690372205
Maximum Height,Major River,Buffer,10,22.715243375260687,2.2718204964527957,-0.31537218795123845,0.9502565280973762,0.6715363236196273
Maximum Height,Major River,Core,10,25.328602554227125,2.2930764539635815,0.16699301551065202,0.9022866477923857,0.23209014690127144
Maximum Height,Major River,Transition,10,27.09719685991978,6.469482836569704,1.4555121596125702,0.8313844124914429,0.034770053934942036
Maximum Height,Stream,Buffer,10,25.0414589733691,3.6461390116363437,0.037246106477172684,0.9134384978855005,0.3054547479200784
Maximum Height,Stream,Core,10,24.47095205847295,3.256441307589426,1.9997259167827726,0.7918819841379302,0.0115506926816444
Maximum Height,Stream,Transition,10,28.680232514743704,4.209231631077116,0.26570647087413723,0.9662704413162182,0.854277909694934
Maximum Height,Upland,Buffer,10,24.734199578941194,2.6538524544849853,-0.4733319626280371,0.9228203197501453,0.3810791941777919
Maximum Height,Upland,Core,10,26.57008363578219,2.4220617834398595,0.28558121001773573,0.9505493360407917,0.6750031265861204
Maximum Height,Upland,Transition,10,19.710563209345235,6.852705202981086,0.8538437203121129,0.8990475551570764,0.21387656729561721
