Trait,Column,Effect,DF,Classical_F,Classical_p,HC3_F,HC3_p,Partial_Eta_Squared,Residual_DF,Effect_Size_Class,HC3_Significant,Classical_Significant,Inference_Agreement
Wood Density,CWM_WD,Habitat,2.0,27.772250008946198,6.531872473486254e-10,23.86871963692451,7.089182874247162e-09,0.40678679852073135,81.0,LARGE,True,True,True
Wood Density,CWM_WD,Zone,2.0,129.9742747181958,5.244993541978936e-26,137.03546081487235,1.0136345716849534e-26,0.7624274978324505,81.0,LARGE,True,True,True
Wood Density,CWM_WD,Habitat_x_Zone,4.0,3.7631294976985172,0.007381378271942208,3.4612579814255717,0.011591941869191824,0.15671133152632963,81.0,LARGE,True,True,True
Specific Leaf Area,CWM_SLA,Habitat,2.0,0.9082023870310527,0.4073147700772848,0.8525214975012136,0.4301278849305282,0.021932910261168437,81.0,SMALL,False,False,True
Specific Leaf Area,CWM_SLA,Zone,2.0,33.78144834436713,2.1442416947469593e-11,24.423634317265122,5.007421065122154e-09,0.45477638222341993,81.0,LARGE,True,True,True
Specific Leaf Area,CWM_SLA,Habitat_x_Zone,4.0,1.1542538120026635,0.3372371573641678,1.1948356401947409,0.3194464104349023,0.05392637473563331,81.0,SMALL,False,False,True
Log10 Seed Mass,CWM_Log10_Seed_Mass,Habitat,2.0,7.432239908119652,0.0010876911717827887,5.82588888079053,0.004325796797037061,0.15505722082603202,81.0,LARGE,True,True,True
Log10 Seed Mass,CWM_Log10_Seed_Mass,Zone,2.0,7.8557833491324605,0.0007616707952135972,5.745992847694499,0.004639028911608039,0.16245798961446042,81.0,LARGE,True,True,True
Log10 Seed Mass,CWM_Log10_Seed_Mass,Habitat_x_Zone,4.0,3.267637627618627,0.015491786751974896,3.757061279793903,0.007448557984869063,0.13894412692970406,81.0,MEDIUM,True,True,True
Maximum Height,CWM_Max_Height_m,Habitat,2.0,2.5318394526600962,0.08579007469371029,2.285189495637763,0.10827877093448625,0.05883642170224693,81.0,SMALL,False,False,True
Maximum Height,CWM_Max_Height_m,Zone,2.0,0.8066023488007908,0.4499246125514418,1.4645258543767878,0.23724357503736565,0.019527201535233702,81.0,SMALL,False,False,True
Maximum Height,CWM_Max_Height_m,Habitat_x_Zone,4.0,6.235522095353925,0.00019998669042273773,3.9027177499385255,0.005993813263043956,0.23543134520454692,81.0,LARGE,True,True,True
