Trait,Comparison_Family,Level_A,Level_B,Difference_A_minus_B,HC3_SE,HC3_t,Raw_p,CI95_Lower,CI95_Upper,Holm_p,Holm_Significant,Seed_Mass_Ratio_A_over_B,Seed_Mass_Ratio_CI95_Lower,Seed_Mass_Ratio_CI95_Upper
Wood Density,Habitat_within_Buffer,Major River,Stream,0.04278367719221561,0.020321978986907602,2.1052908882436556,0.038364262917077604,0.002349313536386996,0.08321804084804423,0.07672852583415521,False,,,
Wood Density,Habitat_within_Buffer,Major River,Upland,-0.03318937732273431,0.025721138906655554,-1.2903541108028576,0.20059912270004232,-0.08436637562904209,0.01798762098357347,0.20059912270004232,False,,,
Wood Density,Habitat_within_Buffer,Stream,Upland,-0.07597305451494991,0.024057460825433478,-3.157983091658261,0.0022325809054950943,-0.12383985529641511,-0.028106253733484722,0.006697742716485283,True,,,
Wood Density,Habitat_within_Core,Major River,Stream,0.0876697617797579,0.023521630446706916,3.7271974822660248,0.0003572188865917858,0.04086909537453767,0.13447042818497812,0.0008564664702430168,True,,,
Wood Density,Habitat_within_Core,Major River,Upland,0.0028274452362668304,0.01503104132701844,0.18810707620000156,0.8512631714353782,-0.02707961211941725,0.03273450259195091,0.8512631714353782,False,,,
Wood Density,Habitat_within_Core,Stream,Upland,-0.08484231654349107,0.02236735503219748,-3.7931313926640766,0.0002854888234143389,-0.12934633694295933,-0.040338296144022824,0.0008564664702430168,True,,,
Wood Density,Habitat_within_Transition,Major River,Stream,0.10792606367909972,0.02005999579265866,5.380163824291395,7.053475290284082e-07,0.06801296440184379,0.14783916295635566,2.1160425870852244e-06,True,,,
Wood Density,Habitat_within_Transition,Major River,Upland,0.06945519614793808,0.01917875197407107,3.6214658931842285,0.0005091966892126872,0.0312954956441568,0.10761489665171936,0.0010183933784253744,True,,,
Wood Density,Habitat_within_Transition,Stream,Upland,-0.03847086753116165,0.014847785187411785,-2.591017249076174,0.011346564549709911,-0.06801330265218086,-0.008928432410142441,0.011346564549709911,True,,,
Log10 Seed Mass,Habitat_within_Buffer,Major River,Stream,0.11896373829834615,0.1746108968801682,0.6813076412979452,0.4976201202360512,-0.22845717515066805,0.4663846517473604,1.0,False,1.3151150212195786,0.5909392339549363,2.926743427513331
Log10 Seed Mass,Habitat_within_Buffer,Major River,Upland,-0.020404379557860813,0.10545463207642149,-0.19348964721695722,0.8470598934618703,-0.23022601874549622,0.1894172596297746,1.0,False,0.9541037887601987,0.5885372847152419,1.5467397960470974
Log10 Seed Mass,Habitat_within_Buffer,Stream,Upland,-0.13936811785620695,0.150971982324847,-0.9231389540631987,0.3586765373238866,-0.4397550063131322,0.1610187706007183,1.0,False,0.7254907543185126,0.3632829317127882,1.4488344721291968
Log10 Seed Mass,Habitat_within_Core,Major River,Stream,0.3350514830490835,0.11788699088435166,2.8421412789963605,0.005668100624664806,0.10049334957300046,0.5696096165251665,0.011336201249329611,True,2.1629749164475354,1.260356337690661,3.7120140941676243
Log10 Seed Mass,Habitat_within_Core,Major River,Upland,0.2682985425102627,0.05522854602159543,4.8579686020586665,5.699932458077235e-06,0.15841105982668413,0.37818602519384126,1.7099797374231706e-05,True,1.8548062152986684,1.440161046126372,2.3888342943061995
Log10 Seed Mass,Habitat_within_Core,Stream,Upland,-0.06675294053882083,0.11529217723206314,-0.578989330771842,0.5642030307232677,-0.29614820877902615,0.16264232770138448,0.5642030307232677,False,0.8575255317084293,0.5056520720479583,1.4542609002936717
Log10 Seed Mass,Habitat_within_Transition,Major River,Stream,0.38613014541333235,0.21592396471014638,1.7882690600446716,0.07747193564039258,-0.043490814077036755,0.8157511049037014,0.15494387128078516,False,2.4329329790307006,0.9047095733820243,6.54261108161808
Log10 Seed Mass,Habitat_within_Transition,Major River,Upland,-0.3125498822500719,0.2183738681030181,-1.431260456963771,0.1562026598110156,-0.7470453810150286,0.12194561651488472,0.1562026598110156,False,0.4869115962007914,0.1790418756871608,1.3241757080843846
Log10 Seed Mass,Habitat_within_Transition,Stream,Upland,-0.6986800276634042,0.19895975741366667,-3.511665056018064,0.0007309531975910512,-1.09454753590768,-0.30281251941912857,0.0021928595927731536,True,0.20013358378444968,0.08043637017246584,0.49795199948142393
Maximum Height,Habitat_within_Buffer,Major River,Stream,-2.32621559810843,1.431995424429354,-1.6244574238324958,0.10816348421776975,-5.175437309348378,0.523006113131518,0.26028294108930616,False,,,
Maximum Height,Habitat_within_Buffer,Major River,Upland,-2.0189562036805295,1.164478959224016,-1.7337850441075546,0.08676098036310206,-4.335904062801882,0.29799165544082307,0.26028294108930616,False,,,
Maximum Height,Habitat_within_Buffer,Stream,Upland,0.3072593944279005,1.5032284716699442,0.204399663935692,0.8385539094589611,-2.683693736684809,3.2982125255406105,0.8385539094589611,False,,,
Maximum Height,Habitat_within_Core,Major River,Stream,0.8576504957541806,1.3275963917085027,0.6460174953100452,0.5200941116390068,-1.78384988789896,3.4991508794073214,0.5348856729256736,False,,,
Maximum Height,Habitat_within_Core,Major River,Upland,-1.2414810815550532,1.1117844968299122,-1.116656227079035,0.2674428364628368,-3.4535834895289432,0.9706213264188368,0.5348856729256736,False,,,
Maximum Height,Habitat_within_Core,Stream,Upland,-2.099131577309234,1.3528075034524234,-1.551685344701415,0.12463617982823083,-4.790794165198397,0.5925310105799291,0.3739085394846925,False,,,
Maximum Height,Habitat_within_Transition,Major River,Stream,-1.5830356548239206,2.572759847512008,-0.6153064213726741,0.5400773238355019,-6.702020736957628,3.5359494273097876,0.5400773238355019,False,,,
Maximum Height,Habitat_within_Transition,Major River,Upland,7.386633650574551,3.14136871746544,2.3514061273693243,0.021132409222259313,1.136295276498215,13.636972024650888,0.042264818444518626,True,,,
Maximum Height,Habitat_within_Transition,Stream,Upland,8.969669305398472,2.6807378653195935,3.345970309681556,0.0012448125421574345,3.635841837999026,14.303496772797919,0.0037344376264723035,True,,,
Wood Density,Zone_within_Major River,Buffer,Core,-0.08759684376968592,0.019681198214820818,-4.450788148849677,2.7053038691546928e-05,-0.1267562546869593,-0.04843743285241253,5.4106077383093856e-05,True,,,
