Habitat,Zone,Trait,Column,N_Plots,Mean,SD,Median,Min,Q1,Q3,Max
Major River,Buffer,Wood Density,CWM_WD,10,0.5679268263102342,0.047234444831566726,0.5700555555555555,0.45999999999999996,0.5566071428571429,0.5954136029411764,0.636470588235294
Major River,Buffer,Specific Leaf Area,CWM_SLA,10,13.834928715965106,1.9432807884789587,13.918476661179948,10.493065249566962,12.9249814083738,15.033560588093696,17.267074181434733
Major River,Buffer,Log10 Seed Mass,CWM_Log10_Seed_Mass,10,2.0769606471712625,0.2909930820459362,2.182720839601381,1.4018732989339722,1.9580575877120894,2.2492384441631312,2.3587842585916303
Major River,Buffer,Maximum Height,CWM_Max_Height_m,10,22.715243375260687,2.2718204964527957,23.003334598805626,18.825774200799998,21.231973891771712,24.620530270470237,25.544227017
Major River,Core,Wood Density,CWM_WD,10,0.6555236700799201,0.035426731291402995,0.645922619047619,0.6136666666666666,0.6322045454545455,0.6726491477272728,0.7284615384615385
Major River,Core,Specific Leaf Area,CWM_SLA,10,12.605436407219306,1.4998263126910705,12.753271711023864,10.338381713408015,11.473249593079139,13.451744673270312,15.376254737931967
Major River,Core,Log10 Seed Mass,CWM_Log10_Seed_Mass,10,2.4086589377270227,0.12825217163981092,2.3722192793546624,2.245973054844591,2.3223275761011806,2.484945677799908,2.627693105159757
Major River,Core,Maximum Height,CWM_Max_Height_m,10,25.328602554227125,2.2930764539635815,25.295828930192307,22.1469700221875,23.532938196193186,27.562407766202384,28.267052380909085
Major River,Transition,Wood Density,CWM_WD,10,0.5033698786876206,0.04973902442557572,0.5248387096774193,0.4175,0.46187500000000004,0.5386944444444444,0.5588888888888889
Major River,Transition,Specific Leaf Area,CWM_SLA,10,17.045340406559355,2.6805284129864835,15.98958792777201,13.847719242169045,15.299020968667149,19.098158511182056,21.528194813553476
Major River,Transition,Log10 Seed Mass,CWM_Log10_Seed_Mass,10,2.414423210656847,0.4962498753787551,2.413261832316298,1.3798571871854517,2.2701607583465657,2.7627308031451556,3.104002577047117
Major River,Transition,Maximum Height,CWM_Max_Height_m,10,27.09719685991978,6.469482836569704,24.870627238836537,21.2696171651,22.915152116166666,28.776704292125,41.24330894777778
Stream,Buffer,Wood Density,CWM_WD,10,0.5251431491180185,0.03854546265064808,0.5360555555555555,0.4529166666666667,0.5095591769309898,0.5516033138401559,0.5675000000000001
Stream,Buffer,Specific Leaf Area,CWM_SLA,10,13.86261455703027,1.642562125593854,13.82825559114271,11.880617518478735,12.542840483693388,14.843387033621276,16.55329870242334
Stream,Buffer,Log10 Seed Mass,CWM_Log10_Seed_Mass,10,1.9579969088729168,0.435572857263946,1.8067069113619625,1.496132097017028,1.7111644884549784,2.166991490510257,2.7474583171693
