Zone,Trait,Column,N_Plots,Mean,SD,Median,Min,Q1,Q3,Max
Buffer,Wood Density,CWM_WD,30,0.5647287263537404,0.05752734068108748,0.5623333333333334,0.4529166666666667,0.5402777777777777,0.6010212418300653,0.6822727272727273
Buffer,Specific Leaf Area,CWM_SLA,30,13.8121743392519,1.6202059203700452,13.905976155807611,10.493065249566962,12.519950394749324,14.625074637721132,17.267074181434733
Buffer,Log10 Seed Mass,CWM_Log10_Seed_Mass,30,2.044107527591101,0.3063464194602912,2.0819934545622996,1.4018732989339722,1.8549979404512427,2.2317872364996947,2.7474583171693
Buffer,Maximum Height,CWM_Max_Height_m,30,24.163633975857,3.0024441184604584,24.253335944041666,18.825774200799998,21.736453216510714,26.02009887817857,30.471596900555557
Core,Wood Density,CWM_WD,30,0.6253579344079119,0.05914923597717348,0.6314444444444445,0.45999999999999996,0.6112291666666666,0.6657488657721722,0.7284615384615385
Core,Specific Leaf Area,CWM_SLA,30,12.78680780934418,1.8641145294217885,12.753271711023864,9.77391059520689,11.638384326986944,14.042215480443296,17.267074181434733
Core,Log10 Seed Mass,CWM_Log10_Seed_Mass,30,2.207542262540574,0.2528261828499822,2.227558607634339,1.4018732989339722,2.078053865364056,2.36377577028643,2.627693105159757
Core,Maximum Height,CWM_Max_Height_m,30,25.45654608282742,2.7407414435954944,24.99004366333333,20.57668861141176,23.382968368812733,27.44017976936316,32.76639843916667
Transition,Wood Density,CWM_WD,30,0.44424279207860806,0.05871114371283674,0.4326190476190476,0.3566666666666667,0.3987019230769231,0.4648611111111111,0.5588888888888889
Transition,Specific Leaf Area,CWM_SLA,30,16.89845702598007,2.4826866155052736,16.430072888750736,13.640990887702715,14.831804504536347,18.95249688999588,23.138102740162505
Transition,Log10 Seed Mass,CWM_Log10_Seed_Mass,30,2.389896456269093,0.52102523502623,2.3953579896266426,1.3221971321881052,2.097794793414047,2.706447935477021,3.5411484963725726
Transition,Maximum Height,CWM_Max_Height_m,30,25.162664194669574,6.990618728464711,24.542883536298078,12.592917716666667,21.394269925314514,29.603487732791667,41.24330894777778
