Metric,Habitat,Zone,N_Plots,Mean,SD,Skewness,Shapiro_W,Shapiro_p
Functional Dispersion,Major River,Buffer,10,1.717780167185083,0.12748559660715705,1.0529202821082193,0.9204575272499169,0.3607866676916269
Functional Dispersion,Major River,Core,10,1.4879378800394285,0.13031023704934663,-0.5794140790409497,0.9076750682011566,0.2653999574431709
Functional Dispersion,Major River,Transition,10,1.5416085241855781,0.31089116355845564,0.4146298352586267,0.9650766670854399,0.8418279925592727
Functional Dispersion,Stream,Buffer,10,1.5869655543061614,0.22316957464114506,-0.25085354626097894,0.9289570008916344,0.4377119262923175
Functional Dispersion,Stream,Core,10,1.6977849756520413,0.1436873054534481,0.6595836585522455,0.9671691188208044,0.8634292176961955
Functional Dispersion,Stream,Transition,10,1.5602301568802992,0.4299591009887281,-0.3597017614925641,0.888900301296486,0.16480306254165483
Functional Dispersion,Upland,Buffer,10,1.5804912960213322,0.16847378323166032,-0.18501007738863015,0.9592238856776794,0.7769873784371839
Functional Dispersion,Upland,Core,10,1.6947540073779064,0.0908506832372238,-0.5229287295544981,0.9423932007561175,0.5799376436086405
Functional Dispersion,Upland,Transition,10,1.7068082170563872,0.5565146748117966,0.8462144642977282,0.9149570672171176,0.3168048774583364
Rao Quadratic Entropy,Major River,Buffer,10,2.2539270184217264,0.1378208048313033,-0.2159316949308593,0.9188896715987954,0.3477873674575285
Rao Quadratic Entropy,Major River,Core,10,1.9592616029605083,0.19351815268832,-0.7633833514161483,0.9124633379598054,0.2983438216110884
Rao Quadratic Entropy,Major River,Transition,10,2.0082254619536863,0.43932391617405553,-0.4620036710554915,0.9778779288885923,0.9528071473024754
Rao Quadratic Entropy,Stream,Buffer,10,2.0628032915972074,0.3533974088784688,-0.23405924206063644,0.9202850610049494,0.35933855228834094
Rao Quadratic Entropy,Stream,Core,10,2.218461510907274,0.16865453533023497,-0.2802138831202147,0.923872772934284,0.39039007186111413
Rao Quadratic Entropy,Stream,Transition,10,1.9320082937491574,0.6039359952608566,-0.5850144336427778,0.864717042296707,0.08670869776571416
Rao Quadratic Entropy,Upland,Buffer,10,2.0937625648089013,0.24624469634438836,-0.20515076880401312,0.9177506815363696,0.33857611682409616
Rao Quadratic Entropy,Upland,Core,10,2.1249224305105865,0.1376236429387234,-1.0711070740940707,0.9239752353550121,0.3913054842709823
Rao Quadratic Entropy,Upland,Transition,10,2.110434329332891,0.7391588399113166,0.30521674063324966,0.9298568898250231,0.44648599693284474
