Habitat,Zone,Metric,Column,N_Plots,Mean,SD,Median,Min,Q1,Q3,Max
Major River,Buffer,Functional Dispersion,FDis,10,1.717780167185083,0.12748559660715705,1.688706580040766,1.5753154471664896,1.6312685321694158,1.7813604628602773,1.9907648308977288
Major River,Buffer,Rao Quadratic Entropy,RaoQ,10,2.2539270184217264,0.1378208048313033,2.2334517655140087,2.0355641444851122,2.164713459593215,2.3817138067611463,2.4190489048719166
Major River,Core,Functional Dispersion,FDis,10,1.4879378800394285,0.13031023704934663,1.5062928833709814,1.2468049033003983,1.3890808451928969,1.6024479797600826,1.6260822291125803
Major River,Core,Rao Quadratic Entropy,RaoQ,10,1.9592616029605083,0.19351815268832,1.9816972111543738,1.5698544889289683,1.8397575827425183,2.1279140420737344,2.1688451167384857
Major River,Transition,Functional Dispersion,FDis,10,1.5416085241855781,0.31089116355845564,1.4834836964852056,1.0027869076632236,1.4124119470057792,1.684323401065762,2.1676288473661294
Major River,Transition,Rao Quadratic Entropy,RaoQ,10,2.0082254619536863,0.43932391617405553,2.018501911444169,1.1731788783397201,1.8554827315578635,2.304937088078429,2.6681643800871866
Stream,Buffer,Functional Dispersion,FDis,10,1.5869655543061614,0.22316957464114506,1.614691363018371,1.2376536979554675,1.3943123152477033,1.7613173490129528,1.8642543387857862
Stream,Buffer,Rao Quadratic Entropy,RaoQ,10,2.0628032915972074,0.3533974088784688,2.0716512669157527,1.493048216695286,1.8196224813441844,2.405374335739224,2.477895778840737
Stream,Core,Functional Dispersion,FDis,10,1.6977849756520413,0.1436873054534481,1.6841385877979542,1.4797042507397251,1.6010716781638417,1.748464171624691,1.9907648308977288
Stream,Core,Rao Quadratic Entropy,RaoQ,10,2.218461510907274,0.16865453533023497,2.222067795508922,1.9300455755169903,2.100434662206509,2.355362748861886,2.4205144567347725
Stream,Transition,Functional Dispersion,FDis,10,1.5602301568802992,0.4299591009887281,1.6876494359757803,0.9417009797196452,1.135950139132611,1.9251843508669941,2.0714197313272513
Stream,Transition,Rao Quadratic Entropy,RaoQ,10,1.9320082937491574,0.6039359952608566,2.173493725940435,0.9794698250574968,1.354061005837177,2.4359878690404235,2.5571850420537796
Upland,Buffer,Functional Dispersion,FDis,10,1.5804912960213322,0.16847378323166032,1.5897715001874722,1.3121914361187996,1.438549189907575,1.7160348925612021,1.8201912166460104
Upland,Buffer,Rao Quadratic Entropy,RaoQ,10,2.0937625648089013,0.24624469634438836,2.1134436744550715,1.7433507714917669,1.91483672483966,2.293254056497762,2.4080727220588276
Upland,Core,Functional Dispersion,FDis,10,1.6947540073779064,0.0908506832372238,1.6912909485348244,1.5257145471226055,1.65559820411663,1.7757398645767468,1.8046892903272354
Upland,Core,Rao Quadratic Entropy,RaoQ,10,2.1249224305105865,0.1376236429387234,2.157041498218006,1.827306763669844,2.0656286526035634,2.2168317912505793,2.2860309112170216
Upland,Transition,Functional Dispersion,FDis,10,1.7068082170563872,0.5565146748117966,1.6548256224293112,0.8766009122519117,1.5540016593739867,1.8935977697750075,2.924414402508278
Upland,Transition,Rao Quadratic Entropy,RaoQ,10,2.110434329332891,0.7391588399113166,2.1072979743332105,0.994169021412492,1.9524198637652503,2.326266444956963,3.5726380156657536
