Plot_ID,Zone,Habitat,FD_Richness,Unique_Functional_Vectors,Zero_Distance_Taxon_Pairs,FEve_PreCorrection,FEve,Absolute_Change
CmP1,Core,Major River,12,12,0,0.539451508532976,0.7697257542664879,0.23027424573351196
CmP2,Core,Major River,15,15,0,0.39178276941839274,0.6958913847091963,0.3041086152908036
CmP3,Core,Major River,12,12,0,0.5744382123027525,0.7872191061513764,0.21278089384862386
CmP4,Core,Major River,10,10,0,0.44422549237764786,0.7221127461888238,0.27788725381117596
CmP5,Core,Major River,7,7,0,0.6301461752812327,0.8150730876406163,0.18492691235938352
CmP6,Core,Major River,13,13,0,0.5495381017874488,0.7747690508937245,0.22523094910627572
CmP7,Core,Major River,16,16,0,0.6084100520018565,0.804205026000928,0.19579497399907153
CmP8,Core,Major River,11,11,0,0.49902010392266516,0.7495100519613326,0.2504899480386674
CmP9,Core,Major River,13,13,0,0.43879931761530544,0.7193996588076528,0.28060034119234734
CmP10,Core,Major River,13,13,0,0.48611565296854875,0.7430578264842743,0.25694217351572557
CsP1,Core,Stream,11,11,0,0.6950509218337964,0.8475254609168981,0.1524745390831017
CsP2,Core,Stream,10,10,0,0.5618670260564522,0.780933513028226,0.21906648697177378
CsP3,Core,Stream,12,12,0,0.4087217944156738,0.7043608972078369,0.2956391027921631
CsP4,Core,Stream,13,13,0,0.5448188082563563,0.7724094041281778,0.2275905958718215
CsP5,Core,Stream,5,5,0,0.938866714569796,0.9694333572848978,0.03056664271510179
CsP6,Core,Stream,15,15,0,0.7090954508806688,0.8545477254403343,0.14545227455966547
CsP7,Core,Stream,9,9,0,0.5125858811768609,0.7562929405884304,0.24370705941156956
CsP8,Core,Stream,7,7,0,0.3689299459539276,0.6844649729769638,0.31553502702303626
CsP9,Core,Stream,6,6,0,0.6747218229124837,0.8373609114562419,0.1626390885437582
CsP10,Core,Stream,10,10,0,0.4702474358524974,0.7351237179262486,0.26487628207375125
CuP1,Core,Upland,8,8,0,0.4097360151885592,0.7048680075942797,0.2951319924057205
CuP2,Core,Upland,10,10,0,0.48193173496568364,0.740965867482842,0.25903413251715834
CuP3,Core,Upland,7,7,0,0.4906364983305085,0.7453182491652542,0.25468175083474576
CuP4,Core,Upland,10,10,0,0.4537894011039645,0.7268947005519822,0.27310529944801776
CuP5,Core,Upland,13,13,0,0.5277221903543612,0.7638610951771807,0.23613890482281952
CuP6,Core,Upland,12,12,0,0.6303704205451166,0.8151852102725584,0.1848147897274418
CuP7,Core,Upland,10,10,0,0.592469207706712,0.796234603853356,0.20376539614664402
CuP8,Core,Upland,11,11,0,0.5957848661363561,0.7978924330681779,0.20210756693182186
CuP9,Core,Upland,14,14,0,0.5530149411000248,0.7765074705500125,0.22349252944998765
CuP10,Core,Upland,13,13,0,0.6495578431166811,0.8247789215583404,0.17522107844165935
BmP1,Buffer,Major River,10,10,0,0.4495758113996524,0.7247879056998263,0.2752120943001739
BmP2,Buffer,Major River,10,10,0,0.5618670260564522,0.780933513028226,0.21906648697177378
BmP3,Buffer,Major River,11,11,0,0.42088031611319243,0.7104401580565961,0.2895598419434037
BmP4,Buffer,Major River,11,11,0,0.6267070100987001,0.81335350504935,0.1866464949506499
BmP5,Buffer,Major River,5,5,0,0.938866714569796,0.9694333572848978,0.03056664271510179
BmP6,Buffer,Major River,14,14,0,0.5533197568258934,0.7766598784129466,0.2233401215870532
BmP7,Buffer,Major River,10,10,0,0.5175179408359345,0.7587589704179671,0.24124102958203264
BmP8,Buffer,Major River,8,8,0,0.4282319989041432,0.7141159994520714,0.2858840005479282
BmP9,Buffer,Major River,14,14,0,0.5330028111214118,0.7665014055607058,0.233498594439294
BmP10,Buffer,Major River,10,10,0,0.2838414983935251,0.6419207491967623,0.3580792508032372
BsP1,Buffer,Stream,7,7,0,-0.14719158689998002,0.42640420655001,0.57359579344999
BsP2,Buffer,Stream,7,7,0,0.36344169515405944,0.6817208475770298,0.31827915242297034
BsP3,Buffer,Stream,8,8,0,0.5387085238970518,0.7693542619485259,0.23064573805147404
BsP4,Buffer,Stream,13,13,0,0.38071390851811937,0.6903569542590597,0.30964304574094037
BsP5,Buffer,Stream,12,11,1,0.7921395987223694,0.8960697993611846,0.1039302006388152
BsP6,Buffer,Stream,8,8,0,0.7609272142873028,0.8804636071436512,0.11953639285634843
BsP7,Buffer,Stream,11,11,0,0.5238372016348601,0.76191860081743,0.23808139918256987
BsP8,Buffer,Stream,16,16,0,0.6717039602242314,0.8358519801121154,0.16414801988788397
BsP9,Buffer,Stream,13,13,0,0.5175936505640297,0.7587968252820148,0.24120317471798502
BsP10,Buffer,Stream,14,14,0,0.6082461737807221,0.8041230868903609,0.19587691310963884
BuP1,Buffer,Upland,7,7,0,0.769585952578547,0.8847929762892732,0.11520702371072622
BuP2,Buffer,Upland,10,10,0,0.6654336836536675,0.8327168418268337,0.1672831581731662
BuP3,Buffer,Upland,9,9,0,0.6484257977391925,0.8242128988695961,0.17578710113040363
BuP4,Buffer,Upland,11,11,0,0.45009443178765673,0.7250472158938284,0.27495278410617163
BuP5,Buffer,Upland,11,11,0,0.2406588425934928,0.6203294212967464,0.3796705787032536
BuP6,Buffer,Upland,12,12,0,0.485577096010689,0.7427885480053447,0.25721145199465567
BuP7,Buffer,Upland,13,13,0,0.686730286237804,0.843365143118902,0.15663485688109802
BuP8,Buffer,Upland,14,14,0,0.47010188029742506,0.7350509401487123,0.26494905985128725
BuP9,Buffer,Upland,13,13,0,0.6156938672677744,0.8078469336338872,0.19215306636611273
BuP10,Buffer,Upland,16,16,0,0.6220496065564758,0.8110248032782377,0.18897519672176188
TmP1,Transition,Major River,6,6,0,0.7005411760554592,0.8502705880277295,0.1497294119722703
TmP2,Transition,Major River,7,7,0,0.609940902728916,0.8049704513644579,0.1950295486355419
TmP3,Transition,Major River,10,10,0,0.30731728588132556,0.6536586429406628,0.3463413570593372
TmP4,Transition,Major River,5,5,0,0.4507136051290872,0.7253568025645437,0.2746431974354565
TmP5,Transition,Major River,4,4,0,0.4666857998877413,0.7333428999438704,0.2666571000561291
TmP6,Transition,Major River,14,14,0,0.4050497112630268,0.7025248556315132,0.29747514436848643
TmP7,Transition,Major River,9,9,0,0.5106543110641639,0.755327155532082,0.24467284446791804
TmP8,Transition,Major River,7,7,0,0.6830732418002581,0.8415366209001289,0.15846337909987085
TmP9,Transition,Major River,9,9,0,0.8657850678122947,0.9328925339061473,0.06710746609385265
TmP10,Transition,Major River,10,10,0,0.6920446891191829,0.8460223445595917,0.15397765544040876
TsP1,Transition,Stream,7,7,0,0.6067033454323414,0.8033516727161705,0.19664832728382908
TsP2,Transition,Stream,7,7,0,0.6513371145299818,0.8256685572649909,0.1743314427350091
TsP3,Transition,Stream,7,7,0,0.6109245749354935,0.8054622874677466,0.19453771253225316
TsP4,Transition,Stream,4,4,0,0.30736854075072406,0.6536842703753618,0.34631572962463775
TsP5,Transition,Stream,3,3,0,0.662240569896953,0.8311202849484767,0.16887971505152366
TsP6,Transition,Stream,10,10,0,0.5779659148510681,0.7889829574255341,0.21101704257446607
TsP7,Transition,Stream,7,7,0,0.28563123105707366,0.6428156155285367,0.35718438447146306
TsP8,Transition,Stream,4,4,0,0.16370706130144885,0.5818535306507242,0.41814646934927535
TsP9,Transition,Stream,7,7,0,0.4939446910746178,0.7469723455373086,0.2530276544626908
TsP10,Transition,Stream,8,8,0,0.6689819518949367,0.8344909759474685,0.16550902405253176
TuP1,Transition,Upland,5,5,0,0.6736086468576303,0.8368043234288152,0.16319567657118483
TuP2,Transition,Upland,5,5,0,0.4812189400647259,0.740609470032363,0.2593905299676371
TuP3,Transition,Upland,2,2,0,,,
TuP4,Transition,Upland,5,5,0,0.24226096455285484,0.6211304822764273,0.37886951772357247
TuP5,Transition,Upland,3,3,0,0.694729995757215,0.8473649978786075,0.15263500212139258
TuP6,Transition,Upland,8,8,0,0.8005737327691446,0.9002868663845721,0.09971313361542755
TuP7,Transition,Upland,5,5,0,0.6191029538468753,0.8095514769234377,0.19044852307656235
TuP8,Transition,Upland,6,6,0,0.20728829370584734,0.6036441468529236,0.3963558531470762
TuP9,Transition,Upland,4,4,0,0.20711785302997465,0.6035589265149872,0.39644107348501256
TuP10,Transition,Upland,6,6,0,0.4721551950682974,0.7360775975341488,0.2639224024658514
