Plot_ID,FRic_4D,FRic_4D_Feasible,FRic_Status,Calculated_FRic_Available,Feasibility_Agreement
CmP1,1.9746097690735835,True,FRIC_4D_FEASIBLE,True,True
CmP2,3.8737602309324837,True,FRIC_4D_FEASIBLE,True,True
CmP3,4.72463444623128,True,FRIC_4D_FEASIBLE,True,True
CmP4,2.5056857372628656,True,FRIC_4D_FEASIBLE,True,True
CmP5,0.40555197348473143,True,FRIC_4D_FEASIBLE,True,True
CmP6,3.170333776259727,True,FRIC_4D_FEASIBLE,True,True
CmP7,6.504617119738878,True,FRIC_4D_FEASIBLE,True,True
CmP8,2.0279806592703777,True,FRIC_4D_FEASIBLE,True,True
CmP9,5.482143751679288,True,FRIC_4D_FEASIBLE,True,True
CmP10,4.444030240156594,True,FRIC_4D_FEASIBLE,True,True
CsP1,6.377917487440701,True,FRIC_4D_FEASIBLE,True,True
CsP2,3.734895934737703,True,FRIC_4D_FEASIBLE,True,True
CsP3,6.3984452722022995,True,FRIC_4D_FEASIBLE,True,True
CsP4,8.15880343620961,True,FRIC_4D_FEASIBLE,True,True
CsP5,0.27552074003988447,True,FRIC_4D_FEASIBLE,True,True
CsP6,10.419838290272903,True,FRIC_4D_FEASIBLE,True,True
CsP7,1.94843234596237,True,FRIC_4D_FEASIBLE,True,True
CsP8,2.743630639622931,True,FRIC_4D_FEASIBLE,True,True
CsP9,1.066008713897121,True,FRIC_4D_FEASIBLE,True,True
CsP10,2.0552851765749782,True,FRIC_4D_FEASIBLE,True,True
CuP1,1.0341870136626456,True,FRIC_4D_FEASIBLE,True,True
CuP2,2.616127496026132,True,FRIC_4D_FEASIBLE,True,True
CuP3,1.6568691290448505,True,FRIC_4D_FEASIBLE,True,True
CuP4,4.061836814796311,True,FRIC_4D_FEASIBLE,True,True
CuP5,5.413382403915709,True,FRIC_4D_FEASIBLE,True,True
CuP6,4.408732867738503,True,FRIC_4D_FEASIBLE,True,True
CuP7,3.525221298442411,True,FRIC_4D_FEASIBLE,True,True
CuP8,5.076057181500728,True,FRIC_4D_FEASIBLE,True,True
CuP9,5.8932928436915795,True,FRIC_4D_FEASIBLE,True,True
CuP10,5.748596365682416,True,FRIC_4D_FEASIBLE,True,True
BmP1,4.21441481655075,True,FRIC_4D_FEASIBLE,True,True
BmP2,3.734895934737703,True,FRIC_4D_FEASIBLE,True,True
BmP3,4.958728560793699,True,FRIC_4D_FEASIBLE,True,True
BmP4,6.337536086640425,True,FRIC_4D_FEASIBLE,True,True
BmP5,0.27552074003988447,True,FRIC_4D_FEASIBLE,True,True
BmP6,8.437054736316577,True,FRIC_4D_FEASIBLE,True,True
BmP7,4.192213941330404,True,FRIC_4D_FEASIBLE,True,True
BmP8,1.443103002945574,True,FRIC_4D_FEASIBLE,True,True
BmP9,7.716258576974939,True,FRIC_4D_FEASIBLE,True,True
BmP10,5.372608842806839,True,FRIC_4D_FEASIBLE,True,True
BsP1,2.4555086055640962,True,FRIC_4D_FEASIBLE,True,True
BsP2,1.1008713124514529,True,FRIC_4D_FEASIBLE,True,True
BsP3,2.1911246185720032,True,FRIC_4D_FEASIBLE,True,True
BsP4,6.55839654940533,True,FRIC_4D_FEASIBLE,True,True
BsP5,6.358004151978899,True,FRIC_4D_FEASIBLE,True,True
BsP6,0.9295120401194598,True,FRIC_4D_FEASIBLE,True,True
BsP7,5.429577272321082,True,FRIC_4D_FEASIBLE,True,True
BsP8,10.431050509631497,True,FRIC_4D_FEASIBLE,True,True
BsP9,6.207588912403677,True,FRIC_4D_FEASIBLE,True,True
BsP10,11.414058160616682,True,FRIC_4D_FEASIBLE,True,True
BuP1,1.9074967821137865,True,FRIC_4D_FEASIBLE,True,True
BuP2,1.3979902401689521,True,FRIC_4D_FEASIBLE,True,True
BuP3,0.9961429739302265,True,FRIC_4D_FEASIBLE,True,True
BuP4,7.384942606732446,True,FRIC_4D_FEASIBLE,True,True
BuP5,4.775116151447067,True,FRIC_4D_FEASIBLE,True,True
BuP6,8.471014714052858,True,FRIC_4D_FEASIBLE,True,True
BuP7,8.767591111468352,True,FRIC_4D_FEASIBLE,True,True
BuP8,6.41537876549587,True,FRIC_4D_FEASIBLE,True,True
BuP9,4.642887775002874,True,FRIC_4D_FEASIBLE,True,True
