Plot_ID,Zone,Habitat,FD_Richness,Unique_Functional_Vectors,Zero_Distance_Taxon_Pairs,FDis,RaoQ,FEve,FRic_4D,Original_Abundance,FD_Represented_Abundance,FD_Excluded_Abundance,Percent_Abundance_Represented,FEve_PreCorrection
CmP1,Core,Major River,12,12,0,1.549648755865329,2.04530234456821,0.7697257542664879,1.9746097690735835,27.0,27.0,0.0,100.0,0.539451508532976
CmP2,Core,Major River,15,15,0,1.3721195030879643,1.8100994168001776,0.6958913847091963,3.8737602309324837,33.0,33.0,0.0,100.0,0.39178276941839274
CmP3,Core,Major River,12,12,0,1.6260822291125803,2.1688451167384857,0.7872191061513764,4.72463444623128,22.0,22.0,0.0,100.0,0.5744382123027525
CmP4,Core,Major River,10,10,0,1.4629370108766342,1.9180920777405377,0.7221127461888238,2.5056857372628656,21.0,21.0,0.0,100.0,0.44422549237764786
CmP5,Core,Major River,7,7,0,1.2468049033003983,1.5698544889289683,0.8150730876406163,0.40555197348473143,26.0,26.0,0.0,100.0,0.6301461752812327
CmP6,Core,Major River,13,13,0,1.4337041640080512,1.8813626850639902,0.7747690508937245,3.170333776259727,22.0,22.0,0.0,100.0,0.5495381017874488
CmP7,Core,Major River,16,16,0,1.610010364672139,2.1559464554953967,0.804205026000928,6.504617119738878,30.0,30.0,0.0,100.0,0.6084100520018565
CmP8,Core,Major River,11,11,0,1.5797608250239128,2.0700082593034663,0.7495100519613326,2.0279806592703777,24.0,24.0,0.0,100.0,0.49902010392266516
CmP9,Core,Major River,13,13,0,1.6241046388594327,2.1472159696638236,0.7193996588076528,5.482143751679288,30.0,30.0,0.0,100.0,0.43879931761530544
CmP10,Core,Major River,13,13,0,1.3742064055878453,1.8258892153020279,0.7430578264842743,4.444030240156594,32.0,32.0,0.0,100.0,0.48611565296854875
CsP1,Core,Stream,11,11,0,1.8290436910347256,2.4205144567347725,0.8475254609168981,6.377917487440701,24.0,24.0,0.0,100.0,0.6950509218337964
CsP2,Core,Stream,10,10,0,1.585489648486885,2.0879627829675824,0.780933513028226,3.734895934737703,17.0,17.0,0.0,100.0,0.5618670260564522
CsP3,Core,Stream,12,12,0,1.7481730208624293,2.310779340396808,0.7043608972078369,6.3984452722022995,24.0,24.0,0.0,100.0,0.4087217944156738
CsP4,Core,Stream,13,13,0,1.703158438505631,2.3020822700963963,0.7724094041281778,8.15880343620961,21.0,21.0,0.0,100.0,0.5448188082563563
CsP5,Core,Stream,5,5,0,1.9907648308977288,2.4190489048719166,0.9694333572848978,0.27552074003988447,6.0,6.0,0.0,100.0,0.938866714569796
CsP6,Core,Stream,15,15,0,1.748561221878778,2.3702238850169115,0.8545477254403343,10.419838290272903,25.0,25.0,0.0,100.0,0.7090954508806688
