Canonical_Species,Afzelia africana,Albizia auxilary,Albizia ferruginea,Albizia zygia,Alstonia boonei,Amphimas tetracoides,Aningeria robusta,Annonidium manni,Anthocleista djalonensis,Anthocleista vogelii,Anthonotha macrophylla,Artocarpus communis,Bambusa vulgaris,Baphia nitida,Blighia sapida,Blighia unijigata,Bombax buonopozense,Bosqueia angolensis,Brachystegia eurycoma,Bridelia ferruginea,Carica papaya,Cassia saimen,Ceiba pentandra,Celtis zenkeri,Chrysophyllum albidum,Chrysophylum albidum,Citrus sinenses,Cleistoformis patens,Cleistopholis patens,Cola nitida,Cola species,Corynante pachycercus,Dialium guineense,Dialium guinensis,Diallium guineense,Dillenia indica,Diospyros dendo,Diospyros soubreana,Diospyros undebunda,Diospyrous dendo,Diospyrous melistoformis,Diospyrous mespiliformis,Dracena manni,Drypetes,Drypetes species,Elaeis guineense,Elaeis guineensis,Elaeis guinensis,Ficus exasperata,Ficus mucosa,Ficus mucuso,Funtumia africana,Funtumia elastica,Garcinia kola,Gmelina arborea,Grewia pubescens,Harungana madagascariensis,Hexalobus crispiflorus,Hildegardia barteri,Holarrhena floribunda,Homalium alymeri,Homalium aylmeri,Irvinga gabonensis,Lecaniodiscus cupaniodes,Lecaniodiscus cupanioides,Lonchocarpus cilliata,Lonchocarpus cyanescens,Macaranga barteri,Macranga bateri,Maesobotrya barteri,Margaritaria discoidea,Margartaria discoidea,Melacantha alnifolia,Milicia excelsa,Millettia thoningii,Mitragyna cilliata,Monodora tenuifolia,Musanga cecropiodes,Musanga cecropioides,Musanga cecropoides,Musanga cecropoidies,Myrianthus arboreus,Nauclea diderrichi,Nauclea diderrichii,Nesodogornia papaverifera,Nesodogornia papaverivera,Nesogordonia papaverifera,Nothospondia staudtii,Nuclea diderrichi,Pavetta corymbosa,Pavetta corymbosia,Picralima nitida,Piptadeniastrum africanum,Pterocarpus osun,Pterocarpus santoxyloides,Pycanthus angolensis,Pycnanthus angolensis,Raulvolfia vomitoria,Rauvolvia vomitoria,Ricinidendron heudeloti,Ricinodendron heudeloti,Ricinodendron heudelotii,Ricinodendron heudeotii,Rinorea dentata,Rothmania hispida,Scotellia coriacea,Scotellia coriaceae,Scotellia coricea,Spondia mombin,Sterculia oblonga,Sterculia rhinopetala,Sterculia tragacantha,Strombosia postulata,Strombosia pustulata,Strombosia putulata,Termialia superba,Terminalia superba,Tetrapleura tetraptera,Theobroma cacao,Trema orientalis,Trichilia gilgiana,Trichilia monadelpha,Uapaca heudeloti,Uapaca heudelotii,Zanthoxylum xanthoxyloides,Zanthoxylum zanthoxyloides
Afzelia africana,0.0,2.0352189083902434,2.2356785917213826,1.9761012843378578,3.0695598461695037,1.795896629788773,2.1393510478907127,2.3232354697649567,3.7086223991503284,2.240010068211938,1.209157845692105,2.212485707076584,1.894869327986107,2.316864865226009,1.020234298248606,1.4989254034028388,3.0484624095918984,1.2645752535835229,1.26191349210212,2.577381452256017,4.429246883262109,2.771255395382152,3.6891422442261703,1.8164282929246798,2.2784128586087355,2.2784128586087355,2.4688914628495864,2.559091066054295,2.559091066054295,0.7435028375198667,1.6549091387314927,1.717416032477837,1.716983541876234,1.716983541876234,1.716983541876234,2.692140816225186,3.047996017212611,3.4014189476977084,1.8583503234152787,3.047996017212611,2.6121453566087487,2.6057934748103886,2.72241970996981,1.902090719576559,1.902090719576559,2.173072711867594,2.173072711867594,2.173072711867594,4.428379233082264,4.43666062049281,4.43666062049281,2.6474035638483397,2.7661372717337525,1.7048041126611364,1.9608099802340375,2.3573160098586405,3.718605443479846,1.2013668251173955,2.4740354707750964,2.8611057461756495,1.9844609295802764,1.9844609295802764,1.6760713666629896,1.5226774907580995,1.5226774907580995,1.8055777130312285,2.703602094761764,2.432306741633525,2.432306741633525,2.189763526478759,2.3931080688638606,2.3931080688638606,2.600099870835399,3.6002948953295095,1.5994879399564679,1.7335835919989517,1.7162423359176642,4.644965338616301,4.644965338616301,4.644965338616301,4.644965338616301,2.0561369201970416,3.5367754322622122,3.5367754322622122,1.8966363070075747,1.8966363070075747,1.8966363070075747,2.2930133824453294,3.5367754322622122,2.6569868071354708,2.6569868071354708,1.6593566186007818,1.8511300616575925,1.8017265089485563,1.861145721949925,1.691260733966421,1.691260733966421,5.018856413744539,5.018856413744539,2.8992363634861404,2.8992363634861404,2.8992363634861404,2.8992363634861404,2.2235346538030463,2.0117766189639323,2.020543025897268,2.020543025897268,2.020543025897268,2.7968804578356727,1.4515362939582575,1.391348694336473,2.4964268021265545,2.1112391685857546,2.1112391685857546,2.1112391685857546,3.1367055470872565,2.3026722985874044,1.5932277492424913,2.276865916084525,3.7853687664446056,1.72249271027015,1.6165409139841789,1.5753983877262798,1.5753983877262798,2.790385345204603,2.790385345204603
Albizia auxilary,2.0352189083902434,0.0,2.0798243553061635,1.0690649286505682,2.010057957090243,2.1686868092722285,2.0804763940747186,2.2030869376275,2.1176918406829657,1.360256067603733,2.4073251131596445,2.253267578488048,1.0537973216685284,1.8250803251727579,1.9237090956007945,0.8260096567637032,2.5560651462712576,1.263045403730596,2.5402537671328984,1.0711745123756615,3.3954751245074055,1.472780901487928,3.4749809157929783,1.6948120949090015,3.3219268204937316,3.3219268204937316,1.2398609764238182,2.33998682952984,2.33998682952984,1.5323840142231346,0.9617567441979843,0.912825799842875,1.5338681129602219,1.5338681129602219,1.5338681129602219,0.8931967104926677,2.145637426611906,2.2713808398861914,1.1123245838007525,2.145637426611906,2.2699463936480124,2.221986134196611,1.7159547249927616,1.0722501713004162,1.0722501713004162,1.8705226872741432,1.8705226872741432,1.8705226872741432,2.6313320522905737,2.992862536690084,2.992862536690084,1.372802175509679,1.6268870477270725,2.4696353158689694,1.6444143445770825,1.1650582244496277,1.952930853759746,1.4701199227012027,1.8958001995312825,0.9907669329445684,2.2717493324739992,2.2717493324739992,3.070782527045456,1.0962819035086029,1.0962819035086029,1.3731521210126012,2.2543586520013172,0.9546366722707895,0.9546366722707895,0.7565577302202159,1.676099716846374,1.676099716846374,0.919506705652621,3.089508768050206,0.7342659901956018,1.1709983200775653,1.133841437742308,2.8655404047363398,2.8655404047363398,2.8655404047363398,2.8655404047363398,1.5688618005054698,2.945069426902866,2.945069426902866,1.2485599535045329,1.2485599535045329,1.2485599535045329,1.019486567985673,2.945069426902866,1.2989318537436716,1.2989318537436716,1.9706536462133555,2.3419509668942857,2.094113815627472,2.323580693484242,2.1133017193766532,2.1133017193766532,5.1424635177251,5.1424635177251,3.1154828040399742,3.1154828040399742,3.1154828040399742,3.1154828040399742,1.5244966515049017,1.3618735358961656,2.471198671608618,2.471198671608618,2.471198671608618,1.3360742501370353,1.8464842922990625,1.7982743916043895,1.867894279430563,2.455913722980146,2.455913722980146,2.455913722980146,3.249053612833911,1.7914150209231217,0.5763739861551757,1.9016899395078348,2.391430329810512,0.6521670146880771,0.9827564534539819,0.7506784433531953,0.7506784433531953,1.4822421798203866,1.4822421798203866
Albizia ferruginea,2.2356785917213826,2.0798243553061635,0.0,2.0354665565205337,1.5016724961404162,0.9751615534769026,0.11989269052280008,2.906766565516878,3.3283889590020665,2.567050368651486,3.053698492970187,2.842633869747286,2.7152356076751394,3.3000000526978654,2.4221687652497903,1.621736134199316,2.454611400011108,1.3920984061924688,2.145528959134805,3.0468384632553493,4.393723706527389,2.258078172920046,1.802776180635734,2.339089325026445,1.658478113755879,1.658478113755879,2.6367110102705897,2.5321456450175526,2.5321456450175526,2.171568562888352,2.6735835408118183,2.0506573483428974,2.733677589038188,2.733677589038188,2.733677589038188,2.055463263727404,2.9628302391875905,3.5363632703490167,2.7393422104599305,2.9628302391875905,2.342681069848916,2.2890121482566657,3.3298530209934065,2.5707605738864987,2.5707605738864987,2.4676346538394704,2.4676346538394704,2.4676346538394704,3.2230073166349604,2.78535384434884,2.78535384434884,1.423658092810475,1.2950973233047354,2.6546496765291336,1.6253320801513724,2.7835251008119664,2.3843378062376317,2.095696480765215,1.9920498016949848,2.516011458630508,1.1646016165984672,1.1646016165984672,2.7767316804063933,2.586874738679714,2.586874738679714,2.8139486335454458,3.929558994779442,2.426386750577873,2.426386750577873,2.764225122578406,2.0686436563271995,2.0686436563271995,1.6922110563071808,2.399617797798296,2.134143448110595,1.475096493258202,2.7043343380361726,3.4759820352725437,3.4759820352725437,3.4759820352725437,3.4759820352725437,2.660439323955947,2.8176466972908307,2.8176466972908307,1.606071218513248,1.606071218513248,1.606071218513248,1.662579237226894,2.8176466972908307,3.2007681009967714,3.2007681009967714,2.5212465497060084,0.8295912306289375,2.5293276669732734,3.250763236682294,1.6704753551275116,1.6704753551275116,5.917312973907224,5.917312973907224,2.2574757387874493,2.2574757387874493,2.2574757387874493,2.2574757387874493,3.2676163660431436,3.0125711975323544,1.1094632130877058,1.1094632130877058,1.1094632130877058,1.796077210564757,1.254791472197245,1.2746628244034168,2.2353268417946515,1.4203338828386616,1.4203338828386616,1.4203338828386616,1.1972739780244717,0.5735054576527067,1.645226635785827,3.3114521570342754,2.084527443935447,2.010644923105469,2.287985277768414,1.4407768589920524,1.4407768589920524,2.932286508585589,2.932286508585589
Albizia zygia,1.9761012843378578,1.0690649286505682,2.0354665565205337,0.0,1.9815215591466926,1.9370796277550353,2.038467061413642,2.398460104306403,1.8018606624924896,0.8230827676538056,2.6692744085421403,2.4825287395767552,1.5333873877053903,2.306893413601601,2.3728621278330744,1.4007569195623948,1.6707127825583397,1.4373508453818733,2.770360781298619,1.7938231907104485,2.823724828439192,2.2878844806798053,3.155909612009085,0.9133006084460784,3.0127275472767687,3.0127275472767687,2.2387012668786412,2.2569557358388503,2.2569557358388503,1.7301309367006583,1.5117799248535904,1.566850392552962,1.522712721958351,1.522712721958351,1.522712721958351,1.6930742781564332,3.131789020867441,3.3212876236738658,1.463084084704137,3.131789020867441,3.0941672718873,3.051019708378251,1.9647058981949634,1.7157417972189162,1.7157417972189162,2.6448534693991936,2.6448534693991936,2.6448534693991936,2.634070417217572,2.8019333102198334,2.8019333102198334,1.5514613468914553,1.6919923141676971,3.0314197453598615,1.993725306221293,2.0924203398175285,2.2264739540859657,1.6039492894601883,1.7134848214505576,1.1707448025593878,2.330656613923789,2.330656613923789,3.3951512317143777,1.6035597695411454,1.6035597695411454,1.446005483142688,2.167776000435148,1.305010173511048,1.305010173511048,1.5607251681081582,1.286558252463102,1.286558252463102,1.3359399322792846,2.3545419475497305,1.1735373680718122,0.6890084726991832,1.5920613376453292,2.929810192302386,2.929810192302386,2.929810192302386,2.929810192302386,0.757131825804456,2.2182167482506117,2.2182167482506117,1.1934650521110959,1.1934650521110959,1.1934650521110959,1.7655219641072677,2.2182167482506117,1.650357979559188,1.650357979559188,2.624410832126273,2.061705618009923,1.2433427147737908,1.8354203387641486,2.018109189741006,2.018109189741006,4.253724409401841,4.253724409401841,2.8232622066892104,2.8232622066892104,2.8232622066892104,2.8232622066892104,1.5144459417796463,1.6413439154241674,1.9915865517554567,1.9915865517554567,1.9915865517554567,1.3382178129171298,2.1080733745978653,2.1067836902658303,2.1890468389798365,2.5521309184642775,2.5521309184642775,2.5521309184642775,3.0699048152508066,1.8747979617611883,1.1076587785141705,2.030083970804399,2.33421659817099,0.5533342576454067,1.1589570040182344,1.051316486091412,1.051316486091412,2.0985487173329673,2.0985487173329673
Alstonia boonei,3.0695598461695037,2.010057957090243,1.5016724961404162,1.9815215591466926,0.0,2.288118694104558,1.5926828405328155,2.6085711071605346,2.7250738393802574,2.173434607420821,3.5970882863732037,2.6606761869139044,3.0054032598349787,3.748291619545871,3.210002179633015,1.9602928064314875,1.9483452220397994,1.8765618354137508,3.061898121633484,3.002521864652679,3.418276065783072,2.5586946689316656,1.7643199420157905,2.72135527896634,2.9445195735147687,2.9445195735147687,2.8497820771991975,2.023526866608012,2.023526866608012,2.6946546212494367,2.8341645575165013,2.551393347534718,3.2367898849054257,3.2367898849054257,3.2367898849054257,1.8981194249816695,3.319119254665743,3.634417034908216,3.0345790872648544,3.319119254665743,3.008449459926241,2.913301345763988,2.775127412017313,2.960445386221402,2.960445386221402,2.6546027772374137,2.6546027772374137,2.6546027772374137,2.2658639132173555,1.8994746263564766,1.8994746263564766,0.6531127112203955,0.4281278716062223,3.6166864938034156,1.6602710469924824,2.61981876610785,1.5175556044821679,2.3304949134220854,1.3270436440402533,1.8899860903356813,2.5463732573383027,2.5463732573383027,3.929887815339624,2.9757031515080565,2.9757031515080565,3.181159381024276,4.047537313611696,1.8304856547084798,1.8304856547084798,2.7355265501768784,2.4983273233030587,2.4983273233030587,1.296347355524152,2.526987169978884,2.50535598641639,1.562340525152046,2.6936777524394513,2.126727326470157,2.126727326470157,2.126727326470157,2.126727326470157,2.5508599958951303,3.0159442545813624,3.0159442545813624,2.219764223592869,2.219764223592869,2.219764223592869,1.5323065440073653,3.0159442545813624,3.150949718967114,3.150949718967114,3.334659737902077,2.170474164707874,2.9717078125352483,3.3115564571452936,1.9546275767918968,1.9546275767918968,5.826308659904672,5.826308659904672,2.0744251298760377,2.0744251298760377,2.0744251298760377,2.0744251298760377,3.325392141016348,3.2917880163106554,2.2402467378153963,2.2402467378153963,2.2402467378153963,0.8552909968012715,2.0910091703404805,2.3811905209189836,1.7262204072708751,2.8003398193020845,2.8003398193020845,2.8003398193020845,2.0662421711372483,1.0514565793078796,1.9555348444059795,3.0278190551577855,1.0801323623997134,2.006305564207533,2.2204437461334443,1.8506831045965912,1.8506831045965912,3.1548943832720275,3.1548943832720275
Amphimas tetracoides,1.795896629788773,2.1686868092722285,0.9751615534769026,1.9370796277550353,2.288118694104558,0.0,0.9056963968260539,3.23588517756038,3.3464231696525477,2.61299882865343,2.872074010991508,3.163961768283961,2.4306490067014987,2.889318469707083,2.1726038069546085,1.7519181561078263,2.6088745233780757,1.5357102338810238,2.0979552257003977,2.9595334239558997,4.571843052881108,2.352307630952058,2.501881083945634,1.8314948721940962,1.427236190867575,1.427236190867575,2.676380474397414,2.999153610492685,2.999153610492685,2.0216365044218128,2.5410447231201467,1.8606154297350876,2.204733602512077,2.204733602512077,2.204733602512077,2.318754019952223,3.093041804377701,3.686828356928419,2.4171084433293295,3.093041804377701,2.5437529319262633,2.5339619931346813,3.5256074704707725,2.3131919487212103,2.3131919487212103,2.8040321068611553,2.8040321068611553,2.8040321068611553,3.6086143845452257,3.2681045640350668,3.2681045640350668,2.0694376984867153,2.012732222114899,2.4131669294239404,2.1533510916496725,3.001071183130772,2.9037681377512388,2.163605316652756,2.5071159653175568,2.722192967963147,0.6737166103298609,0.6737166103298609,2.437708355520262,2.3146292764837377,2.3146292764837377,2.37871619647752,3.5037265030169507,2.7314873817649477,2.7314873817649477,2.7269195724523034,1.6373307143958362,1.6373307143958362,2.078384046019451,2.2727016993280347,1.8983224704285349,1.5596310513385094,2.714387140913807,4.059062693555913,4.059062693555913,4.059062693555913,4.059062693555913,2.4767175844181963,2.4553991547559706,2.4553991547559706,1.245465800211717,1.245465800211717,1.245465800211717,2.15157545618042,2.4553991547559706,3.0051332075518107,3.0051332075518107,2.2968146259231053,0.4412589326287185,1.9585589926735616,3.0213567470905915,2.0034819464143467,2.0034819464143467,5.458445997822677,5.458445997822677,2.8022714083673925,2.8022714083673925,2.8022714083673925,2.8022714083673925,2.9581227298327946,2.6505425410804273,0.638829552003832,0.638829552003832,0.638829552003832,2.3057087073915747,1.510980987485311,1.1821942839782693,2.813752607279047,0.9050109198013129,0.9050109198013129,0.9050109198013129,1.7719890724559202,1.4266705311339718,1.6627671045506442,3.3920747178004835,2.7131629003916435,1.9819054498118338,2.3546503998732966,1.438697385785611,1.438697385785611,2.7306728805082323,2.7306728805082323
Aningeria robusta,2.1393510478907127,2.0804763940747186,0.11989269052280008,2.038467061413642,1.5926828405328155,0.9056963968260539,0.0,2.87737864290877,3.380806581837916,2.5697021982380046,2.9657214167817476,2.8053138921313843,2.684049117090723,3.259838921142959,2.3333482246120765,1.5866612615125233,2.4928637733938563,1.3375924856406893,2.0405140201995673,3.0410919912512617,4.434455013812606,2.2685989467427463,1.8718827582151507,2.3137416561070183,1.5747553734450184,1.5747553734450184,2.622061496312651,2.5257647554125215,2.5257647554125215,2.0964389097894864,2.6357478830718533,2.0171050414298444,2.690455857211592,2.690455857211592,2.690455857211592,2.089507313180133,2.9464959683977896,3.5262067193056117,2.7070539378078604,2.9464959683977896,2.3048314332494413,2.253939178610845,3.3254224728374346,2.5375638392603626,2.5375638392603626,2.4261272103713165,2.4261272103713165,2.4261272103713165,3.317304179147326,2.896475998989372,2.896475998989372,1.4905380747794614,1.3780781729772609,2.564033678478845,1.6020206296033614,2.767970645060753,2.4761903069451905,2.0401165875690355,2.010382839403197,2.556874638684604,1.095616617276288,1.095616617276288,2.6656948961289215,2.5401947858785743,2.5401947858785743,2.7768227983309988,3.8997777635337227,2.4414374960333403,2.4414374960333403,2.7497145652869803,2.076784449128384,2.076784449128384,1.7445751582824125,2.4576438025160434,2.1032732531121665,1.470783799333409,2.6687351323294894,3.570287100580728,3.570287100580728,3.570287100580728,3.570287100580728,2.6486136035476484,2.856260188774286,2.856260188774286,1.5941125477956142,1.5941125477956142,1.5941125477956142,1.6770210304954891,2.856260188774286,3.196835625963616,3.196835625963616,2.446529297532789,0.7478553159824199,2.4932520783142142,3.203833321999406,1.6201632530866026,1.6201632530866026,5.9033879779753,5.9033879779753,2.2531903808684475,2.2531903808684475,2.2531903808684475,2.2531903808684475,3.2425235177689906,2.97925317343054,1.0640675468348542,1.0640675468348542,1.0640675468348542,1.8619538016471953,1.1717391416711778,1.1827700497476095,2.2364801033945936,1.353568385606351,1.353568385606351,1.353568385606351,1.2252128396456732,0.6296545343498693,1.6226082808243607,3.2827272948670347,2.196042903278729,1.9994477883563309,2.2608726115059388,1.4186297105158336,1.4186297105158336,2.930675356239031,2.930675356239031
Annonidium manni,2.3232354697649567,2.2030869376275,2.906766565516878,2.398460104306403,2.6085711071605346,3.23588517756038,2.87737864290877,0.0,3.732421026039641,1.9312384019877522,1.9137798305618192,0.2613651510105199,2.7676751216907785,3.4637543142441007,2.3878283035127543,1.912759960497544,2.922564841587255,1.7590750216128852,2.270560696982519,2.8772970466878545,3.4949738300144335,3.3635557979886626,3.665245001479772,3.003401964686132,3.5684068288575035,3.5684068288575035,2.8804021564693456,0.9453490115492829,0.9453490115492829,1.7143675913755976,2.0746545191633388,2.6969912063570427,3.108106320522939,3.108106320522939,3.108106320522939,2.829887134660239,3.470207878288821,3.479833100242985,2.7850987456048677,3.470207878288821,3.1928302513518503,3.103340392584624,1.4609047932683574,2.8461235963215508,2.8461235963215508,1.7443474583115517,1.7443474583115517,1.7443474583115517,4.133946956865998,4.2862029198268665,4.2862029198268665,2.3197184278986405,2.5070730102979515,3.0626482839020337,1.407661947640342,1.8261273161040141,3.449424748303561,1.211541493140401,1.4654391738875763,2.5965113731581266,3.4741146823492817,3.4741146823492817,3.2955536487952957,2.4731085770019976,2.4731085770019976,2.947766042351514,3.4571785140766123,1.6183180468100626,1.6183180468100626,2.370961284669476,3.5358206466387214,3.5358206466387214,2.585752235335314,4.367893167769689,2.527382214302008,2.0848387446772634,1.506981713665844,3.7379733809342355,3.7379733809342355,3.7379733809342355,3.7379733809342355,2.3413973556514294,4.529348022732208,4.529348022732208,3.060284553788301,3.060284553788301,3.060284553788301,2.066314715726782,4.529348022732208,3.1049795593434424,3.1049795593434424,2.899469762635052,3.1102011896830652,3.0860195234666143,2.016312014426444,1.4932997266372763,1.4932997266372763,5.497143032627677,5.497143032627677,2.1598364721773224,2.1598364721773224,2.1598364721773224,2.1598364721773224,2.8071002198870967,2.950057848369259,3.2784789439096222,3.2784789439096222,3.2784789439096222,2.382767294621186,2.077653046046023,2.6291160959403093,1.0184369945267038,3.6944316316482966,3.6944316316482966,3.6944316316482966,3.6831448624262992,2.506647501646579,2.1815099890687293,1.1873960285929348,3.54393147376498,2.0320545057575092,1.3943651961745414,2.28192041513149,2.28192041513149,3.579384823506746,3.579384823506746
Anthocleista djalonensis,3.7086223991503284,2.1176918406829657,3.3283889590020665,1.8018606624924896,2.7250738393802574,3.3464231696525477,3.380806581837916,3.732421026039641,0.0,1.978843071811853,4.279372350866263,3.8885267657809552,2.468504510934821,3.007864644890855,3.9132706236699275,2.8508341074852406,2.41241005893298,3.0845719855397262,4.482287622099101,2.199380808325618,2.448286750544622,2.8383556590078873,4.090050232916768,2.2074343088251687,4.568461769630685,4.568461769630685,2.96583163917552,3.552157104699971,3.552157104699971,3.4046316684666404,2.708002555581314,2.704409498002942,2.579148612907362,2.579148612907362,2.579148612907362,2.1886929057967306,3.827823925044702,3.8125786737809784,2.422215964910899,3.827823925044702,4.17343702756038,4.133538353049301,2.7199682228351163,2.665080100548854,2.665080100548854,3.9287863531407496,3.9287863531407496,3.9287863531407496,1.6009032448164018,2.3050783361214253,2.3050783361214253,2.4274561771561918,2.53848683894905,4.46057205901212,3.4262621241238125,3.0133451139960856,1.9896380483757616,3.2584550954097775,2.940558101218064,1.3017170456732268,3.630564157141851,3.630564157141851,5.0015072571110695,2.8095728066183643,2.8095728066183643,2.4409713054703426,2.587172079982601,2.2026176405075573,2.2026176405075573,2.353241449790854,1.9714401688932726,1.9714401688932726,2.0044434250693106,2.6148324068801916,2.4153887132131597,2.346890448221721,2.8701372129705027,2.2199666245116645,2.2199666245116645,2.2199666245116645,2.2199666245116645,2.0251549398557476,2.2090080029635035,2.2090080029635035,2.331097590527781,2.331097590527781,2.331097590527781,2.8124021126228382,2.2090080029635035,1.8745267660986416,1.8745267660986416,3.9358614128838902,3.539212088776878,2.559464087590868,3.2112326685713093,3.6653279718151004,3.6653279718151004,4.333756006552204,4.333756006552204,4.19450992085707,4.19450992085707,4.19450992085707,4.19450992085707,2.228382064445823,2.473656538530293,3.402196516764486,3.402196516764486,3.402196516764486,1.9900433172601055,3.706986347392489,3.622621434646738,3.3983762134005606,3.808982419955324,3.808982419955324,3.808982419955324,4.245127951500879,3.115961696503074,2.50481368114011,3.150485957519474,2.3547582490678587,2.1016273550079436,2.6258731282607584,2.503277857549666,2.503277857549666,2.3596501097595293,2.3596501097595293
Anthocleista vogelii,2.240010068211938,1.360256067603733,2.567050368651486,0.8230827676538056,2.173434607420821,2.61299882865343,2.5697021982380046,1.9312384019877522,1.978843071811853,0.0,2.6158708339446335,2.084131439900523,1.8757064767854292,2.676047391369757,2.629332253635307,1.7012764907729685,1.673988920081325,1.699775123726516,2.9683796868935697,1.980572363622756,2.26577173005025,2.801719999445024,3.446014865351973,1.5173104229079921,3.478957558361343,3.478957558361343,2.5532719745641668,1.840637536590715,1.840637536590715,1.841759869922098,1.5756819690187203,2.0692820515806387,2.0051202529459045,2.0051202529459045,2.0051202529459045,2.097223215734276,3.4770246677702095,3.518567380261052,1.8094347569362679,3.4770246677702095,3.4771225574304747,3.417028628178104,1.326754554109861,2.1238292222824846,2.1238292222824846,2.6571940464859987,2.6571940464859987,2.6571940464859987,2.864936868964792,3.1423124480127695,3.1423124480127695,1.7958414166162664,1.9783750544161922,3.382855743840988,2.0222103936115796,2.0021742774299645,2.533095802341232,1.5349100392173387,1.4713553929546974,1.2674779167330754,3.015738743549844,3.015738743549844,3.7408545396945474,1.8837679095266782,1.8837679095266782,1.8347587136212553,2.2147562284439535,1.0023320035015029,1.0023320035015029,1.6678436105701637,2.090514338245327,2.090514338245327,1.7317250235433161,2.9441023807830367,1.6566444559287143,1.1105656369956851,1.394901090377039,2.866234144899383,2.866234144899383,2.866234144899383,2.866234144899383,0.6246405345951311,2.86659231060006,2.86659231060006,1.9718131651091249,1.9718131651091249,1.9718131651091249,1.98461968920952,2.86659231060006,1.8603276794811647,1.8603276794811647,2.9919245197284363,2.6498990474806403,1.6928818789716982,1.443426577052101,2.0214337853829805,2.0214337853829805,4.081886191566329,4.081886191566329,2.704455228279809,2.704455228279809,2.704455228279809,2.704455228279809,1.5656546136565304,1.9346182707990094,2.5966164181698645,2.5966164181698645,2.5966164181698645,1.5036940461214554,2.4058606315922586,2.5933743167980983,1.9411680080263285,3.248362442414427,3.248362442414427,3.248362442414427,3.5318300069479696,2.278497052416766,1.5533364674203332,1.4300953987291314,2.659914689103836,0.873779185502991,0.9735152191435684,1.5863645435426181,1.5863645435426181,2.5825719777446974,2.5825719777446974
