PC,Extreme_End,Canonical_Species,PC_Score,WD_Analysis,SLA_Analysis,Log10_Seed_Mass,Max_Height_Analysis
PC1,LOW,Raulvolfia vomitoria,-2.9521106211721264,0.51,48.909,1.7833331933675514,15.24018532
PC1,LOW,Rauvolvia vomitoria,-2.9521106211721264,0.51,48.909,1.7833331933675514,15.24018532
PC1,LOW,Carica papaya,-2.9373780559233995,0.18,29.755,1.180555940703641,10.0
PC1,LOW,Musanga cecropioides,-2.187846280474998,0.22,13.1,0.06069784035361165,18.28822238
PC1,LOW,Musanga cecropoides,-2.187846280474998,0.22,13.1,0.06069784035361165,18.28822238
PC1,HIGH,Irvinga gabonensis,2.5408998124821034,0.79,11.33413796,4.076458387712152,36.57644477
PC1,HIGH,Garcinia kola,2.3254797486555563,0.78,9.46,3.5275493491727117,27.432
PC1,HIGH,Diospyrous melistoformis,1.9443213309582332,0.69,3.11,2.635986111800833,27.43233358
PC1,HIGH,Picralima nitida,1.9061111776863828,0.76,10.2855,3.076824606635896,22.86027798
PC1,HIGH,Diospyrous mespiliformis,1.8734450690364313,0.67,3.11,2.635986111800833,27.43233358
PC2,LOW,Lonchocarpus cyanescens,-2.44439097937541,0.71,25.9,2.0725439856436476,2.438429651
PC2,LOW,Rauvolvia vomitoria,-2.4123775130238467,0.51,48.909,1.7833331933675514,15.24018532
PC2,LOW,Raulvolfia vomitoria,-2.4123775130238467,0.51,48.909,1.7833331933675514,15.24018532
PC2,LOW,Baphia nitida,-1.8340999427844233,0.81,16.772990065,2.1179007320645193,9.144111192
PC2,LOW,Rinorea dentata,-1.754086682420488,0.64,22.805442545,2.1179007320645193,7.62009266
PC2,HIGH,Ceiba pentandra,2.7389501144600095,0.31,13.99222802113755,1.7007037171450194,60.0
PC2,HIGH,Termialia superba,2.4776257341782437,0.47,12.0,2.0342272607705505,60.96074128
PC2,HIGH,Ricinodendron heudeloti,2.1131035616791762,0.25,17.06259116,3.2013971243204513,45.72055596
PC2,HIGH,Ricinidendron heudeloti,2.1131035616791762,0.25,17.06259116,3.2013971243204513,45.72055596
PC2,HIGH,Ricinodendron heudelotii,2.1131035616791762,0.25,17.06259116,3.2013971243204513,45.72055596
PC3,LOW,Musanga cecropioides,-2.028786438333419,0.22,13.1,0.06069784035361165,18.28822238
PC3,LOW,Musanga cecropiodes,-2.028786438333419,0.22,13.1,0.06069784035361165,18.28822238
PC3,LOW,Musanga cecropoidies,-2.028786438333419,0.22,13.1,0.06069784035361165,18.28822238
PC3,LOW,Musanga cecropoides,-2.028786438333419,0.22,13.1,0.06069784035361165,18.28822238
PC3,LOW,Diospyros soubreana,-1.948073977728096,0.69,3.11,2.1179007320645193,4.572055596
PC3,HIGH,Raulvolfia vomitoria,3.24654020745302,0.51,48.909,1.7833331933675514,15.24018532
PC3,HIGH,Rauvolvia vomitoria,3.24654020745302,0.51,48.909,1.7833331933675514,15.24018532
PC3,HIGH,Pterocarpus santoxyloides,1.5607754669606384,0.49,27.118,3.283907008732182,18.0
PC3,HIGH,Chrysophyllum albidum,1.5265981704832807,0.6,17.229,3.0043213737826426,60.0
PC3,HIGH,Chrysophylum albidum,1.5265981704832807,0.6,17.229,3.0043213737826426,60.0
PC4,LOW,Annonidium manni,-2.0563761442052853,0.34,15.68690827,3.624599705798741,18.28822238
PC4,LOW,Artocarpus communis,-1.9917819520829982,0.36,14.919999999999998,3.7707047682157793,20.0
PC4,LOW,Theobroma cacao,-1.864242794954778,0.42,19.959081580135297,3.248218561190075,8.0
PC4,LOW,Dracena manni,-1.8110799564246747,0.38,18.3439,2.6726304606318116,5.0
PC4,LOW,Cleistoformis patens,-1.786900263850356,0.27,16.935730995,3.1870866433571443,27.43233358
PC4,HIGH,Nauclea diderrichi,1.8787749954035355,0.62,26.0,0.19451434188246727,40.0
PC4,HIGH,Nauclea diderrichii,1.8787749954035355,0.62,26.0,0.19451434188246727,40.0
PC4,HIGH,Nuclea diderrichi,1.8787749954035355,0.62,26.0,0.19451434188246727,40.0
PC4,HIGH,Milicia excelsa,1.6627751226447818,0.52,24.0,0.36172783601759284,48.76859303
PC4,HIGH,Strombosia postulata,1.5611732345359692,0.75,12.582665235,2.1179007320645193,45.72055596
