Section_Group,Product,Filename,Exists,File_Size_Bytes,Path
TRAIT_SPACE,Standardized four-trait matrix,omo_functional_traits_standardized_4trait_07C.csv,True,12574.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_functional_traits_standardized_4trait_07C.csv
TRAIT_SPACE,Numeric four-dimensional trait-space matrix,omo_functional_trait_space_matrix_4trait_07C.csv,True,12574.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_functional_trait_space_matrix_4trait_07C.csv
TRAIT_SPACE,Trait-space specification,omo_functional_trait_space_specification_07C.csv,True,242.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_functional_trait_space_specification_07C.csv
TRAIT_CORRELATION,Formal trait correlations,omo_trait_correlations_formal_07C.csv,True,2092.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_trait_correlations_formal_07C.csv
TRAIT_CORRELATION,Trait-correlation interpretation,omo_trait_correlation_interpretation_07C.csv,True,1750.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_trait_correlation_interpretation_07C.csv
TRAIT_CORRELATION,Trait-pair plot manifest,omo_trait_pair_plot_manifest_07C.csv,True,1685.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_trait_pair_plot_manifest_07C.csv
PCA,PCA variance structure,omo_functional_traits_pca_variance_07C.csv,True,416.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_functional_traits_pca_variance_07C.csv
PCA,PCA trait loadings,omo_functional_traits_pca_loadings_07C.csv,True,392.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_functional_traits_pca_loadings_07C.csv
PCA,PCA species scores,omo_functional_traits_pca_species_scores_07C.csv,True,12494.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_functional_traits_pca_species_scores_07C.csv
PCA,PCA axis interpretation,omo_functional_traits_pca_axis_interpretation_07C.csv,True,822.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_functional_traits_pca_axis_interpretation_07C.csv
