Plot_ID,Zone,Habitat,Plot_Total_Individuals,CWM_WD,CWM_SLA,CWM_Log10_Seed_Mass,CWM_Seed_Mass_Geometric_mg,CWM_Seed_Mass_Arithmetic_mg,CWM_Max_Height_m,Seed_Mass_Individuals_Represented,Seed_Mass_Coverage_Percent
CmP1,Core,Major River,27,0.6200000000000001,15.376254737931967,2.3716478540927537,235.31404757800232,656.5618529282051,25.198461079999998,27,100.0
CmP2,Core,Major River,33,0.6736363636363637,13.297145443271011,2.5964430827197376,394.859946844697,1158.4273734121211,28.267052380909085,33,100.0
CmP3,Core,Major River,22,0.6368181818181818,13.503277749936744,2.627693105159757,424.31961189446764,1479.2358540575758,28.226097846818185,22,100.0
CmP4,Core,Major River,21,0.6514285714285714,11.214256528610726,2.245973054844591,176.18667306187854,346.15287326007325,28.127661545714286,21,100.0
CmP5,Core,Major River,26,0.7284615384615385,10.338381713408015,2.34015951886746,218.85653490066295,396.4574662538461,25.393196780384617,26,100.0
CmP6,Core,Major River,22,0.6904545454545455,10.900978752891293,2.512535536275062,325.4884155947885,1089.3052097545453,23.48750858909091,22,100.0
CmP7,Core,Major River,30,0.6136666666666666,13.6672969376112,2.4021761023744457,252.45042279579124,1903.938130566496,25.86664642766667,30,100.0
CmP8,Core,Major River,24,0.6404166666666667,12.69955534296875,2.3007868231407635,199.88804626040033,578.8978179358975,23.669227017500003,24,100.0
CmP9,Core,Major River,30,0.6306666666666667,12.806988079078979,2.3727907046165715,235.93409445589594,1988.6607911111112,22.903203852,30,100.0
CmP10,Core,Major River,32,0.6696875,12.250228786484378,2.3163835951790874,207.1970630706293,643.2558182394231,22.1469700221875,32,100.0
CsP1,Core,Stream,24,0.53,12.355166573579424,1.9806053248699593,95.63245942376312,521.4246546526014,22.1852393715,24,100.0
CsP2,Core,Stream,17,0.6011764705882352,15.43824191382353,2.2527148354894457,178.94305003057252,467.10297209180334,23.327524133176468,17,100.0
CsP3,Core,Stream,24,0.6058333333333333,11.750274902055624,2.1637858019327685,145.80949369524586,450.702156478347,24.020208484666668,24,100.0
CsP4,Core,Stream,21,0.5895238095238097,14.716703037872161,2.1573678344657297,143.67057650907117,386.60562049816843,23.29965977990476,21,100.0
CsP5,Core,Stream,6,0.45999999999999996,17.267074181434733,1.4018732989339722,25.22744679614669,134.37241533333332,25.360277979999996,6,100.0
CsP6,Core,Stream,25,0.5632,14.60966942201894,2.2849755489563357,192.7416395419973,595.0901146207165,23.32874908464,25,100.0
CsP7,Core,Stream,19,0.6247368421052633,14.167188328053996,2.3143805726454763,206.24364365315094,389.21063157894736,24.270524517263155,19,100.0
CsP8,Core,Stream,17,0.618235294117647,10.055012889035217,1.9721736957514315,93.7937059141395,243.75708435515182,20.57668861141176,17,100.0
CsP9,Core,Stream,12,0.4708333333333334,14.440245543702801,1.6823481823161013,48.12250012608241,352.25840757575753,32.76639843916667,12,100.0
CsP10,Core,Stream,18,0.615,15.144493302263129,2.5258494514181615,335.6212506599306,729.6822086678999,25.574250182999997,18,100.0
CuP1,Core,Upland,19,0.69,9.959098939206354,2.059142228254354,114.58881499594852,134.1445798430942,27.532171741684213,19,100.0
CuP2,Core,Upland,20,0.6658260739031261,12.283038708262069,2.0646057532462634,116.03947446547407,411.4349845999999,23.903072420600004,20,100.0
CuP3,Core,Upland,18,0.6322222222222221,11.601087468630718,2.0595425295658525,114.6944833872981,191.63722222222222,29.604312904,18,100.0
CuP4,Core,Upland,26,0.6173076923076923,13.206751433861257,2.118398201717434,131.34035981129952,453.0681970230769,27.793747959461538,26,100.0
CuP5,Core,Upland,29,0.6655172413793102,12.467382827338394,2.190893398673336,155.2006009937894,314.5200551724138,30.581091507793104,29,100.0
CuP6,Core,Upland,21,0.6885714285714285,9.77391059520689,2.149636157607469,141.13546472178282,583.6694139047619,24.781626246666665,21,100.0
CuP7,Core,Upland,25,0.6502608591225009,12.277401086536704,2.209144160424087,161.8617234944225,247.80987199999998,27.164203852399996,25,100.0
CuP8,Core,Upland,24,0.6104166666666666,10.004522421318043,2.376390841879881,237.89802789598383,903.1342121666667,24.566744004583338,24,100.0
CuP9,Core,Upland,25,0.6696,12.947918987766622,2.01343068912421,103.14084595066578,153.69127694475162,23.348121628720005,25,100.0
CuP10,Core,Upland,23,0.6372400642635879,13.084687646165845,2.1624199916747195,145.35165854273538,376.00680463478255,26.42574409191304,23,100.0
BmP1,Buffer,Major River,21,0.54,10.493065249566962,2.3493239389796328,223.52388592895682,681.8073692313583,21.626548692380954,21,100.0
BmP2,Buffer,Major River,17,0.6011764705882352,15.43824191382353,2.252714835489446,178.9430500305727,467.1029720918034,23.327524133176468,17,100.0
BmP3,Buffer,Major River,23,0.6069565217391304,11.672870203691277,2.1683110986472793,147.336754351269,474.50703284697084,22.679145064434785,23,100.0
BmP4,Buffer,Major River,18,0.5711111111111111,14.105906555573078,2.1971305805554833,157.44561895193905,434.62117947008545,24.99491993722222,18,100.0
BmP5,Buffer,Major River,6,0.45999999999999996,17.267074181434733,1.4018732989339722,25.22744679614669,134.37241533333332,25.360277979999996,6,100.0
BmP6,Buffer,Major River,28,0.555,13.194251344572068,2.0067819588491154,101.57386048335114,333.1951685650336,23.497361270214288,28,100.0
BmP7,Buffer,Major River,14,0.5614285714285715,15.261318085573274,1.9418161306664141,87.46134075660409,427.5116307472527,20.196206499142857,14,100.0
BmP8,Buffer,Major River,17,0.636470588235294,12.835224762974377,2.3587842585916303,228.44636845352335,519.6118696190046,21.100448958235297,17,100.0
BmP9,Buffer,Major River,16,0.5781250000000001,14.35028809565496,2.2388092701841873,173.30427274015716,551.9235597175204,25.544227017,16,100.0
BmP10,Buffer,Major River,20,0.5690000000000001,13.731046766786818,1.8540611008154648,71.4596855511489,367.292350991047,18.825774200799998,20,100.0
BsP1,Buffer,Stream,27,0.5485185185185185,12.926785118750628,1.8531747457943168,71.31399164181438,225.81341481481473,21.269943194000003,27,100.0
BsP2,Buffer,Stream,20,0.5675000000000001,11.880617518478735,1.496132097017028,31.34238903938696,86.52099999999999,19.9259936604,20,100.0
BsP3,Buffer,Stream,18,0.541111111111111,12.414858938674307,2.7474583171693,559.0598673996138,3617.5967521367515,30.471596900555557,18,100.0
BsP4,Buffer,Stream,36,0.5199033743906257,14.565950450277777,2.2388629136331826,173.32568036443146,702.1019981481481,22.52169870388889,36,100.0
BsP5,Buffer,Stream,20,0.47000000000000003,16.55329870242334,1.5042409010164042,31.933086765637512,404.33370687645686,27.4457362834,20,100.0
BsP6,Buffer,Stream,20,0.531,11.906946770797154,1.7602390769296083,57.575680133863024,238.8856769230769,22.0661667889,20,100.0
BsP7,Buffer,Stream,18,0.5061111111111112,13.090560732007642,2.602816771398309,400.6976278528191,2045.0211045584042,28.261280040000003,18,100.0
BsP8,Buffer,Stream,19,0.5526315789473684,15.741444597960525,1.9513772211414817,89.40817314537803,934.8951527419947,28.302088835684213,19,100.0
BsP9,Buffer,Stream,23,0.5617391304347826,14.913932696776266,1.7094954545951884,51.22659087685755,243.23978392621868,23.10185522069565,23,100.0
BsP10,Buffer,Stream,24,0.4529166666666667,14.63175004415631,1.716171590034348,52.02014878846562,1007.2115685703185,27.048230106166667,24,100.0
BuP1,Buffer,Upland,7,0.4742857142857143,16.299374171428575,1.8578084593585757,72.07895130541641,292.426366966367,25.625091440714282,7,100.0
