Canonical_Species,WD_Value,WD_Unit,SLA_Value,SLA_Unit,Seed_Mass_mg,Seed_Mass_Unit,Max_Height_m,Max_Height_Unit,N_Numeric_Core_Traits,Final_Core_Trait_Status,Integrated_Evidence_Profile,N_Direct_or_Reconciled_Traits,N_Estimated_or_Specialized_Traits,N_Special_Biological_Cases
Amphimas tetracoides,0.65,g cm-3,16.772990065,mm2 mg-1,131.18999999999997,mg,45.72055596,m,4,COMPLETE_4_OF_4,MULTIPLE_TRAITS_ESTIMATED_OR_SPECIALIZED,0,4,0
Annonidium manni,0.34,g cm-3,15.68690827,mm2 mg-1,4213.08,mg,18.28822238,m,4,COMPLETE_4_OF_4,ALL_FOUR_DIRECT_OR_RECONCILED,4,0,0
Anthonotha macrophylla,0.62,g cm-3,16.772990065,mm2 mg-1,16666.666666666668,mg,20.0,m,4,COMPLETE_4_OF_4,ONE_TRAIT_ESTIMATED_OR_SPECIALIZED,3,1,0
Blighia sapida,0.7,g cm-3,13.5567798807363,mm2 mg-1,2940.0,mg,24.38429651,m,4,COMPLETE_4_OF_4,ALL_FOUR_DIRECT_OR_RECONCILED,4,0,0
Celtis zenkeri,0.63,g cm-3,24.7097325,mm2 mg-1,74.159292,mg,27.43233358,m,4,COMPLETE_4_OF_4,ONE_TRAIT_ESTIMATED_OR_SPECIALIZED,3,1,0
Cleistopholis patens,0.27,g cm-3,16.935730995,mm2 mg-1,1538.4615384615386,mg,27.43233358,m,4,COMPLETE_4_OF_4,ONE_TRAIT_ESTIMATED_OR_SPECIALIZED,3,1,0
Diospyros dendo,0.72,g cm-3,3.11,mm2 mg-1,131.18999999999997,mg,15.24018532,m,4,COMPLETE_4_OF_4,MULTIPLE_TRAITS_ESTIMATED_OR_SPECIALIZED,2,2,0
Drypetes species,0.71,g cm-3,15.1485,mm2 mg-1,131.18999999999997,mg,15.0,m,4,COMPLETE_4_OF_4,MULTIPLE_TRAITS_ESTIMATED_OR_SPECIALIZED,0,4,0
Funtumia elastica,0.4,g cm-3,12.72878797,mm2 mg-1,34.0,mg,34.17,m,4,COMPLETE_4_OF_4,ONE_TRAIT_ESTIMATED_OR_SPECIALIZED,3,1,0
Homalium aylmeri,0.71,g cm-3,13.153890555,mm2 mg-1,131.18999999999997,mg,45.0,m,4,COMPLETE_4_OF_4,MULTIPLE_TRAITS_ESTIMATED_OR_SPECIALIZED,2,2,0
Irvinga gabonensis,0.79,g cm-3,11.33413796,mm2 mg-1,11925.0,mg,36.57644477,m,4,COMPLETE_4_OF_4,ALL_FOUR_DIRECT_OR_RECONCILED,4,0,0
Lecaniodiscus cupanioides,0.68,g cm-3,16.782,mm2 mg-1,341.1713226,mg,15.0,m,4,COMPLETE_4_OF_4,ONE_TRAIT_ESTIMATED_OR_SPECIALIZED,3,1,0
Lonchocarpus cilliata,0.71,g cm-3,20.77,mm2 mg-1,131.18999999999997,mg,15.0,m,4,COMPLETE_4_OF_4,MULTIPLE_TRAITS_ESTIMATED_OR_SPECIALIZED,0,4,0
Margaritaria discoidea,0.67,g cm-3,20.44472055,mm2 mg-1,12.4568,mg,30.48037064,m,4,COMPLETE_4_OF_4,ALL_FOUR_DIRECT_OR_RECONCILED,4,0,0
Millettia thoningii,0.65,g cm-3,16.772990065,mm2 mg-1,131.18999999999997,mg,20.0,m,4,COMPLETE_4_OF_4,MULTIPLE_TRAITS_ESTIMATED_OR_SPECIALIZED,1,3,0
Monodora tenuifolia,0.53,g cm-3,16.935730995,mm2 mg-1,806.04,mg,12.19214826,m,4,COMPLETE_4_OF_4,ONE_TRAIT_ESTIMATED_OR_SPECIALIZED,3,1,0
Nesodogornia papaverifera,0.66,g cm-3,17.2317152130343,mm2 mg-1,40.0,mg,30.48037064,m,4,COMPLETE_4_OF_4,ALL_FOUR_DIRECT_OR_RECONCILED,4,0,0
Picralima nitida,0.76,g cm-3,10.2855,mm2 mg-1,1193.506,mg,22.86027798,m,4,COMPLETE_4_OF_4,ALL_FOUR_DIRECT_OR_RECONCILED,4,0,0
Pycnanthus angolensis,0.42,g cm-3,16.1146734305644,mm2 mg-1,1818.0,mg,36.57644477,m,4,COMPLETE_4_OF_4,ALL_FOUR_DIRECT_OR_RECONCILED,4,0,0
Ricinodendron heudelotii,0.25,g cm-3,17.06259116,mm2 mg-1,1590.0,mg,45.72055596,m,4,COMPLETE_4_OF_4,ALL_FOUR_DIRECT_OR_RECONCILED,4,0,0
Scotellia coricea,0.59,g cm-3,19.400973775,mm2 mg-1,131.18999999999997,mg,50.0,m,4,COMPLETE_4_OF_4,MULTIPLE_TRAITS_ESTIMATED_OR_SPECIALIZED,1,3,0
Sterculia rhinopetala,0.65,g cm-3,11.9982125886084,mm2 mg-1,563.0,mg,36.57644477,m,4,COMPLETE_4_OF_4,ALL_FOUR_DIRECT_OR_RECONCILED,4,0,0
Strombosia pustulata,0.75,g cm-3,12.582665235,mm2 mg-1,131.18999999999997,mg,45.72055596,m,4,COMPLETE_4_OF_4,ONE_TRAIT_ESTIMATED_OR_SPECIALIZED,3,1,0
Trichilia gilgiana,0.53,g cm-3,18.77561027,mm2 mg-1,131.18999999999997,mg,21.33625945,m,4,COMPLETE_4_OF_4,ONE_TRAIT_ESTIMATED_OR_SPECIALIZED,3,1,0
Trichilia monadelpha,0.49,g cm-3,17.97049539,mm2 mg-1,500.0,mg,18.28822238,m,4,COMPLETE_4_OF_4,ALL_FOUR_DIRECT_OR_RECONCILED,4,0,0
Uapaca heudelotii,0.58,g cm-3,15.37648933125,mm2 mg-1,131.18999999999997,mg,27.43233358,m,4,COMPLETE_4_OF_4,MULTIPLE_TRAITS_ESTIMATED_OR_SPECIALIZED,2,2,0
Alstonia boonei,0.34,g cm-3,12.72878797,mm2 mg-1,30.303030303030305,mg,36.57644477,m,4,COMPLETE_4_OF_4,ALL_FOUR_DIRECT_OR_RECONCILED,4,0,0
Bombax buonopozense,0.33,g cm-3,25.546,mm2 mg-1,35.5852,mg,36.57644477,m,4,COMPLETE_4_OF_4,ALL_FOUR_DIRECT_OR_RECONCILED,4,0,0
Bosqueia angolensis,0.53,g cm-3,15.04876402728955,mm2 mg-1,574.36,mg,30.48037064,m,4,COMPLETE_4_OF_4,ALL_FOUR_DIRECT_OR_RECONCILED,4,0,0
Dialium guinensis,0.74,g cm-3,21.072,mm2 mg-1,131.19,mg,18.28822238,m,4,COMPLETE_4_OF_4,ONE_TRAIT_ESTIMATED_OR_SPECIALIZED,3,1,0
Ficus exasperata,0.38,g cm-3,14.57585,mm2 mg-1,0.3891,mg,21.33625945,m,4,COMPLETE_4_OF_4,ONE_TRAIT_ESTIMATED_OR_SPECIALIZED,3,1,0
Grewia pubescens,0.52,g cm-3,11.059,mm2 mg-1,420.2402170187904,mg,9.144111192,m,4,COMPLETE_4_OF_4,MULTIPLE_TRAITS_ESTIMATED_OR_SPECIALIZED,2,2,0
Homalium alymeri,0.71,g cm-3,13.153890555,mm2 mg-1,131.18999999999997,mg,45.0,m,4,COMPLETE_4_OF_4,MULTIPLE_TRAITS_ESTIMATED_OR_SPECIALIZED,1,3,0
Musanga cecropiodes,0.22,g cm-3,13.1,mm2 mg-1,1.15,mg,18.28822238,m,4,COMPLETE_4_OF_4,ALL_FOUR_DIRECT_OR_RECONCILED,4,0,0
Nesodogornia papaverivera,0.66,g cm-3,17.2317152130343,mm2 mg-1,40.0,mg,30.48037064,m,4,COMPLETE_4_OF_4,ALL_FOUR_DIRECT_OR_RECONCILED,4,0,0
Pavetta corymbosa,0.65,g cm-3,18.923945795,mm2 mg-1,33.1568,mg,6.096074128,m,4,COMPLETE_4_OF_4,MULTIPLE_TRAITS_ESTIMATED_OR_SPECIALIZED,2,2,0
Ricinodendron heudeloti,0.25,g cm-3,17.06259116,mm2 mg-1,1590.0,mg,45.72055596,m,4,COMPLETE_4_OF_4,ALL_FOUR_DIRECT_OR_RECONCILED,4,0,0
Sterculia tragacantha,0.33,g cm-3,11.9982125886084,mm2 mg-1,831.5,mg,24.38429651,m,4,COMPLETE_4_OF_4,MULTIPLE_TRAITS_ESTIMATED_OR_SPECIALIZED,2,2,0
Strombosia postulata,0.75,g cm-3,12.582665235,mm2 mg-1,131.18999999999997,mg,45.72055596,m,4,COMPLETE_4_OF_4,ONE_TRAIT_ESTIMATED_OR_SPECIALIZED,3,1,0
