Trait,Provenance_Class,N_Taxa,Percent_of_127
MAX_HEIGHT,SPECIES_GIFT,99,77.95275590551181
MAX_HEIGHT,SPECIES_REFERENCE,17,13.385826771653544
MAX_HEIGHT,GENUS_GIFT_MEDIAN,6,4.724409448818897
MAX_HEIGHT,SPECIES_BIEN,3,2.3622047244094486
MAX_HEIGHT,GENUS_GIFT_SINGLE_SPECIES_PROXY,1,0.7874015748031497
MAX_HEIGHT,SPECIES_COMPLEX_REFERENCE,1,0.7874015748031497
SEED_MASS,SPECIES_TRY,46,36.22047244094488
SEED_MASS,GLOBAL_FALLBACK_ESTIMATE,34,26.771653543307085
SEED_MASS,SPECIES_BIEN,28,22.04724409448819
SEED_MASS,SPECIES_EXTERNAL_RESCUE,14,11.023622047244094
SEED_MASS,FAMILY_ESTIMATE,2,1.5748031496062993
SEED_MASS,GENUS_ESTIMATE,2,1.5748031496062993
SEED_MASS,SPECIAL_BIOLOGICAL_CASE,1,0.7874015748031497
SLA,SPECIES_TRY,46,36.22047244094488
SLA,GENUS_ESTIMATE,38,29.921259842519685
SLA,FAMILY_ESTIMATE,30,23.62204724409449
SLA,SPECIES_LITERATURE,12,9.448818897637794
SLA,GENUS_LITERATURE_ESTIMATE,1,0.7874015748031497
WD,SPECIES_GWDD,102,80.31496062992126
WD,GENUS_ESTIMATE,22,17.322834645669293
WD,SPECIES_SUPPLEMENTARY,1,0.7874015748031497
WD,SPECIES_TWDD,1,0.7874015748031497
WD,TAXONOMIC_SUPPLEMENTARY,1,0.7874015748031497
