Canonical_Species,Max_Height_m,Max_Height_Unit,Max_Height_Assignment_Level,Max_Height_Provenance_Class,Max_Height_Source,Max_Height_Source_Taxon,Max_Height_Match_Status,Max_Height_Quality_Flag,GIFT_Work_ID,GIFT_N_Source_Values,GIFT_CV,GIFT_References,Final_Broad_Plausibility
Afzelia africana,30.48037064,m,SPECIES,SPECIES_GIFT,GIFT,Afzelia africana,EXACT_CANONICAL,QC_PASS_ACCEPTED,68966.0,1.0,,10352,PLAUSIBLE
Albizia auxilary,18.0,m,GENUS,GENUS_GIFT_MEDIAN,GIFT genus distribution,Albizia,GENUS_LEVEL_ESTIMATE,GENUS_ESTIMATE_ACCEPTED,,44.0,,,PLAUSIBLE
Albizia ferruginea,45.72055596,m,SPECIES,SPECIES_GIFT,GIFT,Albizia ferruginea,EXACT_CANONICAL,QC_PASS_ACCEPTED,64491.0,1.0,,10352,PLAUSIBLE
Albizia zygia,24.38429651,m,SPECIES,SPECIES_GIFT,GIFT,Albizia zygia,EXACT_CANONICAL,QC_PASS_ACCEPTED,47895.0,1.0,,10352,PLAUSIBLE
Alstonia boonei,36.57644477,m,SPECIES,SPECIES_GIFT,GIFT,Alstonia boonei,EXACT_CANONICAL,QC_PASS_ACCEPTED,49635.0,1.0,,10352,PLAUSIBLE
Amphimas tetracoides,45.72055596,m,GENUS,GENUS_GIFT_SINGLE_SPECIES_PROXY,GIFT / Amphimas genus proxy,Amphimas pterocarpoides,GENUS_SINGLE_SPECIES_PROXY,LIMITED_GENUS_PROXY_ACCEPTED,,1.0,,,PLAUSIBLE
Aningeria robusta,45.72,m,SPECIES,SPECIES_REFERENCE,Plants of the World Online / Flora of West Tropical Africa,Aningeria pierrei,VERIFIED_SYNONYM_REFERENCE,QC_PASS_ACCEPTED_REFERENCE,,,,,PLAUSIBLE
Annonidium manni,18.28822238,m,SPECIES,SPECIES_GIFT,GIFT,Anonidium mannii,CLEAN_ALTERNATIVE,QC_PASS_ACCEPTED,49483.0,2.0,0.0,10352,PLAUSIBLE
Anthocleista djalonensis,13.71616679,m,SPECIES,SPECIES_GIFT,GIFT,Anthocleista djalonensis,EXACT_CANONICAL,QC_PASS_ACCEPTED,64883.0,1.0,,10352,PLAUSIBLE
Anthocleista vogelii,18.28822238,m,SPECIES,SPECIES_GIFT,GIFT,Anthocleista vogelii,EXACT_CANONICAL,QC_PASS_ACCEPTED,54058.0,1.0,,10352,PLAUSIBLE
Anthonotha macrophylla,20.0,m,SPECIES,SPECIES_REFERENCE,PROTA / Plant Resources of Tropical Africa,Anthonotha macrophylla,EXACT_CANONICAL_REFERENCE,QC_PASS_ACCEPTED_REFERENCE,,,,,PLAUSIBLE
