Canonical_Species,Final_Search_Name,Seed_Mass_mg,Seed_Mass_Assignment_Level,Seed_Mass_Provenance_Class,Seed_Mass_Quality_Flag,Seed_Mass_Assignment_Method,Seed_Mass_Evidence_Source,Final_Precedence_Rank,Trait_Code,Trait_Name,Standardized_Trait_Value,Standardized_Trait_Unit,Numerical_Seed_Mass_Assigned,Seed_Mass_Data_Status
Afzelia africana,,2718.6,SPECIES_LEVEL,SPECIES_TRY,MULTIPLE_RECONCILED_TRY_MEASUREMENTS,MEDIAN_OF_SOURCE_LINEAGE_RECONCILED_MEASUREMENTS,TRY,1,SEED_MASS,Seed Mass,2718.6,mg,True,NUMERIC_VALUE_AVAILABLE
Albizia auxilary,Albizia auxilary,83.5,GENUS_LEVEL,GENUS_ESTIMATE,MODERATE_GENUS_EVIDENCE,MEDIAN_OF_INDEPENDENT_CONGENERIC_SPECIES,BIEN,2,SEED_MASS,Seed Mass,83.5,mg,True,NUMERIC_VALUE_AVAILABLE
Albizia ferruginea,,105.0,SPECIES_LEVEL,SPECIES_BIEN,SINGLE_ACCEPTED_SPECIES_MEASUREMENT,MEDIAN_OF_ACCEPTED_DEDUPLICATED_MEASUREMENTS,BIEN,1,SEED_MASS,Seed Mass,105.0,mg,True,NUMERIC_VALUE_AVAILABLE
Albizia zygia,,62.0,SPECIES_LEVEL,SPECIES_BIEN,SINGLE_ACCEPTED_SPECIES_MEASUREMENT,MEDIAN_OF_ACCEPTED_DEDUPLICATED_MEASUREMENTS,BIEN,1,SEED_MASS,Seed Mass,62.0,mg,True,NUMERIC_VALUE_AVAILABLE
Alstonia boonei,Alstonia boonei,30.303030303030305,SPECIES_LEVEL,SPECIES_EXTERNAL_RESCUE,EXTERNAL_SPECIES_EVIDENCE_SINGLE_ACCEPTED_RECORD,SINGLE_ACCEPTED_EXTERNAL_MEASUREMENT,EXTERNAL_SPECIES_RESCUE,1,SEED_MASS,Seed Mass,30.303030303030305,mg,True,NUMERIC_VALUE_AVAILABLE
Amphimas tetracoides,Amphimas tetracoides,131.18999999999997,GLOBAL_TRAIT_LEVEL,GLOBAL_FALLBACK_ESTIMATE,LOW_CONFIDENCE_GLOBAL_TRAIT_FALLBACK,BACKTRANSFORMED_MEDIAN_LOG10,63_SPECIES_58_GENERA_GLOBAL_EVIDENCE_POOL,4,SEED_MASS,Seed Mass,131.18999999999997,mg,True,NUMERIC_VALUE_AVAILABLE
Aningeria robusta,Aningeria pierrei,131.18999999999997,GLOBAL_TRAIT_LEVEL,GLOBAL_FALLBACK_ESTIMATE,LOW_CONFIDENCE_GLOBAL_TRAIT_FALLBACK,BACKTRANSFORMED_MEDIAN_LOG10,63_SPECIES_58_GENERA_GLOBAL_EVIDENCE_POOL,4,SEED_MASS,Seed Mass,131.18999999999997,mg,True,NUMERIC_VALUE_AVAILABLE
Annonidium manni,,4213.08,SPECIES_LEVEL,SPECIES_TRY,SINGLE_RECONCILED_TRY_MEASUREMENT,MEDIAN_OF_SOURCE_LINEAGE_RECONCILED_MEASUREMENTS,TRY,1,SEED_MASS,Seed Mass,4213.08,mg,True,NUMERIC_VALUE_AVAILABLE
Anthocleista djalonensis,,1.71,SPECIES_LEVEL,SPECIES_TRY,SINGLE_RECONCILED_TRY_MEASUREMENT,MEDIAN_OF_SOURCE_LINEAGE_RECONCILED_MEASUREMENTS,TRY,1,SEED_MASS,Seed Mass,1.71,mg,True,NUMERIC_VALUE_AVAILABLE
Anthocleista vogelii,Anthocleista vogelii,131.18999999999997,GLOBAL_TRAIT_LEVEL,GLOBAL_FALLBACK_ESTIMATE,LOW_CONFIDENCE_GLOBAL_TRAIT_FALLBACK,BACKTRANSFORMED_MEDIAN_LOG10,63_SPECIES_58_GENERA_GLOBAL_EVIDENCE_POOL,4,SEED_MASS,Seed Mass,131.18999999999997,mg,True,NUMERIC_VALUE_AVAILABLE
