Canonical_Species,Genus,Taxonomic_Resolution,Trait_Code,Target_Unit,SLA_Query_Name,Species_Level_Query_Eligible,Requires_Genus_Level_Strategy,SLA_Raw_Value,SLA_Raw_Unit,SLA_Source_Name,SLA_Source_Record_ID,SLA_Source_DOI_or_URL,SLA_Match_Status,SLA_Provenance_Class,SLA_Quality_Flag,Standardized_SLA_Value,Standardized_SLA_Unit,Provenance_Class,Quality_Flag,Trait_Source,Evidence_Stream,Evidence_Priority
Afzelia africana,Afzelia,SPECIES_LEVEL,SLA,mm2 mg-1,Afzelia africana,True,False,,,,,,NOT_YET_SEARCHED,NOT_YET_ASSIGNED,PENDING,19.34,mm2 mg-1,SPECIES_LITERATURE,DIRECT_SPECIES_LITERATURE_VALUE,PEER_REVIEWED_LITERATURE,LITERATURE:omo_sla_literature_batch2_accepted_omo_values.csv,2
Albizia auxilary,Albizia,SPECIES_LEVEL,SLA,mm2 mg-1,Albizia auxilary,True,False,,,,,,NOT_YET_SEARCHED,NOT_YET_ASSIGNED,PENDING,15.12,mm2 mg-1,GENUS_ESTIMATE,MODERATE,BIEN,EARLY_BIEN_GENUS,3
Albizia ferruginea,Albizia,SPECIES_LEVEL,SLA,mm2 mg-1,Albizia ferruginea,True,False,,,,,,NOT_YET_SEARCHED,NOT_YET_ASSIGNED,PENDING,12.9064417177914,mm2 mg-1,SPECIES_TRY,TRY_MODERATE,TRY,SPECIES_TRY_FINAL,1
Albizia zygia,Albizia,SPECIES_LEVEL,SLA,mm2 mg-1,Albizia zygia,True,False,,,,,,NOT_YET_SEARCHED,NOT_YET_ASSIGNED,PENDING,21.25,mm2 mg-1,SPECIES_TRY,TRY_LIMITED_RESCUED,TRY,SPECIES_TRY_FINAL,1
Alstonia boonei,Alstonia,SPECIES_LEVEL,SLA,mm2 mg-1,Alstonia boonei,True,False,,,,,,NOT_YET_SEARCHED,NOT_YET_ASSIGNED,PENDING,12.72878797,mm2 mg-1,SPECIES_TRY,TRY_LIMITED,TRY,SPECIES_TRY_FINAL,1
Amphimas tetracoides,Amphimas,SPECIES_LEVEL,SLA,mm2 mg-1,Amphimas tetracoides,True,False,,,,,,NOT_YET_SEARCHED,NOT_YET_ASSIGNED,PENDING,16.772990065,mm2 mg-1,FAMILY_ESTIMATE,HIERARCHICAL_MEDIAN_OF_EMPIRICAL_GENUS_MEDIANS,INTERNAL_EMPIRICAL_SPECIES_EVIDENCE,INTERNAL_FAMILY_ESTIMATE,4
Aningeria robusta,Aningeria,SPECIES_LEVEL,SLA,mm2 mg-1,Aningeria robusta,True,False,,,,,,NOT_YET_SEARCHED,NOT_YET_ASSIGNED,PENDING,13.053,mm2 mg-1,FAMILY_ESTIMATE,EXTERNAL_BIEN_HIERARCHICAL_FAMILY_ESTIMATE,BIEN_EXTERNAL_FAMILY,EXTERNAL_BIEN_FAMILY_ESTIMATE,4
Annonidium manni,Annonidium,SPECIES_LEVEL,SLA,mm2 mg-1,Annonidium manni,True,False,,,,,,NOT_YET_SEARCHED,NOT_YET_ASSIGNED,PENDING,15.68690827,mm2 mg-1,SPECIES_TRY,TRY_LIMITED,TRY,SPECIES_TRY_FINAL,1
Anthocleista djalonensis,Anthocleista,SPECIES_LEVEL,SLA,mm2 mg-1,Anthocleista djalonensis,True,False,,,,,,NOT_YET_SEARCHED,NOT_YET_ASSIGNED,PENDING,22.37467387,mm2 mg-1,FAMILY_ESTIMATE,EXTERNAL_BIEN_HIERARCHICAL_FAMILY_ESTIMATE,BIEN_EXTERNAL_FAMILY,EXTERNAL_BIEN_FAMILY_ESTIMATE,4
Anthocleista vogelii,Anthocleista,SPECIES_LEVEL,SLA,mm2 mg-1,Anthocleista vogelii,True,False,,,,,,NOT_YET_SEARCHED,NOT_YET_ASSIGNED,PENDING,22.37467387,mm2 mg-1,FAMILY_ESTIMATE,EXTERNAL_BIEN_HIERARCHICAL_FAMILY_ESTIMATE,BIEN_EXTERNAL_FAMILY,EXTERNAL_BIEN_FAMILY_ESTIMATE,4
Anthonotha macrophylla,Anthonotha,SPECIES_LEVEL,SLA,mm2 mg-1,Anthonotha macrophylla,True,False,,,,,,NOT_YET_SEARCHED,NOT_YET_ASSIGNED,PENDING,16.772990065,mm2 mg-1,FAMILY_ESTIMATE,HIERARCHICAL_MEDIAN_OF_EMPIRICAL_GENUS_MEDIANS,INTERNAL_EMPIRICAL_SPECIES_EVIDENCE,INTERNAL_FAMILY_ESTIMATE,4
Artocarpus communis,Artocarpus,SPECIES_LEVEL,SLA,mm2 mg-1,Artocarpus communis,True,False,,,,,,NOT_YET_SEARCHED,NOT_YET_ASSIGNED,PENDING,14.919999999999998,mm2 mg-1,SPECIES_TRY,TRY_LIMITED,TRY,SPECIES_TRY_FINAL,1
Bambusa vulgaris,Bambusa,SPECIES_LEVEL,SLA,mm2 mg-1,Bambusa vulgaris,True,False,,,,,,NOT_YET_SEARCHED,NOT_YET_ASSIGNED,PENDING,17.4225352112676,mm2 mg-1,SPECIES_TRY,TRY_LIMITED,TRY,SPECIES_TRY_FINAL,1
Baphia nitida,Baphia,SPECIES_LEVEL,SLA,mm2 mg-1,Baphia nitida,True,False,,,,,,NOT_YET_SEARCHED,NOT_YET_ASSIGNED,PENDING,16.772990065,mm2 mg-1,FAMILY_ESTIMATE,HIERARCHICAL_MEDIAN_OF_EMPIRICAL_GENUS_MEDIANS,INTERNAL_EMPIRICAL_SPECIES_EVIDENCE,INTERNAL_FAMILY_ESTIMATE,4
Blighia sapida,Blighia,SPECIES_LEVEL,SLA,mm2 mg-1,Blighia sapida,True,False,,,,,,NOT_YET_SEARCHED,NOT_YET_ASSIGNED,PENDING,13.5567798807363,mm2 mg-1,SPECIES_TRY,TRY_MODERATE,TRY,SPECIES_TRY_FINAL,1
