Quality_Flag,N_Taxa
TRY_LIMITED,23
EXTERNAL_BIEN_HIERARCHICAL_FAMILY_ESTIMATE,21
TRY_STRONG,12
BIEN_GENUS_STRONG,12
TRY_MODERATE,9
HIERARCHICAL_MEDIAN_OF_EMPIRICAL_GENUS_MEDIANS,9
BIEN_GENUS_SINGLE_SPECIES_PROXY,8
GENUS_SINGLE_TRY_SPECIES_PROXY,7
BIEN_GENUS_MODERATE,5
EXPERIMENTAL_CONTEXT_SPECIES_LITERATURE,4
SPECIES_LITERATURE_MULTI_MEAN_SUPPORT,3
DIRECT_SPECIES_LITERATURE_VALUE,2
TRY_LIMITED_RESCUED,2
BIEN_GENUS_LIMITED,2
STRONG,2
MODERATE,1
DIRECT_SPECIES_LITERATURE_MEDIAN,1
CONTEXT_QUALIFIED_SPECIES_LITERATURE,1
EXPERIMENTAL_LITERATURE_ESTIMATE,1
LIMITED,1
MULTI_STUDY_MUSA_GENUS_ESTIMATE,1
