Canonical_Species,Trait_Code,Target_Unit,Trait_Source_Name,Raw_Trait_Value,Raw_Trait_Unit,Standardized_Trait_Value,Standardized_Trait_Unit,Match_Status,Taxonomic_Level,Trait_Source,Trait_Quality_Flag,binomial,genus,family,nb,nb_sources,nb_countries,nb_sites,wsg_est,GWDD_Match_Name,TWDD_Record_Count,TWDD_WD_SD,TWDD_WD_Min,TWDD_WD_Max,TWDD_Country_Count,TWDD_Source_Count,Fallback_Genus,Genus_Estimate_Source,Genus_Estimate_Confidence,GWDD_Genus_N,GWDD_Genus_Sources,GWDD_Genus_Countries,GWDD_Genus_Sites,TWDD_Genus_WD,TWDD_Genus_SD,TWDD_Genus_Records,TWDD_Genus_Species,Supplementary_Evidence_Type,Supplementary_Reference,Supplementary_DOI,WD_Provenance_Class
Amphimas tetracoides,WD,g cm-3,Amphimas,0.65,g cm-3,0.65,g cm-3,GENUS_LEVEL_FALLBACK,GENUS,GWDD_V2_GENUS,GENUS_ESTIMATE_HIGH_CONFIDENCE,,,,,,,,,Amphimas tetracoides,,,,,,,Amphimas,GWDD_V2_GENUS,HIGH_CONFIDENCE_GENUS,41.0,8.0,10.0,19.0,0.6630379523383729,0.13203203336616834,20.0,2.0,,,,GENUS_ESTIMATE
Annonidium manni,WD,g cm-3,Anonidium mannii,0.34,g cm-3,0.34,g cm-3,HARMONIZED_CANONICAL_MATCH,SPECIES,GWDD_V2_SPECIES,OK,,,,,,,,,Anonidium mannii,,,,,,,,,,,,,,,,,,,,,SPECIES_GWDD
Anthonotha macrophylla,WD,g cm-3,Anthonotha macrophylla,0.62,g cm-3,0.62,g cm-3,EXACT_CANONICAL_MATCH,SPECIES,GWDD_V2_SPECIES,OK,Anthonotha macrophylla,Anthonotha,Fabaceae,21.0,5.0,9.0,11.0,0.62,Anthonotha macrophylla,,,,,,,,,,,,,,,,,,,,,SPECIES_GWDD
Blighia sapida,WD,g cm-3,Blighia sapida,0.7,g cm-3,0.7,g cm-3,EXACT_CANONICAL_MATCH,SPECIES,GWDD_V2_SPECIES,OK,Blighia sapida,Blighia,Sapindaceae,9.0,4.0,5.0,7.0,0.7,Blighia sapida,,,,,,,,,,,,,,,,,,,,,SPECIES_GWDD
Celtis zenkeri,WD,g cm-3,Celtis zenkeri,0.63,g cm-3,0.63,g cm-3,EXACT_CANONICAL_MATCH,SPECIES,GWDD_V2_SPECIES,OK,Celtis zenkeri,Celtis,Cannabaceae,18.0,7.0,5.0,9.0,0.63,Celtis zenkeri,,,,,,,,,,,,,,,,,,,,,SPECIES_GWDD
Cleistopholis patens,WD,g cm-3,Cleistopholis patens,0.27,g cm-3,0.27,g cm-3,EXACT_CANONICAL_MATCH,SPECIES,GWDD_V2_SPECIES,OK,Cleistopholis patens,Cleistopholis,Annonaceae,23.0,7.0,8.0,11.0,0.27,Cleistopholis patens,,,,,,,,,,,,,,,,,,,,,SPECIES_GWDD
Diospyros dendo,WD,g cm-3,Diospyros dendo,0.72,g cm-3,0.72,g cm-3,EXACT_CANONICAL_MATCH,SPECIES,GWDD_V2_SPECIES,OK,Diospyros dendo,Diospyros,Ebenaceae,10.0,4.0,4.0,5.0,0.72,Diospyros dendo,,,,,,,,,,,,,,,,,,,,,SPECIES_GWDD
Drypetes species,WD,g cm-3,Drypetes,0.71,g cm-3,0.71,g cm-3,GENUS_LEVEL_FALLBACK,GENUS,GWDD_V2_GENUS,GENUS_ESTIMATE_HIGH_CONFIDENCE,,,,,,,,,Drypetes species,,,,,,,Drypetes,GWDD_V2_GENUS,HIGH_CONFIDENCE_GENUS,175.0,46.0,36.0,70.0,0.6783585744287227,0.0695665617222171,96.0,16.0,,,,GENUS_ESTIMATE
Funtumia elastica,WD,g cm-3,Funtumia elastica,0.4,g cm-3,0.4,g cm-3,EXACT_CANONICAL_MATCH,SPECIES,GWDD_V2_SPECIES,OK,Funtumia elastica,Funtumia,Apocynaceae,13.0,3.0,6.0,6.0,0.4,Funtumia elastica,,,,,,,,,,,,,,,,,,,,,SPECIES_GWDD
Homalium aylmeri,WD,g cm-3,Homalium,0.71,g cm-3,0.71,g cm-3,GENUS_LEVEL_FALLBACK,GENUS,GWDD_V2_GENUS,GENUS_ESTIMATE_HIGH_CONFIDENCE,,,,,,,,,Homalium aylmeri,,,,,,,Homalium,GWDD_V2_GENUS,HIGH_CONFIDENCE_GENUS,130.0,29.0,28.0,55.0,0.6891540036465262,0.07460600198722853,66.0,7.0,,,,GENUS_ESTIMATE
Irvinga gabonensis,WD,g cm-3,Irvingia gabonensis,0.79,g cm-3,0.79,g cm-3,HARMONIZED_CANONICAL_MATCH,SPECIES,GWDD_V2_SPECIES,OK,,,,,,,,,Irvingia gabonensis,,,,,,,,,,,,,,,,,,,,,SPECIES_GWDD
Lecaniodiscus cupanioides,WD,g cm-3,Lecaniodiscus cupanioides,0.68,g cm-3,0.68,g cm-3,EXACT_CANONICAL_MATCH,SPECIES,GWDD_V2_SPECIES,OK,Lecaniodiscus cupanioides,Lecaniodiscus,Sapindaceae,12.0,4.0,6.0,6.0,0.68,Lecaniodiscus cupanioides,,,,,,,,,,,,,,,,,,,,,SPECIES_GWDD
Lonchocarpus cilliata,WD,g cm-3,Lonchocarpus,0.71,g cm-3,0.71,g cm-3,GENUS_LEVEL_FALLBACK,GENUS,GWDD_V2_GENUS,GENUS_ESTIMATE_MODERATE_CONFIDENCE,,,,,,,,,Lonchocarpus cilliata,,,,,,,Lonchocarpus,GWDD_V2_GENUS,MODERATE_CONFIDENCE_GENUS,92.0,30.0,24.0,43.0,0.6011696152905281,0.07972121315310622,6.0,2.0,,,,GENUS_ESTIMATE
Margaritaria discoidea,WD,g cm-3,Margaritaria discoidea,0.67,g cm-3,0.67,g cm-3,EXACT_CANONICAL_MATCH,SPECIES,GWDD_V2_SPECIES,OK,Margaritaria discoidea,Margaritaria,Phyllanthaceae,28.0,5.0,12.0,18.0,0.67,Margaritaria discoidea,,,,,,,,,,,,,,,,,,,,,SPECIES_GWDD
Millettia thoningii,WD,g cm-3,Millettia,0.65,g cm-3,0.65,g cm-3,GENUS_LEVEL_FALLBACK,GENUS,GWDD_V2_GENUS,GENUS_ESTIMATE_HIGH_CONFIDENCE,,,,,,,,,Millettia thoningii,,,,,,,Millettia,GWDD_V2_GENUS,HIGH_CONFIDENCE_GENUS,112.0,19.0,17.0,32.0,0.6753085521164633,0.12688710338738154,79.0,19.0,,,,GENUS_ESTIMATE
