Variable,Domain,N,Effect,Primary_Test,Classical_F,Robust_F,Primary_p,Primary_q_BH_WithinEffect,Partial_Eta_Squared,Effect_Size_Class,Inferential_Result
Richness,TAXONOMIC_DIVERSITY,90,ZONE,CLASSICAL_TYPE_III,28.86690843155022,29.236562289238503,3.4297203071340456e-10,1.1432401023780153e-09,0.41614811852304856,LARGE,FDR_SIGNIFICANT
Richness,TAXONOMIC_DIVERSITY,90,HABITAT,CLASSICAL_TYPE_III,1.8424297370806868,1.5993182295198154,0.16500972141989792,0.235728173456997,0.043512612491087385,SMALL,NO_STRONG_EFFECT
Richness,TAXONOMIC_DIVERSITY,90,ZONE_X_HABITAT,CLASSICAL_TYPE_III,2.226745240253859,2.227168586515112,0.07329021946975281,0.091612774337191,0.09906884722197035,MEDIUM,NON_SIGNIFICANT_MEDIUM_EFFECT
Pielou,TAXONOMIC_DIVERSITY,90,ZONE,HC3_ROBUST_F,0.8071052450609183,1.0612468415582346,0.35078534227244407,0.5011219175320629,0.019539138370327308,SMALL,NO_STRONG_EFFECT
Pielou,TAXONOMIC_DIVERSITY,90,HABITAT,HC3_ROBUST_F,1.9224789028499507,2.155613629348148,0.12243133501354277,0.20405222502257128,0.045317457927259365,SMALL,NO_STRONG_EFFECT
Pielou,TAXONOMIC_DIVERSITY,90,ZONE_X_HABITAT,HC3_ROBUST_F,7.752156379247667,10.069869811581366,1.1485548689897617e-06,5.742774344948809e-06,0.2768414072922174,LARGE,FDR_SIGNIFICANT
CWM_WD,FUNCTIONAL_COMPOSITION,90,ZONE,CLASSICAL_TYPE_III,129.97427471819586,137.03546081487315,5.244993541978861e-26,5.244993541978861e-25,0.7624274978324506,LARGE,FDR_SIGNIFICANT
CWM_WD,FUNCTIONAL_COMPOSITION,90,HABITAT,CLASSICAL_TYPE_III,27.77225000894637,23.868719636924617,6.53187247348561e-10,2.1772908244952034e-09,0.40678679852073285,LARGE,FDR_SIGNIFICANT
CWM_WD,FUNCTIONAL_COMPOSITION,90,ZONE_X_HABITAT,CLASSICAL_TYPE_III,3.763129497698534,3.4612579814255726,0.007381378271941998,0.010640797121241911,0.15671133152633024,LARGE,FDR_SIGNIFICANT
CWM_SLA,FUNCTIONAL_COMPOSITION,90,ZONE,CLASSICAL_TYPE_III,33.781448344366865,24.42363431726499,2.1442416947472776e-11,1.0721208473736388e-10,0.45477638222341804,LARGE,FDR_SIGNIFICANT
CWM_SLA,FUNCTIONAL_COMPOSITION,90,HABITAT,CLASSICAL_TYPE_III,0.9082023870310316,0.8525214975011948,0.4073147700772941,0.5091434625966176,0.02193291026116794,SMALL,NO_STRONG_EFFECT
CWM_SLA,FUNCTIONAL_COMPOSITION,90,ZONE_X_HABITAT,CLASSICAL_TYPE_III,1.1542538120026498,1.1948356401947249,0.33723715736417575,0.37470795262686196,0.0539263747356327,SMALL,NO_STRONG_EFFECT
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,90,ZONE,HC3_ROBUST_F,7.855783349132424,5.7459928476945015,0.004639028911607991,0.009278057823215983,0.1624579896144598,LARGE,FDR_SIGNIFICANT
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,90,HABITAT,HC3_ROBUST_F,7.432239908119698,5.825888880790567,0.004325796797036928,0.01081449199259232,0.1550572208260328,LARGE,FDR_SIGNIFICANT
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,90,ZONE_X_HABITAT,HC3_ROBUST_F,3.2676376276186385,3.757061279793878,0.007448557984869338,0.010640797121241911,0.13894412692970448,MEDIUM,FDR_SIGNIFICANT
CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,90,ZONE,HC3_ROBUST_F,0.8066023488008003,1.464525854376805,0.23724357503736232,0.39540595839560383,0.019527201535233924,SMALL,NO_STRONG_EFFECT
CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,90,HABITAT,HC3_ROBUST_F,2.5318394526600674,2.2851894956377383,0.10827877093448882,0.20405222502257128,0.05883642170224629,SMALL,NO_STRONG_EFFECT
CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,90,ZONE_X_HABITAT,HC3_ROBUST_F,6.235522095353982,3.9027177499385326,0.0059938132630438954,0.010640797121241911,0.2354313452045486,LARGE,FDR_SIGNIFICANT
FDis,FUNCTIONAL_DIVERSITY,90,ZONE,HC3_ROBUST_F,0.07551280937831595,0.03968309643416022,0.9611126379365373,0.9611126379365373,0.0018610438698106234,VERY_SMALL,NO_STRONG_EFFECT
FDis,FUNCTIONAL_DIVERSITY,90,HABITAT,HC3_ROBUST_F,0.5701746546758537,0.535173136462216,0.5876239649447205,0.6529155166052449,0.01388293717935137,SMALL,NO_STRONG_EFFECT
FDis,FUNCTIONAL_DIVERSITY,90,ZONE_X_HABITAT,HC3_ROBUST_F,1.4777157220803567,4.701958103012643,0.0018347600783392747,0.004586900195848186,0.06801063402070645,MEDIUM,FDR_SIGNIFICANT
FEve,FUNCTIONAL_DIVERSITY,89,ZONE,CLASSICAL_TYPE_III,0.1808548248145259,0.2067657469849693,0.8348967644221789,0.9276630715801988,0.0045010198414901625,VERY_SMALL,NO_STRONG_EFFECT
FEve,FUNCTIONAL_DIVERSITY,89,HABITAT,CLASSICAL_TYPE_III,0.021037470026100742,0.022477018532411942,0.9791876890347987,0.9791876890347988,0.0005256602865894427,VERY_SMALL,NO_STRONG_EFFECT
FEve,FUNCTIONAL_DIVERSITY,89,ZONE_X_HABITAT,CLASSICAL_TYPE_III,0.6709039578895447,0.651728253865787,0.6140726672570226,0.6140726672570226,0.03245644018550423,SMALL,NO_STRONG_EFFECT
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,83,ZONE,HC3_ROBUST_F,0.3780850421975397,0.5519306253605007,0.5781889710197128,0.7227362137746409,0.010115152816702758,SMALL,NO_STRONG_EFFECT
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,83,HABITAT,HC3_ROBUST_F,17.151207574723692,49.21425653654174,2.5529220546942416e-14,2.5529220546942416e-13,0.31672807205742554,LARGE,FDR_SIGNIFICANT
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,83,ZONE_X_HABITAT,HC3_ROBUST_F,9.669361085306877,9.79318252605163,2.056947715095501e-06,6.85649238365167e-06,0.34325809009386477,LARGE,FDR_SIGNIFICANT
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,83,ZONE,HC3_ROBUST_F,22.72051650809732,19.1940166750107,1.9272185987710115e-07,4.818046496927529e-07,0.3804474213650968,LARGE,FDR_SIGNIFICANT
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,83,HABITAT,HC3_ROBUST_F,61.008687254933605,42.62373311292505,4.840497294292187e-13,2.420248647146094e-12,0.6224824448086108,LARGE,FDR_SIGNIFICANT
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,83,ZONE_X_HABITAT,HC3_ROBUST_F,23.367248413115952,15.595855027670487,2.684331642149154e-09,2.684331642149154e-08,0.558127159027618,LARGE,FDR_SIGNIFICANT
