Variable,Domain,Zone_q,Zone_Partial_Eta2,Habitat_q,Habitat_Partial_Eta2,Interaction_q,Interaction_Partial_Eta2,Primary_Interpretation,Robustness_Qualification
Richness,TAXONOMIC_DIVERSITY,1.1432401023780153e-09,0.41614811852304856,0.235728173456997,0.043512612491087385,0.091612774337191,0.09906884722197035,ZONE_MAIN_EFFECT,
Pielou,TAXONOMIC_DIVERSITY,0.5011219175320629,0.019539138370327308,0.20405222502257128,0.045317457927259365,5.742774344948809e-06,0.2768414072922174,INTERACTION_SIMPLE_EFFECTS,
CWM_WD,FUNCTIONAL_COMPOSITION,5.244993541978861e-25,0.7624274978324506,2.1772908244952034e-09,0.40678679852073285,0.010640797121241911,0.15671133152633024,INTERACTION_SIMPLE_EFFECTS,
CWM_SLA,FUNCTIONAL_COMPOSITION,1.0721208473736388e-10,0.45477638222341804,0.5091434625966176,0.02193291026116794,0.37470795262686196,0.0539263747356327,ZONE_MAIN_EFFECT,
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,0.009278057823215983,0.1624579896144598,0.01081449199259232,0.1550572208260328,0.010640797121241911,0.13894412692970448,INTERACTION_SIMPLE_EFFECTS,
CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,0.39540595839560383,0.019527201535233924,0.20405222502257128,0.05883642170224629,0.010640797121241911,0.2354313452045486,INTERACTION_SIMPLE_EFFECTS,
FDis,FUNCTIONAL_DIVERSITY,0.9611126379365373,0.0018610438698106234,0.6529155166052449,0.01388293717935137,0.004586900195848186,0.06801063402070645,INTERACTION_SIMPLE_EFFECTS,Interaction supported by HC3 robust inference but not by classical Type III inference; simple-effect conclusions are robustness-dependent.
FEve,FUNCTIONAL_DIVERSITY,0.9276630715801988,0.0045010198414901625,0.9791876890347988,0.0005256602865894427,0.6140726672570226,0.03245644018550423,NO_FDR_SUPPORTED_FACTORIAL_EFFECT,
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,0.7227362137746409,0.010115152816702758,2.5529220546942416e-13,0.31672807205742554,6.85649238365167e-06,0.34325809009386477,INTERACTION_SIMPLE_EFFECTS,Habitat and Zone×Habitat interaction are stable on raw and log scales. Marginal Zone effect is not considered stable.
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,4.818046496927529e-07,0.3804474213650968,2.420248647146094e-12,0.6224824448086108,2.684331642149154e-08,0.558127159027618,INTERACTION_SIMPLE_EFFECTS,
