Plot_ID,Zone,Habitat,Amphimas tetracoides,Annonidium manni,Anthonotha macrophylla,Blighia sapida,Celtis zenkeri,Cleistopholis patens,Diospyros dendo,Drypetes species,Funtumia elastica,Homalium aylmeri,Irvinga gabonensis,Lecaniodiscus cupanioides,Lonchocarpus cilliata,Margaritaria discoidea,Millettia thoningii,Monodora tenuifolia,Nesodogornia papaverifera,Picralima nitida,Pycnanthus angolensis,Ricinodendron heudelotii,Scotellia coricea,Sterculia rhinopetala,Strombosia pustulata,Trichilia gilgiana,Trichilia monadelpha,Uapaca heudelotii,Alstonia boonei,Bombax buonopozense,Bosqueia angolensis,Dialium guinensis,Ficus exasperata,Grewia pubescens,Homalium alymeri,Musanga cecropiodes,Nesodogornia papaverivera,Pavetta corymbosa,Ricinodendron heudeloti,Sterculia tragacantha,Strombosia postulata,Baphia nitida,Cola species,Diospyrous mespiliformis,Garcinia kola,Hildegardia barteri,Lecaniodiscus cupaniodes,Maesobotrya barteri,Nauclea diderrichi,Nesogordonia papaverifera,Pterocarpus osun,Rinorea dentata,Scotellia coriaceae,Terminalia superba,Zanthoxylum xanthoxyloides,Diallium guineense,Dillenia indica,Margartaria discoidea,Musanga cecropioides,Pavetta corymbosia,Pycanthus angolensis,Ricinodendron heudeotii,Afzelia africana,Albizia zygia,Anthocleista djalonensis,Anthocleista vogelii,Brachystegia eurycoma,Bridelia ferruginea,Cassia saimen,Ceiba pentandra,Diospyrous melistoformis,Drypetes,Funtumia africana,Gmelina arborea,Harungana madagascariensis,Hexalobus crispiflorus,Holarrhena floribunda,Macaranga barteri,Melacantha alnifolia,Musanga cecropoides,Nothospondia staudtii,Nuclea diderrichi,Rauvolvia vomitoria,Rothmania hispida,Spondia mombin,Sterculia oblonga,Albizia auxilary,Blighia unijigata,Cleistoformis patens,Dialium guineense,Diospyros soubreana,Diospyros undebunda,Milicia excelsa,Musanga cecropoidies,Myrianthus arboreus,Piptadeniastrum africanum,Ricinidendron heudeloti,Scotellia coriacea,Strombosia putulata,Zanthoxylum zanthoxyloides,Albizia ferruginea,Aningeria robusta,Artocarpus communis,Bambusa vulgaris,Chrysophylum albidum,Cola nitida,Corynante pachycercus,Diospyrous dendo,Elaeis guineensis,Lonchocarpus cyanescens,Mitragyna cilliata,Pterocarpus santoxyloides,Tetrapleura tetraptera,Uapaca heudeloti,Elaeis guinensis,Ficus mucosa,Macranga bateri,Nauclea diderrichii,Termialia superba,Theobroma cacao,Carica papaya,Chrysophyllum albidum,Citrus sinenses,Dracena manni,Elaeis guineense,Ficus mucuso,Musa sapiensis,Raulvolfia vomitoria,Trema orientalis,Community_Plot_ID_Raw,Zone_Key_25,Habitat_Key_25,Recovered_Plot_Number_25,Comparable_Plot_Key_25,Plot_Total_Abundance
CmP1,Core,Major River,1,2,0,0,4,1,3,6,0,1,0,1,0,0,0,2,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CmP1,core,major_river,1,core||major_river||plot01,27
CmP2,Core,Major River,0,2,0,1,0,0,1,6,0,2,1,1,0,0,1,0,1,7,1,1,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CmP2,core,major_river,2,core||major_river||plot02,33
CmP3,Core,Major River,0,1,1,0,0,0,2,2,0,0,0,1,0,1,0,2,0,4,0,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CmP3,core,major_river,3,core||major_river||plot03,22
CmP4,Core,Major River,0,0,0,0,0,1,5,2,2,2,0,0,0,1,0,0,0,2,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CmP4,core,major_river,4,core||major_river||plot04,21
CmP5,Core,Major River,0,0,0,0,0,0,7,4,0,0,0,1,0,1,0,0,0,6,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CmP5,core,major_river,5,core||major_river||plot05,26
CmP6,Core,Major River,1,1,0,0,1,0,7,1,0,1,1,1,1,0,0,0,0,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CmP6,core,major_river,6,core||major_river||plot06,22
CmP7,Core,Major River,0,0,2,0,0,1,5,3,3,1,1,2,0,3,1,1,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CmP7,core,major_river,7,core||major_river||plot07,30
CmP8,Core,Major River,1,2,0,0,1,1,6,5,0,1,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CmP8,core,major_river,8,core||major_river||plot08,24
CmP9,Core,Major River,0,1,2,1,0,0,8,6,1,0,1,0,0,3,1,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CmP9,core,major_river,9,core||major_river||plot09,30
CmP10,Core,Major River,0,0,0,0,0,1,8,7,1,1,1,2,2,0,0,0,0,2,0,0,1,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CmP10,core,major_river,10,core||major_river||plot10,32
