Plot_ID,Zone,Habitat,Richness,Pielou,CWM_WD,CWM_SLA,CWM_Log10_Seed_Mass,CWM_Max_Height_m,FDis,FEve,Estimated_Mean_DBH,Estimated_Mean_Height,Structural_Coverage_Percent,Use_Primary_Association,Use_Factorial_Structural
CmP3,Core,Major River,12,0.94,0.6368181818181818,13.503277749936744,2.627693105159757,28.226097846818185,1.6260822291125805,0.7872191061513764,27.5825,27.922000000000004,90.9090909090909,True,True
CmP4,Core,Major River,10,0.944,0.6514285714285714,11.214256528610726,2.245973054844591,28.12766154571429,1.4629370108766342,0.7221127461888238,23.11842105263158,24.054736842105264,90.47619047619048,True,True
CmP6,Core,Major River,13,0.865,0.6904545454545455,10.900978752891293,2.512535536275062,23.48750858909091,1.4337041640080512,0.7747690508937245,21.857142857142858,21.92142857142857,95.45454545454544,True,True
CmP7,Core,Major River,16,0.938,0.6136666666666666,13.6672969376112,2.4021761023744457,25.86664642766667,1.610010364672139,0.804205026000928,24.66481481481481,25.582222222222224,90.0,True,True
CsP9,Core,Stream,6,0.951,0.4708333333333334,14.4402455437028,1.6823481823161013,32.76639843916667,1.6651187370902774,0.8373609114562419,46.635,43.75333333333333,100.0,True,True
CuP1,Core,Upland,8,0.791,0.69,9.959098939206354,2.059142228254354,27.532171741684213,1.5257145471226057,0.7048680075942797,22.14444444444445,22.55,94.73684210526316,True,True
CuP2,Core,Upland,10,0.838,0.6658260739031261,12.283038708262067,2.0646057532462634,23.903072420600004,1.6637583632724262,0.740965867482842,22.78,23.8155,100.0,True,True
CuP3,Core,Upland,7,0.844,0.6322222222222221,11.601087468630718,2.0595425295658525,29.604312904,1.7126218268341509,0.7453182491652542,23.183333333333334,24.3,100.0,True,True
CuP4,Core,Upland,10,0.831,0.6173076923076923,13.206751433861257,2.118398201717434,27.793747959461538,1.8046892903272356,0.7268947005519822,21.307692307692307,22.46153846153846,100.0,True,True
CuP5,Core,Upland,13,0.873,0.6655172413793102,12.467382827338394,2.190893398673336,30.581091507793104,1.652878151064698,0.7638610951771807,22.26206896551724,23.158620689655173,100.0,True,True
CuP6,Core,Upland,12,0.82,0.6885714285714285,9.77391059520689,2.149636157607469,24.781626246666665,1.595432956136453,0.8151852102725584,22.145,23.3505,95.23809523809524,True,True
CuP7,Core,Upland,10,0.853,0.6502608591225009,12.277401086536704,2.209144160424087,27.1642038524,1.785621373419769,0.796234603853356,21.196,22.148000000000003,100.0,True,True
CuP8,Core,Upland,11,0.82,0.6104166666666666,10.004522421318043,2.376390841879881,24.566744004583335,1.7460953380476807,0.7978924330681779,23.666666666666668,24.05458333333333,100.0,True,True
CuP9,Core,Upland,14,0.876,0.6696,12.947918987766622,2.01343068912421,23.348121628720005,1.669960070235498,0.7765074705500125,20.791666666666668,21.738333333333333,96.0,True,True
CuP10,Core,Upland,13,0.889,0.6372400642635879,13.084687646165843,2.1624199916747195,26.42574409191304,1.7907681573185472,0.8247789215583404,22.78695652173913,23.544347826086955,100.0,True,True
