Plot_ID,Zone,Habitat,Structural_Coverage_Percent,Typology_ID,Typology_Name,Short_Name,Confidence_Class,Within_Cluster_Consensus,Maximum_External_Consensus,Consensus_Margin,Silhouette,Typology_Status,Typology_Confidence_Qualified
BmP1,Buffer,Major River,100.0,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,MODERATE_CONFIDENCE,0.9227200000000001,0.633,0.2897200000000001,0.13995976578142946,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
BmP10,Buffer,Major River,70.0,,,,,,,,,UNCLASSIFIED_BY_AUTHORITATIVE_TYPOLOGY,False
BmP2,Buffer,Major River,76.47058823529412,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,MODERATE_CONFIDENCE,0.7928620689655175,0.6,0.1928620689655175,0.18409152247404006,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
BmP3,Buffer,Major River,78.26086956521739,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,LOW_CONFIDENCE,0.5570689655172414,0.751,-0.1939310344827586,0.009390693045053909,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,True
BmP4,Buffer,Major River,88.88888888888889,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,HIGH_CONFIDENCE,0.8166896551724139,0.466,0.35068965517241385,0.3248140284789224,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
BmP5,Buffer,Major River,83.33333333333333,T3,Transition–Stream Functionally Diverse Light-Seeded State,Functionally Diverse Light-Seeded,HIGH_CONFIDENCE,0.8731666666666666,0.509,0.36416666666666664,0.22499410506839648,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
BmP6,Buffer,Major River,78.57142857142857,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,MODERATE_CONFIDENCE,0.8035862068965518,0.569,0.23458620689655185,0.21339695806954276,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
BmP7,Buffer,Major River,78.57142857142857,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,HIGH_CONFIDENCE,0.8093448275862068,0.43,0.37934482758620686,0.299465948598543,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
BmP8,Buffer,Major River,82.3529411764706,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,MODERATE_CONFIDENCE,0.89444,0.67,0.22443999999999997,0.08560801726412147,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
BmP9,Buffer,Major River,81.25,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,MODERATE_CONFIDENCE,0.8159655172413793,0.519,0.2969655172413793,0.3388986966737914,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
BsP1,Buffer,Stream,100.0,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,LOW_CONFIDENCE,0.62088,0.382,0.23887999999999998,0.08245547326682508,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,True
BsP10,Buffer,Stream,100.0,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,LOW_CONFIDENCE,0.6496551724137931,0.609,0.04065517241379313,0.14279185832283764,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,True
BsP2,Buffer,Stream,100.0,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,HIGH_CONFIDENCE,0.87872,0.546,0.3327199999999999,0.19263770594302096,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
BsP3,Buffer,Stream,100.0,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,LOW_CONFIDENCE,0.66488,0.751,-0.08611999999999997,0.015569904615636622,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,True
BsP4,Buffer,Stream,100.0,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,MODERATE_CONFIDENCE,0.7837241379310345,0.535,0.24872413793103443,0.13688769794137062,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
BsP5,Buffer,Stream,95.0,T3,Transition–Stream Functionally Diverse Light-Seeded State,Functionally Diverse Light-Seeded,MODERATE_CONFIDENCE,0.82,0.609,0.21099999999999997,0.0037017975817587594,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
BsP6,Buffer,Stream,100.0,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,HIGH_CONFIDENCE,0.9316000000000001,0.605,0.3266000000000001,0.11369217430985303,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
BsP7,Buffer,Stream,94.44444444444444,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,HIGH_CONFIDENCE,0.8095172413793105,0.42,0.3895172413793105,0.27943048610457055,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
BsP8,Buffer,Stream,94.73684210526316,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,MODERATE_CONFIDENCE,0.7821034482758621,0.428,0.3541034482758621,0.27533288332985784,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
BsP9,Buffer,Stream,95.65217391304348,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,MODERATE_CONFIDENCE,0.8041379310344826,0.563,0.24113793103448267,0.18499799960614408,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
BuP1,Buffer,Upland,100.0,T3,Transition–Stream Functionally Diverse Light-Seeded State,Functionally Diverse Light-Seeded,MODERATE_CONFIDENCE,0.8512500000000002,0.576,0.2752500000000002,0.05911218952542431,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
BuP10,Buffer,Upland,70.83333333333333,,,,,,,,,UNCLASSIFIED_BY_AUTHORITATIVE_TYPOLOGY,False
BuP2,Buffer,Upland,80.0,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,MODERATE_CONFIDENCE,0.7626551724137931,0.634,0.1286551724137931,0.11642345245445021,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
BuP3,Buffer,Upland,86.36363636363636,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,HIGH_CONFIDENCE,0.93588,0.605,0.33088000000000006,0.2770147102666246,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
BuP4,Buffer,Upland,76.47058823529412,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,HIGH_CONFIDENCE,0.9358399999999999,0.611,0.3248399999999999,0.22304303397711508,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
BuP5,Buffer,Upland,63.333333333333336,,,,,,,,,UNCLASSIFIED_BY_AUTHORITATIVE_TYPOLOGY,False
BuP6,Buffer,Upland,77.77777777777777,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,MODERATE_CONFIDENCE,0.7973793103448275,0.587,0.21037931034482749,0.2304230693956528,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
BuP7,Buffer,Upland,100.0,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,HIGH_CONFIDENCE,0.8102758620689655,0.479,0.33127586206896553,0.30161229160087255,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
BuP8,Buffer,Upland,76.0,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,MODERATE_CONFIDENCE,0.7456551724137933,0.643,0.1026551724137933,0.16088137704433028,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
BuP9,Buffer,Upland,90.0,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,MODERATE_CONFIDENCE,0.8035172413793102,0.555,0.2485172413793102,0.18476508352105678,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
CmP1,Core,Major River,77.77777777777777,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,LOW_CONFIDENCE,0.7013448275862069,0.711,-0.0096551724137931,0.10001001747462936,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,True
CmP10,Core,Major River,78.125,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,HIGH_CONFIDENCE,0.9343600000000001,0.614,0.3203600000000001,0.23673561452356234,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
CmP2,Core,Major River,81.81818181818181,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,HIGH_CONFIDENCE,0.92804,0.624,0.30404,0.14926410533454745,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
CmP3,Core,Major River,90.9090909090909,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,LOW_CONFIDENCE,0.6984827586206896,0.726,-0.02751724137931033,0.0936939155654256,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,True
CmP4,Core,Major River,90.47619047619048,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,HIGH_CONFIDENCE,0.93624,0.61,0.32624,0.2097988684765999,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
CmP5,Core,Major River,84.61538461538461,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,HIGH_CONFIDENCE,0.93664,0.606,0.33064000000000004,0.3321062355332102,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
CmP6,Core,Major River,95.45454545454544,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,HIGH_CONFIDENCE,0.9366800000000001,0.608,0.3286800000000001,0.3495671434255653,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
CmP7,Core,Major River,90.0,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,LOW_CONFIDENCE,0.6193793103448276,0.716,-0.09662068965517234,0.04851682118907403,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,True
CmP8,Core,Major River,79.16666666666667,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,MODERATE_CONFIDENCE,0.92332,0.633,0.29032,0.16490877497994386,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
CmP9,Core,Major River,80.0,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,MODERATE_CONFIDENCE,0.8735199999999999,0.693,0.1805199999999999,0.07204730486056604,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
CsP1,Core,Stream,75.0,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,MODERATE_CONFIDENCE,0.7372758620689654,0.354,0.38327586206896547,0.2955441690545094,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
CsP10,Core,Stream,88.88888888888889,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,MODERATE_CONFIDENCE,0.774103448275862,0.341,0.43310344827586195,0.351644832265848,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
CsP2,Core,Stream,76.47058823529412,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,MODERATE_CONFIDENCE,0.7750689655172412,0.341,0.4340689655172412,0.3789139528739937,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
CsP3,Core,Stream,70.83333333333333,,,,,,,,,UNCLASSIFIED_BY_AUTHORITATIVE_TYPOLOGY,False
CsP4,Core,Stream,76.19047619047619,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,HIGH_CONFIDENCE,0.8168275862068965,0.447,0.36982758620689654,0.39220732433770406,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
CsP5,Core,Stream,50.0,,,,,,,,,UNCLASSIFIED_BY_AUTHORITATIVE_TYPOLOGY,False
CsP6,Core,Stream,84.0,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,MODERATE_CONFIDENCE,0.7510689655172414,0.338,0.4130689655172414,0.36687372049226813,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
CsP7,Core,Stream,78.94736842105263,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,MODERATE_CONFIDENCE,0.7752068965517241,0.345,0.43020689655172417,0.3046028855297454,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
CsP8,Core,Stream,70.58823529411765,,,,,,,,,UNCLASSIFIED_BY_AUTHORITATIVE_TYPOLOGY,False
CsP9,Core,Stream,100.0,T2,Buffer-Enriched Structurally Developed Diverse State,Structurally Developed Diverse,LOW_CONFIDENCE,0.5153103448275862,0.533,-0.017689655172413832,0.06175021029713178,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,True
CuP1,Core,Upland,94.73684210526316,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,HIGH_CONFIDENCE,0.9351599999999999,0.604,0.3311599999999999,0.4140157957069649,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
CuP10,Core,Upland,100.0,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,HIGH_CONFIDENCE,0.9308799999999999,0.615,0.31587999999999994,0.19567065023836328,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
CuP2,Core,Upland,100.0,T1,Core–Upland Dense-Wood Conservative State,Dense-Wood Conservative,HIGH_CONFIDENCE,0.93664,0.606,0.33064000000000004,0.40623724179551535,AUTHORITATIVE_DISCOVERY_SET_CLASSIFICATION,False
