Plot_ID,Zone,Habitat,Plot_Total_Abundance,Richness,Shannon,Simpson,Pielou,CWM_WD,CWM_SLA,CWM_Log10_Seed_Mass,CWM_Max_Height_m,FDis,RaoQ,FEve,FRic_4D,Estimated_Mean_DBH,Estimated_Mean_Height,Estimated_Mean_Basal_Area_Contribution,Structural_Coverage_Percent,Structural_Analysis_Tier,Use_Primary_Association,Use_Factorial_Structural,Use_Full_Descriptive,Structural_Use_Class
CmP3,Core,Major River,22,12,2.335,0.888,0.94,0.6368181818181818,13.503277749936744,2.627693105159757,28.226097846818185,1.6260822291125805,2.1688451167384857,0.7872191061513764,4.72463444623128,27.5825,27.922000000000004,730.49,90.9090909090909,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
CmP4,Core,Major River,21,10,2.174,0.871,0.944,0.6514285714285714,11.214256528610726,2.245973054844591,28.12766154571429,1.4629370108766342,1.9180920777405377,0.7221127461888238,2.5056857372628656,23.11842105263158,24.054736842105264,450.4736842105263,90.47619047619048,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
CmP6,Core,Major River,22,13,2.22,0.843,0.865,0.6904545454545455,10.900978752891293,2.512535536275062,23.48750858909091,1.4337041640080512,1.8813626850639904,0.7747690508937245,3.170333776259727,21.857142857142858,21.92142857142857,386.70952380952383,95.45454545454544,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
CmP7,Core,Major River,30,16,2.601,0.913,0.938,0.6136666666666666,13.6672969376112,2.4021761023744457,25.86664642766667,1.610010364672139,2.1559464554953967,0.804205026000928,6.504617119738878,24.66481481481481,25.582222222222224,528.2666666666667,90.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
CsP9,Core,Stream,12,6,1.705,0.806,0.951,0.4708333333333334,14.4402455437028,1.6823481823161013,32.76639843916667,1.6651187370902774,2.1420533209214474,0.8373609114562419,1.066008713897121,46.635,43.75333333333333,2012.95,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
CuP1,Core,Upland,19,8,1.645,0.737,0.791,0.69,9.959098939206354,2.059142228254354,27.532171741684213,1.5257145471226057,1.827306763669844,0.7048680075942797,1.0341870136626456,22.14444444444445,22.55,401.2388888888888,94.73684210526316,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
CuP2,Core,Upland,20,10,1.93,0.79,0.838,0.6658260739031261,12.283038708262067,2.0646057532462634,23.903072420600004,1.6637583632724262,2.0573164249191187,0.740965867482842,2.616127496026132,22.78,23.8155,434.96,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
CuP3,Core,Upland,18,7,1.642,0.759,0.844,0.6322222222222221,11.601087468630718,2.0595425295658525,29.604312904,1.7126218268341509,2.0905653356568985,0.7453182491652542,1.6568691290448505,23.183333333333334,24.3,438.5444444444445,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
CuP4,Core,Upland,26,10,1.914,0.805,0.831,0.6173076923076923,13.206751433861257,2.118398201717434,27.793747959461538,1.8046892903272356,2.265881646036649,0.7268947005519822,4.061836814796311,21.307692307692307,22.46153846153846,362.7884615384616,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
CuP5,Core,Upland,29,13,2.24,0.861,0.873,0.6655172413793102,12.467382827338394,2.190893398673336,30.581091507793104,1.652878151064698,2.1550270632469597,0.7638610951771807,5.413382403915709,22.26206896551724,23.158620689655173,405.9551724137932,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
CuP6,Core,Upland,21,12,2.037,0.785,0.82,0.6885714285714285,9.77391059520689,2.149636157607469,24.781626246666665,1.595432956136453,2.004093489765221,0.8151852102725584,4.408732867738503,22.145,23.3505,398.23,95.23809523809524,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
CuP7,Core,Upland,25,10,1.963,0.81,0.853,0.6502608591225009,12.277401086536704,2.209144160424087,27.1642038524,1.785621373419769,2.231690213798608,0.796234603853356,3.525221298442411,21.196,22.148000000000003,369.48800000000006,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
CuP8,Core,Upland,24,11,1.966,0.785,0.82,0.6104166666666666,10.004522421318043,2.376390841879881,24.566744004583335,1.7460953380476807,2.172256523606494,0.7978924330681779,5.076057181500728,23.666666666666668,24.05458333333333,461.9791666666667,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
CuP9,Core,Upland,25,14,2.311,0.854,0.876,0.6696,12.947918987766622,2.01343068912421,23.348121628720005,1.669960070235498,2.159055933189052,0.7765074705500125,5.89329284369158,20.791666666666668,21.738333333333333,347.3583333333333,96.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
CuP10,Core,Upland,23,13,2.279,0.858,0.889,0.6372400642635879,13.084687646165843,2.1624199916747195,26.42574409191304,1.7907681573185472,2.2860309112170216,0.8247789215583404,5.748596365682416,22.78695652173913,23.544347826086955,436.8391304347826,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BmP1,Buffer,Major River,21,10,2.055,0.844,0.893,0.54,10.493065249566962,2.3493239389796328,21.626548692380958,1.6922096019465238,2.2326494859127517,0.7247879056998263,4.21441481655075,27.904761904761905,26.45714285714286,661.4047619047619,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP1,Buffer,Stream,27,7,1.495,0.713,0.768,0.5485185185185185,12.926785118750628,1.8531747457943168,21.269943194000003,1.4615722971983691,1.8184960423450691,0.42640420655001,2.455508605564096,29.06296296296296,29.17407407407407,701.3259259259258,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP2,Buffer,Stream,20,7,1.498,0.69,0.77,0.5675000000000001,11.880617518478736,1.496132097017028,19.9259936604,1.2376536979554675,1.493048216695286,0.6817208475770298,1.1008713124514529,29.06,28.855,709.575,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP3,Buffer,Stream,18,8,1.826,0.79,0.878,0.541111111111111,12.414858938674309,2.7474583171693,30.47159690055556,1.670383487840285,2.090599009231113,0.7693542619485259,2.1911246185720032,28.427777777777777,29.77777777777778,676.0222222222222,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP4,Buffer,Stream,36,13,2.169,0.844,0.845,0.5199033743906257,14.565950450277777,2.2388629136331826,22.52169870388889,1.3718923212641478,1.8230017983415292,0.6903569542590597,6.55839654940533,34.56666666666667,34.044444444444444,989.3972222222224,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP5,Buffer,Stream,20,12,2.389,0.9,0.961,0.47,16.55329870242334,1.5042409010164042,27.4457362834,1.8642543387857864,2.454947397685564,0.8960697993611846,6.358004151978899,33.21315789473684,30.489473684210523,949.8,95.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP6,Buffer,Stream,20,8,1.765,0.775,0.849,0.531,11.906946770797154,1.7602390769296083,22.0661667889,1.3482727092943954,1.6703208821113649,0.8804636071436512,0.9295120401194598,26.945,27.385,607.3050000000001,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP7,Buffer,Stream,18,11,2.264,0.883,0.944,0.5061111111111112,13.090560732007642,2.602816771398309,28.261280040000003,1.7537725052501962,2.3097817277030828,0.76191860081743,5.429577272321082,32.023529411764706,32.15294117647059,852.2352941176471,94.44444444444444,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP8,Buffer,Stream,19,16,2.698,0.925,0.973,0.5526315789473684,15.741444597960523,1.9513772211414817,28.302088835684213,1.8390226503426368,2.477895778840737,0.8358519801121154,10.431050509631495,30.75555555555556,30.58333333333333,800.8722222222223,94.73684210526316,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP9,Buffer,Stream,23,13,2.306,0.87,0.899,0.5617391304347826,14.913932696776266,1.7094954545951884,23.10185522069565,1.5589992381964568,2.0527035246003926,0.7587968252820148,6.207588912403677,30.00454545454545,29.768181818181816,800.2986363636363,95.65217391304348,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP10,Buffer,Stream,24,14,2.557,0.917,0.969,0.4529166666666667,14.63175004415631,1.716171590034348,27.048230106166667,1.7638322969338716,2.437238538417938,0.8041230868903609,11.414058160616682,30.26875,29.90833333333333,771.5583333333334,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BuP1,Buffer,Upland,7,7,1.946,0.857,1.0,0.4742857142857143,16.299374171428575,1.857808459358576,25.62509144071428,1.7323527466091853,2.2926672882514563,0.8847929762892732,1.9074967821137865,26.208571428571428,31.071428571428573,628.9428571428572,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BuP7,Buffer,Upland,17,13,2.507,0.913,0.977,0.5858823529411764,13.982359906494898,2.10380393891416,28.007963192941176,1.752807867226157,2.366950570034404,0.843365143118902,8.767591111468352,27.844117647058823,29.18235294117647,681.3529411764706,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BuP9,Buffer,Upland,20,13,2.484,0.91,0.969,0.5619999999999999,12.397619236786817,2.2107211354462164,28.3896057056,1.8201912166460104,2.408072722058828,0.8078469336338872,4.642887775002874,25.28944444444444,28.23333333333333,519.1888888888889,90.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TmP1,Transition,Major River,9,6,1.677,0.79,0.936,0.5588888888888889,19.12077266090363,2.9177814188008777,26.071337613333338,1.4718575945763408,1.8476634880831144,0.8502705880277295,0.5919808075124662,49.36666666666666,29.45555555555556,5060.766666666666,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TmP2,Transition,Major River,12,7,1.792,0.806,0.921,0.4175,16.0992270452098,1.3798571871854517,22.68814516666667,2.1676288473661294,2.6681643800871866,0.8049704513644579,4.229245534865635,40.825,24.925,3916.2,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TmP3,Transition,Major River,31,10,2.085,0.86,0.905,0.5196774193548387,20.08505417350689,1.9949130445923131,21.631212842258066,1.701411063049406,2.3581690703371594,0.6536586429406628,6.440448604626225,29.48709677419355,24.71935483870968,792.558064516129,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TmP4,Transition,Major River,9,5,1.303,0.642,0.81,0.4611111111111111,13.847719242169044,2.485763280838047,41.24330894777778,1.0027869076632236,1.17317887833972,0.7253568025645437,0.002562430237443,23.17222222222222,24.05555555555556,433.3666666666667,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TmP5,Transition,Major River,8,4,1.213,0.656,0.875,0.4525,21.52819481355348,3.104002577047117,24.62118995375,1.297295647135223,1.5317603797735173,0.7333428999438704,,21.2125,20.637500000000003,353.8,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TmP6,Transition,Major River,18,14,2.524,0.907,0.956,0.5377777777777778,15.68767452787966,2.330184917643674,29.678493185055554,1.4951097983940702,2.068466094669652,0.7025248556315132,6.424746861102641,28.46944444444445,27.98888888888889,713.5388888888889,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TmP7,Transition,Major River,10,9,2.164,0.88,0.985,0.5389999999999999,19.03031606201734,2.855053310580858,21.2696171651,1.7859883176606266,2.44213299674348,0.755327155532082,3.85217431924497,26.635,25.25,624.1800000000001,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TmP8,Transition,Major River,12,7,1.82,0.819,0.935,0.4641666666666666,15.879948810334218,2.2501527052475296,35.05242623666666,1.3943505685635922,1.8789404619821095,0.8415366209001289,1.0024297716863813,22.84166666666667,22.725,427.225,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TmP9,Transition,Major River,13,9,2.138,0.876,0.973,0.553076923076923,15.169469782262976,2.4758827057602915,25.12006452392308,1.6330604151148294,2.145241141302236,0.9328925339061472,3.1378082666130243,60.93076923076923,29.084615384615383,7015.446153846154,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TmP10,Transition,Major River,15,10,2.211,0.88,0.96,0.5299999999999999,14.005026947756502,2.3506409588723045,23.596172964666664,1.4665960823323403,1.9685377282186869,0.8460223445595917,2.5791756105396573,39.77,28.186666666666667,3256.2866666666664,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TsP3,Transition,Stream,12,7,1.792,0.806,0.921,0.4716666666666667,14.408525244381734,1.8725554847271952,35.98837681716667,1.7986008371256086,2.2668588320982184,0.8054622874677466,1.4510556434281656,33.641666666666666,34.225,953.925,100.0,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
