Plot_ID,Zone,Habitat,Canonical_Species,Abundance,Species_Key,Zone_Key,Habitat_Key,Structural_Lookup_Key,Structural_Species_Key,Resolved_Record_ID,Master_Species,Mean_DBH,Mean_Height,Basal_Area,Final_Linkage_Class,Structural_Integration_QC,Structural_Data_Available,DBH_Weighted_Contribution,Height_Weighted_Contribution,BA_Weighted_Contribution,Structurally_Represented_Individuals
CmP1,Core,Major River,Amphimas tetracoides,1,amphimas tetracoides,core,major river,core||major river||amphimas tetracoides,amphimas tetracoides,OMO_STR_0026,Amphimas tetracoides,21.4,22.1,359.8,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,21.4,22.1,359.8,1
CmP6,Core,Major River,Amphimas tetracoides,1,amphimas tetracoides,core,major river,core||major river||amphimas tetracoides,amphimas tetracoides,OMO_STR_0026,Amphimas tetracoides,21.4,22.1,359.8,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,21.4,22.1,359.8,1
CmP8,Core,Major River,Amphimas tetracoides,1,amphimas tetracoides,core,major river,core||major river||amphimas tetracoides,amphimas tetracoides,OMO_STR_0026,Amphimas tetracoides,21.4,22.1,359.8,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,21.4,22.1,359.8,1
CmP1,Core,Major River,Annonidium manni,2,annonidium manni,core,major river,core||major river||annonidium manni,annonidium manni,OMO_STR_0027,Annonidium manni,30.2,29.6,716.6,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,60.4,59.2,1433.2,2
CmP2,Core,Major River,Annonidium manni,2,annonidium manni,core,major river,core||major river||annonidium manni,annonidium manni,OMO_STR_0027,Annonidium manni,30.2,29.6,716.6,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,60.4,59.2,1433.2,2
CmP3,Core,Major River,Annonidium manni,1,annonidium manni,core,major river,core||major river||annonidium manni,annonidium manni,OMO_STR_0027,Annonidium manni,30.2,29.6,716.6,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,30.2,29.6,716.6,1
CmP6,Core,Major River,Annonidium manni,1,annonidium manni,core,major river,core||major river||annonidium manni,annonidium manni,OMO_STR_0027,Annonidium manni,30.2,29.6,716.6,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,30.2,29.6,716.6,1
CmP8,Core,Major River,Annonidium manni,2,annonidium manni,core,major river,core||major river||annonidium manni,annonidium manni,OMO_STR_0027,Annonidium manni,30.2,29.6,716.6,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,60.4,59.2,1433.2,2
CmP9,Core,Major River,Annonidium manni,1,annonidium manni,core,major river,core||major river||annonidium manni,annonidium manni,OMO_STR_0027,Annonidium manni,30.2,29.6,716.6,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,30.2,29.6,716.6,1
CuP2,Core,Upland,Annonidium manni,1,annonidium manni,core,upland,core||upland||annonidium manni,annonidium manni,OMO_STR_0052,Annonidium manni,20.4,20.9,326.9,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,20.4,20.9,326.9,1
