Plot_ID,Zone,Habitat,Canonical_Species,Abundance,Zone_Key_26b,Habitat_Key_26b,Community_Species_Key_26b,Alias_Lookup_Key,Alias_Type,Alias_Name,Resolved_Record_ID,Master_Species,Structural_Source_Species,Structural_Canonical_Species,Mean_DBH,Mean_Height,Basal_Area,Final_Linkage_Class,Structural_Integration_QC,Structural_Data_Available,Structurally_Represented_Individuals,DBH_Weighted_Contribution,Height_Weighted_Contribution,BA_Weighted_Contribution
CmP1,Core,Major River,Amphimas tetracoides,1,core,major river,amphimas tetracoides,core||major river||amphimas tetracoides,MASTER_SPECIES,Amphimas tetracoides,OMO_STR_0026,Amphimas tetracoides,Amphimas tetracoides,Amphimas tetracoides,21.4,22.1,359.8,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,1,21.4,22.1,359.8
CmP6,Core,Major River,Amphimas tetracoides,1,core,major river,amphimas tetracoides,core||major river||amphimas tetracoides,MASTER_SPECIES,Amphimas tetracoides,OMO_STR_0026,Amphimas tetracoides,Amphimas tetracoides,Amphimas tetracoides,21.4,22.1,359.8,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,1,21.4,22.1,359.8
CmP8,Core,Major River,Amphimas tetracoides,1,core,major river,amphimas tetracoides,core||major river||amphimas tetracoides,MASTER_SPECIES,Amphimas tetracoides,OMO_STR_0026,Amphimas tetracoides,Amphimas tetracoides,Amphimas tetracoides,21.4,22.1,359.8,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,1,21.4,22.1,359.8
CmP1,Core,Major River,Annonidium manni,2,core,major river,annonidium manni,core||major river||annonidium manni,MASTER_SPECIES,Annonidium manni,OMO_STR_0027,Annonidium manni,Annonidium manni,Annonidium manni,30.2,29.6,716.6,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,2,60.4,59.2,1433.2
CmP2,Core,Major River,Annonidium manni,2,core,major river,annonidium manni,core||major river||annonidium manni,MASTER_SPECIES,Annonidium manni,OMO_STR_0027,Annonidium manni,Annonidium manni,Annonidium manni,30.2,29.6,716.6,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,2,60.4,59.2,1433.2
CmP3,Core,Major River,Annonidium manni,1,core,major river,annonidium manni,core||major river||annonidium manni,MASTER_SPECIES,Annonidium manni,OMO_STR_0027,Annonidium manni,Annonidium manni,Annonidium manni,30.2,29.6,716.6,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,1,30.2,29.6,716.6
CmP6,Core,Major River,Annonidium manni,1,core,major river,annonidium manni,core||major river||annonidium manni,MASTER_SPECIES,Annonidium manni,OMO_STR_0027,Annonidium manni,Annonidium manni,Annonidium manni,30.2,29.6,716.6,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,1,30.2,29.6,716.6
CmP8,Core,Major River,Annonidium manni,2,core,major river,annonidium manni,core||major river||annonidium manni,MASTER_SPECIES,Annonidium manni,OMO_STR_0027,Annonidium manni,Annonidium manni,Annonidium manni,30.2,29.6,716.6,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,2,60.4,59.2,1433.2
CmP9,Core,Major River,Annonidium manni,1,core,major river,annonidium manni,core||major river||annonidium manni,MASTER_SPECIES,Annonidium manni,OMO_STR_0027,Annonidium manni,Annonidium manni,Annonidium manni,30.2,29.6,716.6,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,1,30.2,29.6,716.6
CuP2,Core,Upland,Annonidium manni,1,core,upland,annonidium manni,core||upland||annonidium manni,MASTER_SPECIES,Annonidium manni,OMO_STR_0052,Annonidium manni,Annonidium manni,Annonidium manni,20.4,20.9,326.9,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,1,20.4,20.9,326.9
CuP4,Core,Upland,Annonidium manni,2,core,upland,annonidium manni,core||upland||annonidium manni,MASTER_SPECIES,Annonidium manni,OMO_STR_0052,Annonidium manni,Annonidium manni,Annonidium manni,20.4,20.9,326.9,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,2,40.8,41.8,653.8
CuP8,Core,Upland,Annonidium manni,3,core,upland,annonidium manni,core||upland||annonidium manni,MASTER_SPECIES,Annonidium manni,OMO_STR_0052,Annonidium manni,Annonidium manni,Annonidium manni,20.4,20.9,326.9,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,3,61.199999999999996,62.699999999999996,980.6999999999999
CuP10,Core,Upland,Annonidium manni,1,core,upland,annonidium manni,core||upland||annonidium manni,MASTER_SPECIES,Annonidium manni,OMO_STR_0052,Annonidium manni,Annonidium manni,Annonidium manni,20.4,20.9,326.9,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,1,20.4,20.9,326.9
BuP4,Buffer,Upland,Annonidium manni,6,buffer,upland,annonidium manni,buffer||upland||annonidium manni,MASTER_SPECIES,Annonidium manni,OMO_STR_0136,Annonidium manni,Annonidium manni,Annonidium manni,23.2,24.0,422.9,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,6,139.2,144.0,2537.3999999999996
BuP5,Buffer,Upland,Annonidium manni,2,buffer,upland,annonidium manni,buffer||upland||annonidium manni,MASTER_SPECIES,Annonidium manni,OMO_STR_0136,Annonidium manni,Annonidium manni,Annonidium manni,23.2,24.0,422.9,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,2,46.4,48.0,845.8
BuP6,Buffer,Upland,Annonidium manni,2,buffer,upland,annonidium manni,buffer||upland||annonidium manni,MASTER_SPECIES,Annonidium manni,OMO_STR_0136,Annonidium manni,Annonidium manni,Annonidium manni,23.2,24.0,422.9,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,2,46.4,48.0,845.8
BuP7,Buffer,Upland,Annonidium manni,2,buffer,upland,annonidium manni,buffer||upland||annonidium manni,MASTER_SPECIES,Annonidium manni,OMO_STR_0136,Annonidium manni,Annonidium manni,Annonidium manni,23.2,24.0,422.9,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,2,46.4,48.0,845.8
BuP9,Buffer,Upland,Annonidium manni,1,buffer,upland,annonidium manni,buffer||upland||annonidium manni,MASTER_SPECIES,Annonidium manni,OMO_STR_0136,Annonidium manni,Annonidium manni,Annonidium manni,23.2,24.0,422.9,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,1,23.2,24.0,422.9
BuP10,Buffer,Upland,Annonidium manni,1,buffer,upland,annonidium manni,buffer||upland||annonidium manni,MASTER_SPECIES,Annonidium manni,OMO_STR_0136,Annonidium manni,Annonidium manni,Annonidium manni,23.2,24.0,422.9,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,1,23.2,24.0,422.9
CmP3,Core,Major River,Anthonotha macrophylla,1,core,major river,anthonotha macrophylla,core||major river||anthonotha macrophylla,MASTER_SPECIES,Anthonotha macrophylla,OMO_STR_0028,Anthonotha macrophylla,Anthonotha macrophylla,Anthonotha macrophylla,18.2,16.9,260.2,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,1,18.2,16.9,260.2
CmP7,Core,Major River,Anthonotha macrophylla,2,core,major river,anthonotha macrophylla,core||major river||anthonotha macrophylla,MASTER_SPECIES,Anthonotha macrophylla,OMO_STR_0028,Anthonotha macrophylla,Anthonotha macrophylla,Anthonotha macrophylla,18.2,16.9,260.2,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,2,36.4,33.8,520.4
CmP9,Core,Major River,Anthonotha macrophylla,2,core,major river,anthonotha macrophylla,core||major river||anthonotha macrophylla,MASTER_SPECIES,Anthonotha macrophylla,OMO_STR_0028,Anthonotha macrophylla,Anthonotha macrophylla,Anthonotha macrophylla,18.2,16.9,260.2,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,2,36.4,33.8,520.4
CmP2,Core,Major River,Blighia sapida,1,core,major river,blighia sapida,core||major river||blighia sapida,MASTER_SPECIES,Blighia Sapida,OMO_STR_0029,Blighia Sapida,Blighia Sapida,Blighia sapida,20.2,24.25,320.6,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,1,20.2,24.25,320.6
CmP9,Core,Major River,Blighia sapida,1,core,major river,blighia sapida,core||major river||blighia sapida,MASTER_SPECIES,Blighia Sapida,OMO_STR_0029,Blighia Sapida,Blighia Sapida,Blighia sapida,20.2,24.25,320.6,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,1,20.2,24.25,320.6
CsP1,Core,Stream,Blighia sapida,2,core,stream,blighia sapida,core||stream||blighia sapida,MASTER_SPECIES,Blighia sapida,OMO_STR_0002,Blighia sapida,Blighia sapida,Blighia sapida,33.4,35.2,876.51,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,2,66.8,70.4,1753.02
CsP3,Core,Stream,Blighia sapida,1,core,stream,blighia sapida,core||stream||blighia sapida,MASTER_SPECIES,Blighia sapida,OMO_STR_0002,Blighia sapida,Blighia sapida,Blighia sapida,33.4,35.2,876.51,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,1,33.4,35.2,876.51
CsP4,Core,Stream,Blighia sapida,1,core,stream,blighia sapida,core||stream||blighia sapida,MASTER_SPECIES,Blighia sapida,OMO_STR_0002,Blighia sapida,Blighia sapida,Blighia sapida,33.4,35.2,876.51,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,1,33.4,35.2,876.51
CsP6,Core,Stream,Blighia sapida,1,core,stream,blighia sapida,core||stream||blighia sapida,MASTER_SPECIES,Blighia sapida,OMO_STR_0002,Blighia sapida,Blighia sapida,Blighia sapida,33.4,35.2,876.51,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,1,33.4,35.2,876.51
CsP7,Core,Stream,Blighia sapida,1,core,stream,blighia sapida,core||stream||blighia sapida,MASTER_SPECIES,Blighia sapida,OMO_STR_0002,Blighia sapida,Blighia sapida,Blighia sapida,33.4,35.2,876.51,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,1,33.4,35.2,876.51
CsP10,Core,Stream,Blighia sapida,1,core,stream,blighia sapida,core||stream||blighia sapida,MASTER_SPECIES,Blighia sapida,OMO_STR_0002,Blighia sapida,Blighia sapida,Blighia sapida,33.4,35.2,876.51,EXACT_NORMALIZED_SOURCE_KEY,BASELINE_ACCEPTED,True,1,33.4,35.2,876.51
