Plot_ID,Zone,Habitat,Plot_Abundance,Structural_Abundance,DBH_Weighted_Sum,Height_Weighted_Sum,BA_Weighted_Sum,Structural_Coverage_Percent,Estimated_Mean_DBH,Estimated_Mean_Height,Estimated_Mean_Basal_Area_Contribution,Structural_Coverage_Class
BmP1,Buffer,Major River,21,18,487.1,463.6,11171.9,85.71428571428571,27.061111111111114,25.755555555555556,620.661111111111,MODERATE_75_90
BmP10,Buffer,Major River,20,12,328.3,319.2,7548.0,60.0,27.358333333333334,26.599999999999998,629.0,LOW_<75
BmP2,Buffer,Major River,17,13,368.4,362.1,9084.04,76.47058823529412,28.338461538461537,27.853846153846156,698.7723076923078,MODERATE_75_90
BmP3,Buffer,Major River,23,17,553.0,513.8,18312.1,73.91304347826087,32.529411764705884,30.2235294117647,1077.1823529411763,LOW_<75
BmP4,Buffer,Major River,18,13,376.6,385.2,9764.3,72.22222222222223,28.96923076923077,29.63076923076923,751.0999999999999,LOW_<75
BmP5,Buffer,Major River,6,4,121.3,111.6,3042.5,66.66666666666667,30.325,27.9,760.625,LOW_<75
BmP6,Buffer,Major River,28,19,538.7,511.4,13301.3,67.85714285714286,28.35263157894737,26.91578947368421,700.0684210526315,LOW_<75
BmP7,Buffer,Major River,14,9,286.1,274.7,8430.7,64.28571428571429,31.78888888888889,30.522222222222222,936.7444444444445,LOW_<75
BmP8,Buffer,Major River,17,14,379.9,375.5,8710.94,82.3529411764706,27.135714285714283,26.821428571428573,622.21,MODERATE_75_90
BmP9,Buffer,Major River,16,11,331.5,314.3,8802.2,68.75,30.136363636363637,28.572727272727274,800.2,LOW_<75
BsP1,Buffer,Stream,27,27,784.6999999999999,787.6999999999999,18935.8,100.0,29.06296296296296,29.17407407407407,701.3259259259258,VERY_HIGH_>=99
BsP10,Buffer,Stream,24,23,710.55,703.5,18318.8,95.83333333333333,30.893478260869564,30.58695652173913,796.4695652173913,HIGH_95_99
BsP2,Buffer,Stream,20,20,581.2,577.1,14191.5,100.0,29.060000000000002,28.855,709.575,VERY_HIGH_>=99
BsP3,Buffer,Stream,18,18,511.7,536.0,12168.4,100.0,28.427777777777777,29.77777777777778,676.0222222222222,VERY_HIGH_>=99
BsP4,Buffer,Stream,36,36,1244.4,1225.6,35618.3,100.0,34.56666666666667,34.044444444444444,989.3972222222224,VERY_HIGH_>=99
