Plot_ID,Zone,Habitat,Plot_Abundance,Structural_Abundance,DBH_Weighted_Sum,Height_Weighted_Sum,BA_Weighted_Sum,Structural_Coverage_Percent,Estimated_Mean_DBH,Estimated_Mean_Height,Estimated_Mean_Basal_Area_Contribution,Structural_Coverage_Class,Primary_Structural_Eligible,Sensitivity_Structural_Eligible,Structural_Analysis_Tier,Use_Primary_Association,Use_Factorial_Structural,Use_Full_Descriptive,Structural_Use_Class
BmP1,Buffer,Major River,21,21,586.0,555.6,13889.5,100.0,27.904761904761905,26.45714285714286,661.4047619047619,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BmP10,Buffer,Major River,20,14,400.0,387.0,9684.3,70.0,28.571428571428573,27.642857142857142,691.7357142857143,LOW_<75,False,False,DESCRIPTIVE_<75,False,False,True,FULL_DESCRIPTIVE_ONLY
BmP2,Buffer,Major River,17,13,368.4,362.1,9084.04,76.47058823529412,28.338461538461537,27.853846153846156,698.7723076923078,MODERATE_75_90,False,True,SENSITIVITY_75_90,False,True,True,FACTORIAL_STRUCTURAL_SET_ONLY
BmP3,Buffer,Major River,23,18,580.2,538.0,18893.4,78.26086956521739,32.233333333333334,29.88888888888889,1049.6333333333334,MODERATE_75_90,False,True,SENSITIVITY_75_90,False,True,True,FACTORIAL_STRUCTURAL_SET_ONLY
BmP4,Buffer,Major River,18,16,477.6,477.8,12483.6,88.88888888888889,29.85,29.8625,780.225,MODERATE_75_90,False,True,SENSITIVITY_75_90,False,True,True,FACTORIAL_STRUCTURAL_SET_ONLY
BmP5,Buffer,Major River,6,5,158.2,145.8,4111.5,83.33333333333333,31.639999999999997,29.160000000000004,822.3,MODERATE_75_90,False,True,SENSITIVITY_75_90,False,True,True,FACTORIAL_STRUCTURAL_SET_ONLY
BmP6,Buffer,Major River,28,22,657.0,623.4,16994.3,78.57142857142857,29.863636363636363,28.336363636363636,772.4681818181817,MODERATE_75_90,False,True,SENSITIVITY_75_90,False,True,True,FACTORIAL_STRUCTURAL_SET_ONLY
BmP7,Buffer,Major River,14,11,350.2,333.1,10081.0,78.57142857142857,31.836363636363636,30.281818181818185,916.4545454545455,MODERATE_75_90,False,True,SENSITIVITY_75_90,False,True,True,FACTORIAL_STRUCTURAL_SET_ONLY
BmP8,Buffer,Major River,17,14,379.9,375.5,8710.94,82.3529411764706,27.135714285714283,26.821428571428573,622.21,MODERATE_75_90,False,True,SENSITIVITY_75_90,False,True,True,FACTORIAL_STRUCTURAL_SET_ONLY
BmP9,Buffer,Major River,16,13,395.6,372.7,10452.5,81.25,30.430769230769233,28.66923076923077,804.0384615384615,MODERATE_75_90,False,True,SENSITIVITY_75_90,False,True,True,FACTORIAL_STRUCTURAL_SET_ONLY
BsP1,Buffer,Stream,27,27,784.6999999999999,787.6999999999999,18935.8,100.0,29.06296296296296,29.17407407407407,701.3259259259258,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP10,Buffer,Stream,24,24,726.45,717.8,18517.4,100.0,30.26875,29.90833333333333,771.5583333333334,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP2,Buffer,Stream,20,20,581.2,577.1,14191.5,100.0,29.060000000000002,28.855,709.575,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP3,Buffer,Stream,18,18,511.7,536.0,12168.4,100.0,28.427777777777777,29.77777777777778,676.0222222222222,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP4,Buffer,Stream,36,36,1244.4,1225.6,35618.3,100.0,34.56666666666667,34.044444444444444,989.3972222222224,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP5,Buffer,Stream,20,19,631.05,579.3,18046.2,95.0,33.21315789473684,30.489473684210523,949.8000000000001,HIGH_95_99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP6,Buffer,Stream,20,20,538.9,547.7,12146.1,100.0,26.945,27.385,607.3050000000001,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP7,Buffer,Stream,18,17,544.4,546.6,14488.0,94.44444444444444,32.023529411764706,32.15294117647059,852.2352941176471,GOOD_90_95,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP8,Buffer,Stream,19,18,553.6,550.5,14415.7,94.73684210526316,30.755555555555556,30.583333333333332,800.8722222222223,GOOD_90_95,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP9,Buffer,Stream,23,22,660.1,654.9,17606.57,95.65217391304348,30.004545454545454,29.768181818181816,800.2986363636363,HIGH_95_99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BuP1,Buffer,Upland,7,7,183.46,217.5,4402.6,100.0,26.208571428571428,31.071428571428573,628.9428571428572,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BuP10,Buffer,Upland,24,17,458.55,473.2,10602.199999999999,70.83333333333333,26.973529411764705,27.83529411764706,623.6588235294117,LOW_<75,False,False,DESCRIPTIVE_<75,False,False,True,FULL_DESCRIPTIVE_ONLY
BuP2,Buffer,Upland,15,12,340.34999999999997,350.3,8250.1,80.0,28.362499999999997,29.191666666666666,687.5083333333333,MODERATE_75_90,False,True,SENSITIVITY_75_90,False,True,True,FACTORIAL_STRUCTURAL_SET_ONLY
BuP3,Buffer,Upland,22,19,483.59999999999997,501.4,10654.4,86.36363636363636,25.452631578947365,26.389473684210525,560.7578947368421,MODERATE_75_90,False,True,SENSITIVITY_75_90,False,True,True,FACTORIAL_STRUCTURAL_SET_ONLY
BuP4,Buffer,Upland,51,39,1027.2,1141.1,22202.0,76.47058823529412,26.33846153846154,29.258974358974356,569.2820512820513,MODERATE_75_90,False,True,SENSITIVITY_75_90,False,True,True,FACTORIAL_STRUCTURAL_SET_ONLY
BuP5,Buffer,Upland,30,19,394.86,435.29999999999995,6997.3,63.333333333333336,20.782105263157895,22.910526315789472,368.2789473684211,LOW_<75,False,False,DESCRIPTIVE_<75,False,False,True,FULL_DESCRIPTIVE_ONLY
BuP6,Buffer,Upland,18,14,400.9,420.6,9591.0,77.77777777777777,28.635714285714283,30.042857142857144,685.0714285714286,MODERATE_75_90,False,True,SENSITIVITY_75_90,False,True,True,FACTORIAL_STRUCTURAL_SET_ONLY
BuP7,Buffer,Upland,17,17,473.34999999999997,496.1,11583.0,100.0,27.844117647058823,29.18235294117647,681.3529411764706,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BuP8,Buffer,Upland,25,19,548.06,591.7,13928.9,76.0,28.845263157894735,31.142105263157898,733.1,MODERATE_75_90,False,True,SENSITIVITY_75_90,False,True,True,FACTORIAL_STRUCTURAL_SET_ONLY
BuP9,Buffer,Upland,20,18,455.21,508.2,9345.4,90.0,25.28944444444444,28.233333333333334,519.1888888888889,GOOD_90_95,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
CmP1,Core,Major River,27,21,574.6,563.42,13424.9,77.77777777777777,27.361904761904764,26.829523809523806,639.2809523809524,MODERATE_75_90,False,True,SENSITIVITY_75_90,False,True,True,FACTORIAL_STRUCTURAL_SET_ONLY
