Zone,Habitat,N,Mean,SD,Median,Q1,Q3,Minimum,Maximum,Variable,Domain,Analysis_Dataset,IQR
Buffer,Major River,10,10.3,2.626785107312739,10.0,10.0,11.0,5.0,14.0,Richness,TAXONOMIC_DIVERSITY,FULL_BACKBONE,1.0
Buffer,Stream,10,10.9,3.212821536005731,11.5,8.0,13.0,7.0,16.0,Richness,TAXONOMIC_DIVERSITY,FULL_BACKBONE,5.0
Buffer,Upland,10,11.6,2.590581230363393,11.5,10.25,13.0,7.0,16.0,Richness,TAXONOMIC_DIVERSITY,FULL_BACKBONE,2.75
Core,Major River,10,12.2,2.5298221281347035,12.5,11.25,13.0,7.0,16.0,Richness,TAXONOMIC_DIVERSITY,FULL_BACKBONE,1.75
Core,Stream,10,9.8,3.155242550986462,10.0,7.5,11.75,5.0,15.0,Richness,TAXONOMIC_DIVERSITY,FULL_BACKBONE,4.25
Core,Upland,10,10.8,2.250925735484551,10.5,10.0,12.75,7.0,14.0,Richness,TAXONOMIC_DIVERSITY,FULL_BACKBONE,2.75
Transition,Major River,10,8.1,2.9230881691191666,8.0,6.25,9.75,4.0,14.0,Richness,TAXONOMIC_DIVERSITY,FULL_BACKBONE,3.5
Transition,Stream,10,6.4,2.118699810942761,7.0,4.75,7.0,3.0,10.0,Richness,TAXONOMIC_DIVERSITY,FULL_BACKBONE,2.25
Transition,Upland,10,5.0,1.6996731711975948,5.0,4.25,6.0,2.0,8.0,Richness,TAXONOMIC_DIVERSITY,FULL_BACKBONE,1.75
Buffer,Major River,10,0.9319000000000001,0.030005369889775084,0.929,0.91,0.9555,0.891,0.973,Pielou,TAXONOMIC_DIVERSITY,FULL_BACKBONE,0.045499999999999985
Buffer,Stream,10,0.8855999999999999,0.07753737450058801,0.8885000000000001,0.846,0.95675,0.768,0.973,Pielou,TAXONOMIC_DIVERSITY,FULL_BACKBONE,0.11075000000000002
Buffer,Upland,10,0.9119999999999999,0.06558963332722632,0.925,0.85525,0.963,0.806,1.0,Pielou,TAXONOMIC_DIVERSITY,FULL_BACKBONE,0.10775000000000001
Core,Major River,10,0.8995,0.032999158238422456,0.887,0.8714999999999999,0.93425,0.865,0.944,Pielou,TAXONOMIC_DIVERSITY,FULL_BACKBONE,0.06275000000000008
