Variable,Domain,Analysis_Dataset,N,Effect,Term,Classical_SS,Classical_df,Classical_F,Classical_p,Partial_Eta_Squared,Effect_Size_Class,Robust_F,Robust_df_num,Robust_df_denom,Robust_p,Primary_Strategy,Primary_Test,Primary_p,Classical_Robust_Agreement,Primary_q_BH_All30,Primary_q_BH_WithinEffect,Primary_Significant_Raw,Primary_Significant_FDR,Inferential_Result
Richness,TAXONOMIC_DIVERSITY,FULL_BACKBONE,90,ZONE,"C(Zone, Sum)",393.08888888888754,2.0,28.86690843155022,3.4297203071340456e-10,0.41614811852304856,LARGE,29.236562289238503,2.0,81.0,2.765519873130962e-10,STANDARD_FACTORIAL_MODEL,CLASSICAL_TYPE_III,3.4297203071340456e-10,True,2.0578321842804276e-09,1.1432401023780153e-09,True,True,FDR_SIGNIFICANT
Richness,TAXONOMIC_DIVERSITY,FULL_BACKBONE,90,HABITAT,"C(Habitat, Sum)",25.08888888888886,2.0,1.8424297370806868,0.16500972141989792,0.043512612491087385,SMALL,1.5993182295198154,2.0,81.0,0.20834754983210907,STANDARD_FACTORIAL_MODEL,CLASSICAL_TYPE_III,0.16500972141989792,True,0.24751458212984687,0.235728173456997,False,False,NO_STRONG_EFFECT
Richness,TAXONOMIC_DIVERSITY,FULL_BACKBONE,90,ZONE_X_HABITAT,"C(Zone, Sum):C(Habitat, Sum)",60.6444444444446,4.0,2.226745240253859,0.07329021946975281,0.09906884722197035,MEDIUM,2.227168586515112,4.0,81.0,0.07324437573620052,STANDARD_FACTORIAL_MODEL,CLASSICAL_TYPE_III,0.07329021946975281,True,0.12933568141721083,0.091612774337191,False,False,NON_SIGNIFICANT_MEDIUM_EFFECT
Pielou,TAXONOMIC_DIVERSITY,FULL_BACKBONE,90,ZONE,"C(Zone, Sum)",0.004057088888888686,2.0,0.8071052450609183,0.44970282151116003,0.019539138370327308,SMALL,1.0612468415582346,2.0,81.0,0.35078534227244407,FACTORIAL_MODEL_WITH_ROBUST_INFERENCE,HC3_ROBUST_F,0.35078534227244407,True,0.45754609861623136,0.5011219175320629,False,False,NO_STRONG_EFFECT
Pielou,TAXONOMIC_DIVERSITY,FULL_BACKBONE,90,HABITAT,"C(Habitat, Sum)",0.00966375555555552,2.0,1.9224789028499507,0.1528581941643616,0.045317457927259365,SMALL,2.155613629348148,2.0,81.0,0.12243133501354277,FACTORIAL_MODEL_WITH_ROBUST_INFERENCE,HC3_ROBUST_F,0.12243133501354277,True,0.1933126342319096,0.20405222502257128,False,False,NO_STRONG_EFFECT
Pielou,TAXONOMIC_DIVERSITY,FULL_BACKBONE,90,ZONE_X_HABITAT,"C(Zone, Sum):C(Habitat, Sum)",0.07793577777777767,4.0,7.752156379247667,2.4307950697628832e-05,0.2768414072922174,LARGE,10.069869811581366,4.0,81.0,1.1485548689897617e-06,FACTORIAL_MODEL_WITH_ROBUST_INFERENCE,HC3_ROBUST_F,1.1485548689897617e-06,True,3.828516229965873e-06,5.742774344948809e-06,True,True,FDR_SIGNIFICANT
CWM_WD,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,90,ZONE,"C(Zone, Sum)",0.509954560083914,2.0,129.97427471819586,5.244993541978861e-26,0.7624274978324506,LARGE,137.03546081487315,2.0,81.0,1.0136345716847686e-26,STANDARD_FACTORIAL_MODEL,CLASSICAL_TYPE_III,5.244993541978861e-26,True,1.5734980625936584e-24,5.244993541978861e-25,True,True,FDR_SIGNIFICANT
CWM_WD,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,90,HABITAT,"C(Habitat, Sum)",0.10896452830038389,2.0,27.77225000894637,6.53187247348561e-10,0.40678679852073285,LARGE,23.868719636924617,2.0,81.0,7.089182874246656e-09,STANDARD_FACTORIAL_MODEL,CLASSICAL_TYPE_III,6.53187247348561e-10,True,3.2659362367428053e-09,2.1772908244952034e-09,True,True,FDR_SIGNIFICANT
CWM_WD,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,90,ZONE_X_HABITAT,"C(Zone, Sum):C(Habitat, Sum)",0.029529305729128277,4.0,3.763129497698534,0.007381378271941998,0.15671133152633024,LARGE,3.4612579814255726,4.0,81.0,0.011591941869191824,STANDARD_FACTORIAL_MODEL,CLASSICAL_TYPE_III,0.007381378271941998,True,0.013966046221630009,0.010640797121241911,True,True,FDR_SIGNIFICANT
CWM_SLA,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,90,ZONE,"C(Zone, Sum)",274.82176623715293,2.0,33.781448344366865,2.1442416947472776e-11,0.45477638222341804,LARGE,24.42363431726499,2.0,81.0,5.007421065122551e-09,STANDARD_FACTORIAL_MODEL,CLASSICAL_TYPE_III,2.1442416947472776e-11,True,1.6081812710604583e-10,1.0721208473736388e-10,True,True,FDR_SIGNIFICANT
CWM_SLA,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,90,HABITAT,"C(Habitat, Sum)",7.3884867682497335,2.0,0.9082023870310316,0.4073147700772941,0.02193291026116794,SMALL,0.8525214975011948,2.0,81.0,0.4301278849305361,STANDARD_FACTORIAL_MODEL,CLASSICAL_TYPE_III,0.4073147700772941,True,0.5091434625966177,0.5091434625966176,False,False,NO_STRONG_EFFECT
CWM_SLA,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,90,ZONE_X_HABITAT,"C(Zone, Sum):C(Habitat, Sum)",18.78037128940512,4.0,1.1542538120026498,0.33723715736417575,0.0539263747356327,SMALL,1.1948356401947249,4.0,81.0,0.31944641043490984,STANDARD_FACTORIAL_MODEL,CLASSICAL_TYPE_III,0.33723715736417575,True,0.45754609861623136,0.37470795262686196,False,False,NO_STRONG_EFFECT
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,90,ZONE,"C(Zone, Sum)",1.7953394775465568,2.0,7.855783349132424,0.0007616707952136218,0.1624579896144598,LARGE,5.7459928476945015,2.0,81.0,0.004639028911607991,FACTORIAL_MODEL_WITH_ROBUST_INFERENCE,HC3_ROBUST_F,0.004639028911607991,True,0.01070545133447998,0.009278057823215983,True,True,FDR_SIGNIFICANT
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,90,HABITAT,"C(Habitat, Sum)",1.698544005177778,2.0,7.432239908119698,0.0010876911717827482,0.1550572208260328,LARGE,5.825888880790567,2.0,81.0,0.004325796797036928,FACTORIAL_MODEL_WITH_ROBUST_INFERENCE,HC3_ROBUST_F,0.004325796797036928,True,0.01070545133447998,0.01081449199259232,True,True,FDR_SIGNIFICANT
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,90,ZONE_X_HABITAT,"C(Zone, Sum):C(Habitat, Sum)",1.4935541296026709,4.0,3.2676376276186385,0.015491786751974532,0.13894412692970448,MEDIUM,3.757061279793878,4.0,81.0,0.007448557984869338,FACTORIAL_MODEL_WITH_ROBUST_INFERENCE,HC3_ROBUST_F,0.007448557984869338,True,0.013966046221630009,0.010640797121241911,True,True,FDR_SIGNIFICANT
CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,90,ZONE,"C(Zone, Sum)",27.56049658638661,2.0,0.8066023488008003,0.4499246125514397,0.019527201535233924,SMALL,1.464525854376805,2.0,81.0,0.23724357503736232,FACTORIAL_MODEL_WITH_ROBUST_INFERENCE,HC3_ROBUST_F,0.23724357503736232,True,0.3389193929105176,0.39540595839560383,False,False,NO_STRONG_EFFECT
CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,90,HABITAT,"C(Habitat, Sum)",86.50948350951231,2.0,2.5318394526600674,0.08579007469371275,0.05883642170224629,SMALL,2.2851894956377383,2.0,81.0,0.10827877093448882,FACTORIAL_MODEL_WITH_ROBUST_INFERENCE,HC3_ROBUST_F,0.10827877093448882,True,0.18046461822414803,0.20405222502257128,False,False,NO_STRONG_EFFECT
CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,90,ZONE_X_HABITAT,"C(Zone, Sum):C(Habitat, Sum)",426.11848497302867,4.0,6.235522095353982,0.00019998669042272106,0.2354313452045486,LARGE,3.9027177499385326,4.0,81.0,0.0059938132630438954,FACTORIAL_MODEL_WITH_ROBUST_INFERENCE,HC3_ROBUST_F,0.0059938132630438954,True,0.01284388556366549,0.010640797121241911,True,True,FDR_SIGNIFICANT
