Variable,Domain,Analysis_Dataset,N,Effect,Term,Classical_SS,Classical_df,Classical_F,Classical_p,Partial_Eta_Squared,Effect_Size_Class,Robust_F,Robust_df_num,Robust_df_denom,Robust_p,Primary_Strategy,Primary_Test,Primary_p,Classical_Robust_Agreement,Primary_q_BH_All30,Primary_q_BH_WithinEffect,Primary_Significant_Raw,Primary_Significant_FDR,Inferential_Result
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,83,HABITAT,"C(Habitat, Sum)",899.2177474509244,2.0,17.151207574723692,7.585118913597806e-07,0.31672807205742554,LARGE,49.21425653654174,2.0,74.0,2.5529220546942416e-14,ROBUST_OR_TRANSFORMATION_SENSITIVITY,HC3_ROBUST_F,2.5529220546942416e-14,True,3.8293830820413626e-13,2.5529220546942416e-13,True,True,FDR_SIGNIFICANT
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,83,HABITAT,"C(Habitat, Sum)",604.9471205865825,2.0,61.008687254933605,2.2216447686223e-16,0.6224824448086108,LARGE,42.62373311292505,2.0,74.0,4.840497294292187e-13,FACTORIAL_MODEL_PLUS_SENSITIVITY,HC3_ROBUST_F,4.840497294292187e-13,True,4.840497294292187e-12,2.420248647146094e-12,True,True,FDR_SIGNIFICANT
CWM_WD,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,90,HABITAT,"C(Habitat, Sum)",0.10896452830038389,2.0,27.77225000894637,6.53187247348561e-10,0.40678679852073285,LARGE,23.868719636924617,2.0,81.0,7.089182874246656e-09,STANDARD_FACTORIAL_MODEL,CLASSICAL_TYPE_III,6.53187247348561e-10,True,3.2659362367428053e-09,2.1772908244952034e-09,True,True,FDR_SIGNIFICANT
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,90,HABITAT,"C(Habitat, Sum)",1.698544005177778,2.0,7.432239908119698,0.0010876911717827482,0.1550572208260328,LARGE,5.825888880790567,2.0,81.0,0.004325796797036928,FACTORIAL_MODEL_WITH_ROBUST_INFERENCE,HC3_ROBUST_F,0.004325796797036928,True,0.01070545133447998,0.01081449199259232,True,True,FDR_SIGNIFICANT
CWM_WD,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,90,ZONE,"C(Zone, Sum)",0.509954560083914,2.0,129.97427471819586,5.244993541978861e-26,0.7624274978324506,LARGE,137.03546081487315,2.0,81.0,1.0136345716847686e-26,STANDARD_FACTORIAL_MODEL,CLASSICAL_TYPE_III,5.244993541978861e-26,True,1.5734980625936584e-24,5.244993541978861e-25,True,True,FDR_SIGNIFICANT
CWM_SLA,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,90,ZONE,"C(Zone, Sum)",274.82176623715293,2.0,33.781448344366865,2.1442416947472776e-11,0.45477638222341804,LARGE,24.42363431726499,2.0,81.0,5.007421065122551e-09,STANDARD_FACTORIAL_MODEL,CLASSICAL_TYPE_III,2.1442416947472776e-11,True,1.6081812710604583e-10,1.0721208473736388e-10,True,True,FDR_SIGNIFICANT
Richness,TAXONOMIC_DIVERSITY,FULL_BACKBONE,90,ZONE,"C(Zone, Sum)",393.08888888888754,2.0,28.86690843155022,3.4297203071340456e-10,0.41614811852304856,LARGE,29.236562289238503,2.0,81.0,2.765519873130962e-10,STANDARD_FACTORIAL_MODEL,CLASSICAL_TYPE_III,3.4297203071340456e-10,True,2.0578321842804276e-09,1.1432401023780153e-09,True,True,FDR_SIGNIFICANT
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,83,ZONE,"C(Zone, Sum)",225.2910471975758,2.0,22.72051650809732,2.0271797018897427e-08,0.3804474213650968,LARGE,19.1940166750107,2.0,74.0,1.9272185987710115e-07,FACTORIAL_MODEL_PLUS_SENSITIVITY,HC3_ROBUST_F,1.9272185987710115e-07,True,7.227069745391293e-07,4.818046496927529e-07,True,True,FDR_SIGNIFICANT
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,90,ZONE,"C(Zone, Sum)",1.7953394775465568,2.0,7.855783349132424,0.0007616707952136218,0.1624579896144598,LARGE,5.7459928476945015,2.0,81.0,0.004639028911607991,FACTORIAL_MODEL_WITH_ROBUST_INFERENCE,HC3_ROBUST_F,0.004639028911607991,True,0.01070545133447998,0.009278057823215983,True,True,FDR_SIGNIFICANT
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,83,ZONE_X_HABITAT,"C(Zone, Sum):C(Habitat, Sum)",463.4077630445245,4.0,23.367248413115952,1.6273181890983302e-12,0.558127159027618,LARGE,15.595855027670487,4.0,74.0,2.684331642149154e-09,FACTORIAL_MODEL_PLUS_SENSITIVITY,HC3_ROBUST_F,2.684331642149154e-09,True,1.1504278466353518e-08,2.684331642149154e-08,True,True,FDR_SIGNIFICANT
Pielou,TAXONOMIC_DIVERSITY,FULL_BACKBONE,90,ZONE_X_HABITAT,"C(Zone, Sum):C(Habitat, Sum)",0.07793577777777767,4.0,7.752156379247667,2.4307950697628832e-05,0.2768414072922174,LARGE,10.069869811581366,4.0,81.0,1.1485548689897617e-06,FACTORIAL_MODEL_WITH_ROBUST_INFERENCE,HC3_ROBUST_F,1.1485548689897617e-06,True,3.828516229965873e-06,5.742774344948809e-06,True,True,FDR_SIGNIFICANT
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,83,ZONE_X_HABITAT,"C(Zone, Sum):C(Habitat, Sum)",1013.9065784770959,4.0,9.669361085306877,2.400728514917664e-06,0.34325809009386477,LARGE,9.79318252605163,4.0,74.0,2.056947715095501e-06,ROBUST_OR_TRANSFORMATION_SENSITIVITY,HC3_ROBUST_F,2.056947715095501e-06,True,6.1708431452865025e-06,6.85649238365167e-06,True,True,FDR_SIGNIFICANT
FDis,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,90,ZONE_X_HABITAT,"C(Zone, Sum):C(Habitat, Sum)",0.48045334177952165,4.0,1.4777157220803567,0.21661466295556447,0.06801063402070645,MEDIUM,4.701958103012643,4.0,81.0,0.0018347600783392747,FACTORIAL_MODEL_WITH_ROBUST_INFERENCE,HC3_ROBUST_F,0.0018347600783392747,False,0.005003891122743477,0.004586900195848186,True,True,FDR_SIGNIFICANT
CWM_WD,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,90,ZONE_X_HABITAT,"C(Zone, Sum):C(Habitat, Sum)",0.029529305729128277,4.0,3.763129497698534,0.007381378271941998,0.15671133152633024,LARGE,3.4612579814255726,4.0,81.0,0.011591941869191824,STANDARD_FACTORIAL_MODEL,CLASSICAL_TYPE_III,0.007381378271941998,True,0.013966046221630009,0.010640797121241911,True,True,FDR_SIGNIFICANT
