Variable,Domain,Zone,Habitat,EMM,SE,CI95_Lower,CI95_Upper,Inference_Type
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,Core,Major River,2.4086589377270236,0.04275072387993694,2.3235984071052305,2.4937194683488166,HC3
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,Core,Stream,2.0736074546779384,0.10986226935353456,1.8550159998812723,2.2921989094746045,HC3
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,Core,Upland,2.140360395216762,0.0349652385005576,2.0707905383757934,2.20993025205773,HC3
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,Buffer,Major River,2.076960647171263,0.09699769401531202,1.8839656619821392,2.2699556323603867,HC3
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,Buffer,Stream,1.9579969088729163,0.14519095242131524,1.6691124565505435,2.246881361195289,HC3
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,Buffer,Upland,2.0973650267291237,0.041377853763641496,2.0150360770016067,2.1796939764566408,HC3
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,Transition,Major River,2.4144232106568455,0.1654166251262516,2.085296013970745,2.743550407342946,HC3
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,Transition,Stream,2.0282930652435134,0.13878219867111788,1.7521600226083114,2.304426107878715,HC3
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,Transition,Upland,2.7269730929069187,0.14256397301603022,2.4433155055792444,3.010630680234593,HC3
CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,Core,Major River,25.32860255422713,0.7643588179878605,23.807768267862997,26.84943684059126,HC3
CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,Core,Stream,24.470952058472943,1.0854804358631418,22.311186480856012,26.630717636089873,HC3
CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,Core,Upland,26.570083635782197,0.8073539278132869,24.96370256742289,28.176464704141505,HC3
CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,Buffer,Major River,22.715243375260687,0.757273498817598,21.208506651546955,24.22198009897442,HC3
CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,Buffer,Stream,25.041458973369092,1.215379670545447,22.623234665077263,27.459683281660922,HC3
CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,Buffer,Upland,24.734199578941197,0.884617484828328,22.974088267887428,26.494310889994967,HC3
CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,Transition,Major River,27.097196859919773,2.156494278856566,22.806449686665808,31.38794403317374,HC3
CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,Transition,Stream,28.6802325147437,1.4030772103590377,25.88854897853826,31.47191605094914,HC3
CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,Transition,Upland,19.710563209345242,2.284235067660361,15.165651935660769,24.255474483029715,HC3
CWM_SLA,FUNCTIONAL_COMPOSITION,Core,Major River,12.605436407219313,0.6377807877674905,11.336452696434769,13.874420118003858,CLASSICAL
CWM_SLA,FUNCTIONAL_COMPOSITION,Core,Stream,13.994407009383956,0.6377807877674909,12.72542329859941,15.263390720168502,CLASSICAL
CWM_SLA,FUNCTIONAL_COMPOSITION,Core,Upland,11.760580011429298,0.6377807877674909,10.491596300644751,13.029563722213844,CLASSICAL
