Variable,Domain,Contrast_Family,Conditioning_Level,Level_1,Level_2,Contrast,Estimate,SE,Statistic,df,p,CI95_Lower,CI95_Upper,Inference_Type,q_BH,Significant_FDR,Direction
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,HABITAT_WITHIN_ZONE,Core,Major River,Upland,Major River - Upland,0.26829854251026164,0.05522854602159546,4.857968602058645,81.0,5.699932458077725e-06,0.15841105982668302,0.37818602519384026,HC3,5.129939212269952e-05,True,LEVEL_1_HIGHER
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,HABITAT_WITHIN_ZONE,Transition,Stream,Upland,Stream - Upland,-0.6986800276634045,0.1989597574136665,-3.5116650560180687,81.0,0.0007309531975910413,-1.09454753590768,-0.30281251941912923,HC3,0.0032892893891596857,True,LEVEL_2_HIGHER
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,HABITAT_WITHIN_ZONE,Core,Major River,Stream,Major River - Stream,0.3350514830490854,0.11788699088435158,2.8421412789963783,81.0,0.005668100624664521,0.10049334957300252,0.5696096165251683,HC3,0.017004301873993564,True,LEVEL_1_HIGHER
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,ZONE_WITHIN_HABITAT,Upland,Buffer,Transition,Buffer - Transition,-0.629608066177795,0.14844734145211458,-4.241288931273255,81.0,5.862210934409449e-05,-0.9249717112186042,-0.33424442113698566,HC3,0.0005275989840968504,True,LEVEL_2_HIGHER
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,ZONE_WITHIN_HABITAT,Upland,Core,Transition,Core - Transition,-0.5866126976901562,0.14678914914092345,-3.9962946929202827,81.0,0.00014104683297617578,-0.8786770601677272,-0.29454833521258533,HC3,0.000634710748392791,True,LEVEL_2_HIGHER
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,ZONE_WITHIN_HABITAT,Major River,Core,Buffer,Core - Buffer,0.3316982905557608,0.10600083507476113,3.129204504113745,81.0,0.0024367717889054725,0.12078987873249783,0.5426067023790238,HC3,0.007310315366716418,True,LEVEL_1_HIGHER
CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,HABITAT_WITHIN_ZONE,Transition,Stream,Upland,Stream - Upland,8.969669305398458,2.6807378653195904,3.345970309681554,81.0,0.0012448125421574403,3.635841837999018,14.3034967727979,HC3,0.011203312879416963,True,LEVEL_1_HIGHER
CWM_SLA,FUNCTIONAL_COMPOSITION,MARGINAL_ZONE,AVERAGED_OVER_HABITAT,Core,Transition,Core - Transition,-4.1116492166358745,0.5207458325935487,-7.895692983577056,81.0,1.2053650235454002e-11,-5.147770077744436,-3.0755283555273127,CLASSICAL,3.6160950706362005e-11,True,LEVEL_2_HIGHER
CWM_SLA,FUNCTIONAL_COMPOSITION,MARGINAL_ZONE,AVERAGED_OVER_HABITAT,Buffer,Transition,Buffer - Transition,-3.0862826867281616,0.5207458325935481,-5.926658445555076,81.0,7.223999931475687e-08,-4.122403547836722,-2.0501618256196013,CLASSICAL,1.0835999897213531e-07,True,LEVEL_2_HIGHER
CWM_WD,FUNCTIONAL_COMPOSITION,HABITAT_WITHIN_ZONE,Transition,Major River,Stream,Major River - Stream,0.10792606367909971,0.01980783631496721,5.448654863810064,81.0,5.326394745755955e-07,0.06851468266593648,0.14733744469226295,CLASSICAL,4.793755271180359e-06,True,LEVEL_1_HIGHER
CWM_WD,FUNCTIONAL_COMPOSITION,HABITAT_WITHIN_ZONE,Core,Major River,Stream,Major River - Stream,0.08766976177975805,0.019807836314967218,4.426014047456205,81.0,2.967435822717908e-05,0.048258380766594805,0.1270811427929213,CLASSICAL,0.00013353461202230587,True,LEVEL_1_HIGHER
CWM_WD,FUNCTIONAL_COMPOSITION,HABITAT_WITHIN_ZONE,Core,Stream,Upland,Stream - Upland,-0.08484231654349161,0.01980783631496723,-4.2832702771974605,81.0,5.028794491234837e-05,-0.12425369755665489,-0.04543093553032834,CLASSICAL,0.00015086383473704513,True,LEVEL_2_HIGHER
CWM_WD,FUNCTIONAL_COMPOSITION,HABITAT_WITHIN_ZONE,Buffer,Stream,Upland,Stream - Upland,-0.07597305451495004,0.019807836314967218,-3.8355049641410455,81.0,0.0002468847699768407,-0.11538443552811328,-0.036561673501786796,CLASSICAL,0.0005554907324478916,True,LEVEL_2_HIGHER
CWM_WD,FUNCTIONAL_COMPOSITION,HABITAT_WITHIN_ZONE,Transition,Major River,Upland,Major River - Upland,0.06945519614793777,0.019807836314967193,3.5064504291897873,81.0,0.0007434843792688267,0.030043815134774575,0.10886657716110096,CLASSICAL,0.001338271882683888,True,LEVEL_1_HIGHER
CWM_WD,FUNCTIONAL_COMPOSITION,ZONE_WITHIN_HABITAT,Upland,Core,Transition,Core - Transition,0.21878154230397098,0.019807836314967218,11.045201445786134,81.0,7.832094783771799e-18,0.17937016129080774,0.2581929233171342,CLASSICAL,7.048885305394619e-17,True,LEVEL_1_HIGHER
CWM_WD,FUNCTIONAL_COMPOSITION,ZONE_WITHIN_HABITAT,Stream,Core,Transition,Core - Transition,0.1724100932916413,0.01980783631496724,8.70413560320894,81.0,3.056445453254614e-13,0.13299871227847804,0.21182147430480458,CLASSICAL,1.3754004539645763e-12,True,LEVEL_1_HIGHER
CWM_WD,FUNCTIONAL_COMPOSITION,ZONE_WITHIN_HABITAT,Upland,Buffer,Transition,Buffer - Transition,0.1672015210932857,0.019807836314967193,8.441180471940033,81.0,1.011907361659391e-12,0.12779014008012252,0.2066129021064489,CLASSICAL,3.035722084978173e-12,True,LEVEL_1_HIGHER
CWM_WD,FUNCTIONAL_COMPOSITION,ZONE_WITHIN_HABITAT,Major River,Core,Transition,Core - Transition,0.15215379139229965,0.01980783631496721,7.681494786855094,81.0,3.175802197041379e-11,0.11274241037913642,0.1915651724054629,CLASSICAL,7.145554943343102e-11,True,LEVEL_1_HIGHER
CWM_WD,FUNCTIONAL_COMPOSITION,ZONE_WITHIN_HABITAT,Stream,Buffer,Transition,Buffer - Transition,0.1296993341094976,0.019807836314967218,6.547879942419256,81.0,4.956797161540623e-09,0.09028795309633436,0.16911071512266085,CLASSICAL,8.922234890773122e-09,True,LEVEL_1_HIGHER
CWM_WD,FUNCTIONAL_COMPOSITION,ZONE_WITHIN_HABITAT,Major River,Core,Buffer,Core - Buffer,0.08759684376968592,0.019807836314967218,4.422332776624164,81.0,3.0084273159895445e-05,0.048185462756522676,0.12700822478284918,CLASSICAL,4.512640973984317e-05,True,LEVEL_1_HIGHER
CWM_WD,FUNCTIONAL_COMPOSITION,ZONE_WITHIN_HABITAT,Major River,Buffer,Transition,Buffer - Transition,0.06455694762261374,0.019807836314967214,3.259162010230929,81.0,0.001634625067618617,0.025145566609450505,0.10396832863577699,CLASSICAL,0.002101660801223936,True,LEVEL_1_HIGHER
CWM_WD,FUNCTIONAL_COMPOSITION,ZONE_WITHIN_HABITAT,Upland,Core,Buffer,Core - Buffer,0.05158002121068528,0.01980783631496722,2.6040209738461098,81.0,0.010957497858195882,0.012168640197522028,0.09099140222384852,CLASSICAL,0.012327185090470368,True,LEVEL_1_HIGHER
CWM_WD,FUNCTIONAL_COMPOSITION,ZONE_WITHIN_HABITAT,Stream,Core,Buffer,Core - Buffer,0.04271075918214372,0.019807836314967218,2.156255660789693,81.0,0.03402983568518034,0.003299378168980474,0.08212214019530696,CLASSICAL,0.03402983568518034,True,LEVEL_1_HIGHER
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,HABITAT_WITHIN_ZONE,Core,Stream,Upland,Stream - Upland,15.88589994560545,1.9348887031999917,8.2102396480649,74.0,5.184459103078475e-12,12.030550046145237,19.741249845065663,HC3,4.666013192770628e-11,True,LEVEL_1_HIGHER
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,HABITAT_WITHIN_ZONE,Core,Major River,Stream,Major River - Stream,-12.899804155291951,2.0587064239115502,-6.2659755686691225,74.0,2.2187946421759224e-08,-17.001866248744108,-8.797742061839793,HC3,9.984575889791651e-08,True,LEVEL_2_HIGHER
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,HABITAT_WITHIN_ZONE,Core,Major River,Upland,Major River - Upland,2.986095790313499,0.8257575868084484,3.6161893490494634,74.0,0.0005430479102127003,1.340737882122021,4.631453698504977,HC3,0.0016291437306381008,True,LEVEL_1_HIGHER
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,HABITAT_WITHIN_ZONE,Buffer,Stream,Upland,Stream - Upland,3.3107065622644383,0.9445410789391242,3.5050953696825013,74.0,0.000778942330124813,1.4286673794931068,5.1927457450357695,HC3,0.0017526202427808294,True,LEVEL_1_HIGHER
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,HABITAT_WITHIN_ZONE,Transition,Stream,Upland,Stream - Upland,4.40770497421965,1.2855069867715996,3.428767808791989,74.0,0.000994138378299231,1.8462763897182581,6.969133558721041,HC3,0.0017894490809386159,True,LEVEL_1_HIGHER
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,HABITAT_WITHIN_ZONE,Buffer,Major River,Upland,Major River - Upland,2.7926942446456886,0.848215606967573,3.2924344019438117,74.0,0.0015245398066948154,1.1025877544715048,4.482800734819873,HC3,0.0022868097100422233,True,LEVEL_1_HIGHER
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,HABITAT_WITHIN_ZONE,Transition,Major River,Upland,Major River - Upland,11.666187394147046,4.425150294977799,2.636336986652693,74.0,0.010206012573290695,2.84888295869105,20.483491829603043,HC3,0.013122016165659464,True,LEVEL_1_HIGHER
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,ZONE_WITHIN_HABITAT,Upland,Core,Buffer,Core - Buffer,-4.895705119530589,0.6309345316587534,-7.759450266035646,74.0,3.6880337437124364e-11,-6.152869616472266,-3.6385406225889128,HC3,3.319230369341193e-10,True,LEVEL_2_HIGHER
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,ZONE_WITHIN_HABITAT,Upland,Buffer,Transition,Buffer - Transition,4.517238803787347,0.8591376510654626,5.2578754966509464,74.0,1.360738740355734e-06,2.805369665691834,6.22910794188286,HC3,6.123324331600803e-06,True,LEVEL_1_HIGHER
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,ZONE_WITHIN_HABITAT,Stream,Core,Transition,Core - Transition,11.09972865564256,2.2065551523772835,5.030342723898838,74.0,3.319810170235191e-06,6.703071540015233,15.496385771269885,HC3,9.959430510705573e-06,True,LEVEL_1_HIGHER
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,ZONE_WITHIN_HABITAT,Major River,Core,Buffer,Core - Buffer,-4.702303573862777,1.0016321304928442,-4.6946413066332555,74.0,1.1992702395102587e-05,-6.698099160040512,-2.7065079876850424,HC3,2.698358038898082e-05,True,LEVEL_2_HIGHER
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,ZONE_WITHIN_HABITAT,Stream,Core,Buffer,Core - Buffer,7.679488263810424,2.058609666822484,3.730424658727999,74.0,0.0003721929720734683,3.5776189630666977,11.78135756455415,HC3,0.0006699473497322429,True,LEVEL_1_HIGHER
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,ZONE_WITHIN_HABITAT,Stream,Buffer,Transition,Buffer - Transition,3.4202403918321345,1.3440865148359316,2.544657917537126,74.0,0.013022990093436939,0.7420895497353897,6.098391233928879,HC3,0.01953448514015541,True,LEVEL_1_HIGHER
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,HABITAT_WITHIN_ZONE,Core,Stream,Upland,Stream - Upland,14.26327124976891,1.5021548446603834,9.495207035725826,74.0,1.941760571039508e-14,11.270162385286339,17.25638011425148,HC3,1.747584513935557e-13,True,LEVEL_1_HIGHER
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,HABITAT_WITHIN_ZONE,Core,Major River,Stream,Major River - Stream,-11.634356491432555,1.6645978905398027,-6.9892894599666455,74.0,1.0292241112303286e-09,-14.95114019031954,-8.31757279254557,HC3,4.631508500536479e-09,True,LEVEL_2_HIGHER
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,HABITAT_WITHIN_ZONE,Transition,Stream,Upland,Stream - Upland,4.154312884827569,1.2004287725579257,3.4606908629617226,74.0,0.0008980666721746861,1.762406342639244,6.546219427015895,HC3,0.0026942000165240585,True,LEVEL_1_HIGHER
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,HABITAT_WITHIN_ZONE,Core,Major River,Upland,Major River - Upland,2.6289147583363537,0.8229694347593476,3.194425755441452,74.0,0.0020594732605744995,0.989112364373887,4.26871715229882,HC3,0.004633814836292624,True,LEVEL_1_HIGHER
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,ZONE_WITHIN_HABITAT,Upland,Core,Buffer,Core - Buffer,-6.201881630830879,0.6500845784671678,-9.540114988505456,74.0,1.5990299387551734e-14,-7.497203428973073,-4.906559832688686,HC3,1.439126944879656e-13,True,LEVEL_2_HIGHER
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,ZONE_WITHIN_HABITAT,Upland,Buffer,Transition,Buffer - Transition,5.793488280939886,0.7595081648303216,7.62794733383042,74.0,6.528454179787286e-11,4.280135227570422,7.306841334309351,HC3,2.937804380904279e-10,True,LEVEL_1_HIGHER
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,ZONE_WITHIN_HABITAT,Stream,Core,Transition,Core - Transition,9.700565015050346,1.8385847794821104,5.276104275040711,74.0,1.266032347486647e-06,6.037104872354599,13.364025157746093,HC3,3.798097042459941e-06,True,LEVEL_1_HIGHER
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,ZONE_WITHIN_HABITAT,Stream,Core,Buffer,Core - Buffer,7.161557649981041,1.5956586053621398,4.488151554420817,74.0,2.5885409825694923e-05,3.982138475337231,10.34097682462485,HC3,5.824217210781358e-05,True,LEVEL_1_HIGHER
