Variable,Domain,Contrast_Family,Conditioning_Level,Level_1,Level_2,Contrast,Estimate,SE,Statistic,df,p,CI95_Lower,CI95_Upper,Inference_Type,q_BH,Significant_FDR,Direction
Pielou,TAXONOMIC_DIVERSITY,ZONE_WITHIN_HABITAT,Major River,Core,Buffer,Core - Buffer,-0.032399999999999526,0.014867065266206009,-2.1793137663589355,81.0,0.03221316597227138,-0.06198079643011077,-0.0028192035698882782,HC3,0.07247962343761061,False,LEVEL_2_HIGHER
Pielou,TAXONOMIC_DIVERSITY,ZONE_WITHIN_HABITAT,Major River,Core,Transition,Core - Transition,-0.02609999999999936,0.020562731480178533,-1.2692866229935689,81.0,0.20797382822502555,-0.0670133855990273,0.014813385599028575,HC3,0.31196074233753834,False,LEVEL_2_HIGHER
Pielou,TAXONOMIC_DIVERSITY,ZONE_WITHIN_HABITAT,Major River,Buffer,Transition,Buffer - Transition,0.006300000000000167,0.02004664314129843,0.3142670798095582,81.0,0.754126211733663,-0.033586531689462434,0.04618653168946277,HC3,0.754126211733663,False,LEVEL_1_HIGHER
Pielou,TAXONOMIC_DIVERSITY,ZONE_WITHIN_HABITAT,Stream,Core,Buffer,Core - Buffer,0.056100000000000164,0.027342929661415844,2.051718696375246,81.0,0.04342792225400432,0.0016961468094369853,0.11050385319056334,HC3,0.07817026005720777,False,LEVEL_1_HIGHER
Pielou,TAXONOMIC_DIVERSITY,ZONE_WITHIN_HABITAT,Stream,Core,Transition,Core - Transition,0.07650000000000022,0.02112388502426858,3.621492917240921,81.0,0.0005091509591397767,0.03447009486893695,0.11852990513106348,HC3,0.0022911793161289953,True,LEVEL_1_HIGHER
Pielou,TAXONOMIC_DIVERSITY,ZONE_WITHIN_HABITAT,Stream,Buffer,Transition,Buffer - Transition,0.020400000000000057,0.03216508343829673,0.6342281076041356,81.0,0.5277191213872898,-0.043598426610029065,0.08439842661002918,HC3,0.593684011560701,False,LEVEL_1_HIGHER
Pielou,TAXONOMIC_DIVERSITY,ZONE_WITHIN_HABITAT,Upland,Core,Buffer,Core - Buffer,-0.06849999999999962,0.024050487020555854,-2.848175171731572,81.0,0.005571469871175484,-0.11635292509727735,-0.020647074902721885,HC3,0.01671440961352645,True,LEVEL_2_HIGHER
Pielou,TAXONOMIC_DIVERSITY,ZONE_WITHIN_HABITAT,Upland,Core,Transition,Core - Transition,-0.09069999999999971,0.019956774276074098,-4.544822662485024,81.0,1.8997525222540045e-05,-0.13040772083742086,-0.050992279162578556,HC3,0.00017097772700286042,True,LEVEL_2_HIGHER
Pielou,TAXONOMIC_DIVERSITY,ZONE_WITHIN_HABITAT,Upland,Buffer,Transition,Buffer - Transition,-0.022200000000000095,0.02785402867773792,-0.7970121757555036,81.0,0.4277740300034938,-0.07762077991327158,0.033220779913271395,HC3,0.5499951814330635,False,LEVEL_2_HIGHER
CWM_WD,FUNCTIONAL_COMPOSITION,ZONE_WITHIN_HABITAT,Major River,Core,Buffer,Core - Buffer,0.08759684376968592,0.019807836314967218,4.422332776624164,81.0,3.0084273159895445e-05,0.048185462756522676,0.12700822478284918,CLASSICAL,4.512640973984317e-05,True,LEVEL_1_HIGHER
