Variable,Domain,Analysis_Dataset,Inference_Mode,Zone_FDR_Significant,Zone_q,Zone_Partial_Eta2,Zone_Effect_Size,Habitat_FDR_Significant,Habitat_q,Habitat_Partial_Eta2,Habitat_Effect_Size,Interaction_FDR_Significant,Interaction_q,Interaction_Partial_Eta2,Interaction_Effect_Size,Primary_Interpretation,N_Significant_Zone_Within_Habitat,Zone_Within_Habitat_Summary,N_Significant_Habitat_Within_Zone,Habitat_Within_Zone_Summary,N_Significant_Marginal_Zone,Marginal_Zone_Summary,N_Significant_Marginal_Habitat,Marginal_Habitat_Summary,Robustness_Qualification
Richness,TAXONOMIC_DIVERSITY,FULL_BACKBONE,CLASSICAL_TYPE_III,True,1.1432401023780153e-09,0.41614811852304856,LARGE,False,0.235728173456997,0.043512612491087385,SMALL,False,0.091612774337191,0.09906884722197035,MEDIUM,ZONE_MAIN_EFFECT,0,,0,,2,Core>Transition (q=6.451e-09); Buffer>Transition (q=6.451e-09),0,,
Pielou,TAXONOMIC_DIVERSITY,FULL_BACKBONE,HC3_ROBUST,False,0.5011219175320629,0.019539138370327308,SMALL,False,0.20405222502257128,0.045317457927259365,SMALL,True,5.742774344948809e-06,0.2768414072922174,LARGE,INTERACTION_SIMPLE_EFFECTS,3,Upland: Transition>Core (q=0.000171); Stream: Core>Transition (q=0.002291); Upland: Buffer>Core (q=0.01671),5,Core: Stream>Upland (q=1.466e-09); Core: Major River>Upland (q=0.001422); Core: Stream>Major River (q=0.01143); Transition: Upland>Stream (q=0.02024); Transition: Major River>Stream (q=0.03951),0,,0,,
CWM_WD,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,CLASSICAL_TYPE_III,True,5.244993541978861e-25,0.7624274978324506,LARGE,True,2.1772908244952034e-09,0.40678679852073285,LARGE,True,0.010640797121241911,0.15671133152633024,LARGE,INTERACTION_SIMPLE_EFFECTS,9,Upland: Core>Transition (q=7.049e-17); Stream: Core>Transition (q=1.375e-12); Upland: Buffer>Transition (q=3.036e-12); Major River: Core>Transition (q=7.146e-11); Stream: Buffer>Transition (q=8.922e-09); Major River: Core>Buffer (q=4.513e-05); Major River: Buffer>Transition (q=0.002102); Upland: Core>Buffer (q=0.01233); Stream: Core>Buffer (q=0.03403),5,Transition: Major River>Stream (q=4.794e-06); Core: Major River>Stream (q=0.0001335); Core: Upland>Stream (q=0.0001509); Buffer: Upland>Stream (q=0.0005555); Transition: Major River>Upland (q=0.001338),0,,0,,
CWM_SLA,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,CLASSICAL_TYPE_III,True,1.0721208473736388e-10,0.45477638222341804,LARGE,False,0.5091434625966176,0.02193291026116794,SMALL,False,0.37470795262686196,0.0539263747356327,SMALL,ZONE_MAIN_EFFECT,0,,0,,2,Transition>Core (q=3.616e-11); Transition>Buffer (q=1.084e-07),0,,
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,HC3_ROBUST,True,0.009278057823215983,0.1624579896144598,LARGE,True,0.01081449199259232,0.1550572208260328,LARGE,True,0.010640797121241911,0.13894412692970448,MEDIUM,INTERACTION_SIMPLE_EFFECTS,3,Upland: Transition>Buffer (q=0.0005276); Upland: Transition>Core (q=0.0006347); Major River: Core>Buffer (q=0.00731),3,Core: Major River>Upland (q=5.13e-05); Transition: Upland>Stream (q=0.003289); Core: Major River>Stream (q=0.017),0,,0,,
CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,HC3_ROBUST,False,0.39540595839560383,0.019527201535233924,SMALL,False,0.20405222502257128,0.05883642170224629,SMALL,True,0.010640797121241911,0.2354313452045486,LARGE,INTERACTION_SIMPLE_EFFECTS,0,,1,Transition: Stream>Upland (q=0.0112),0,,0,,
FDis,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,HC3_ROBUST,False,0.9611126379365373,0.0018610438698106234,VERY_SMALL,False,0.6529155166052449,0.01388293717935137,SMALL,True,0.004586900195848186,0.06801063402070645,MEDIUM,INTERACTION_SIMPLE_EFFECTS,1,Major River: Buffer>Core (q=0.002666),2,Core: Upland>Major River (q=0.001743); Core: Stream>Major River (q=0.007676),0,,0,,Interaction supported by HC3 robust inference but not by classical Type III inference; simple-effect conclusions are robustness-dependent.
FEve,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,CLASSICAL_TYPE_III,False,0.9276630715801988,0.0045010198414901625,VERY_SMALL,False,0.9791876890347988,0.0005256602865894427,VERY_SMALL,False,0.6140726672570226,0.03245644018550423,SMALL,NO_FDR_SUPPORTED_FACTORIAL_EFFECT,0,,0,,0,,0,,
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,HC3_ROBUST,False,0.7227362137746409,0.010115152816702758,SMALL,True,2.5529220546942416e-13,0.31672807205742554,LARGE,True,6.85649238365167e-06,0.34325809009386477,LARGE,INTERACTION_SIMPLE_EFFECTS,6,Upland: Buffer>Core (q=3.319e-10); Upland: Buffer>Transition (q=6.123e-06); Stream: Core>Transition (q=9.959e-06); Major River: Buffer>Core (q=2.698e-05); Stream: Core>Buffer (q=0.0006699); Stream: Buffer>Transition (q=0.01953),7,Core: Stream>Upland (q=4.666e-11); Core: Stream>Major River (q=9.985e-08); Core: Major River>Upland (q=0.001629); Buffer: Stream>Upland (q=0.001753); Transition: Stream>Upland (q=0.001789); Buffer: Major River>Upland (q=0.002287); Transition: Major River>Upland (q=0.01312),0,,0,,Habitat and Zone×Habitat interaction are stable on raw and log scales. Marginal Zone effect is not considered stable.
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,HC3_ROBUST,True,4.818046496927529e-07,0.3804474213650968,LARGE,True,2.420248647146094e-12,0.6224824448086108,LARGE,True,2.684331642149154e-08,0.558127159027618,LARGE,INTERACTION_SIMPLE_EFFECTS,6,Upland: Buffer>Core (q=1.439e-13); Upland: Buffer>Transition (q=2.938e-10); Stream: Core>Transition (q=3.798e-06); Stream: Core>Buffer (q=5.824e-05); Major River: Buffer>Core (q=0.004427); Major River: Buffer>Transition (q=0.01386),4,Core: Stream>Upland (q=1.748e-13); Core: Stream>Major River (q=4.632e-09); Transition: Stream>Upland (q=0.002694); Core: Major River>Upland (q=0.004634),0,,0,,
