Variable_1,Variable_2,Domain_1,Domain_2,Analysis_Dataset,N,Partial_Pearson_r,Partial_Pearson_p,Partial_Spearman_rho,Partial_Spearman_p,Minimum_Absolute_Partial_Association,Partial_Pearson_q_BH,Partial_Spearman_q_BH,Partial_Pearson_FDR,Partial_Spearman_FDR,Both_Partial_FDR,Partial_Association_Class
Pielou,FEve,TAXONOMIC_DIVERSITY,FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,89,0.549492775474374,2.452449374670928e-08,0.5548651248509228,1.676485070922842e-08,0.549492775474374,8.828817748815341e-07,6.035346255322231e-07,True,True,True,ROBUST_MODERATE
Pielou,Estimated_Mean_Height,TAXONOMIC_DIVERSITY,STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,0.5101710690008101,8.118325365115857e-05,0.5601783911516931,1.0595232521831575e-05,0.5101710690008101,0.0007306492828604271,0.00012714279026197889,True,True,True,ROBUST_MODERATE
Pielou,FDis,TAXONOMIC_DIVERSITY,FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,0.4398733377349486,1.438045502493424e-05,0.5165206941006707,1.8747244324290588e-07,0.4398733377349486,0.0001725654602992109,3.374503978372306e-06,True,True,True,ROBUST_WEAK_TO_MODERATE
CWM_Log10_Seed_Mass,FDis,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,-0.5229125020337259,1.2417651898682254e-07,-0.42392888010865537,3.131900398167905e-05,0.42392888010865537,2.2351773417628058e-06,0.00028187103583511146,True,True,True,ROBUST_WEAK_TO_MODERATE
FEve,Estimated_Mean_DBH,FUNCTIONAL_DIVERSITY,STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,53,0.34925954465491,0.010368321192481727,0.3880825673278503,0.004086757302019179,0.34925954465491,0.04665744536616777,0.01349426844648105,True,True,True,ROBUST_WEAK_TO_MODERATE
Pielou,Estimated_Mean_DBH,TAXONOMIC_DIVERSITY,STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,0.3349954171327145,0.0132823935370621,0.4531818789059934,0.0005791714473512004,0.3349954171327145,0.0531295741482484,0.0034750286841072025,False,True,False,ONE_METHOD_FDR_SUPPORTED
Richness,Estimated_Mean_Height,TAXONOMIC_DIVERSITY,STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,0.3283500675468841,0.015349011786915064,0.3585265721147682,0.00776519245814008,0.3283500675468841,0.05525644243289422,0.021503609884080226,False,True,False,ONE_METHOD_FDR_SUPPORTED
CWM_Max_Height_m,FEve,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,89,0.3401446582465901,0.001108716015194635,0.3193905345590739,0.0022818629968612836,0.3193905345590739,0.007982755309401372,0.010522100056627874,True,True,True,ROBUST_WEAK_TO_MODERATE
Pielou,CWM_Max_Height_m,TAXONOMIC_DIVERSITY,FUNCTIONAL_COMPOSITION,FULL_INTEGRATED_BACKBONE,90,0.2940532850025641,0.004906365068376773,0.4029995719737468,8.212445701446651e-05,0.2940532850025641,0.02523397126160554,0.0005912960905041589,True,True,True,ROBUST_WEAK
Richness,FDis,TAXONOMIC_DIVERSITY,FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,0.2940517112345706,0.004906605523089966,0.3156148463988884,0.0024440538368031735,0.2940517112345706,0.02523397126160554,0.010522100056627874,True,True,True,ROBUST_WEAK
FDis,Estimated_Mean_Height,FUNCTIONAL_DIVERSITY,STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,0.2572713616963661,0.06037258609698398,0.3519344387268915,0.009061141707843447,0.2572713616963661,0.12266998283224957,0.02330007867731172,False,True,False,ONE_METHOD_FDR_SUPPORTED
CWM_Max_Height_m,FDis,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,0.24739104162344316,0.018732200559861013,0.3134131785817179,0.0026305250141569684,0.24739104162344316,0.05619660167958304,0.010522100056627874,False,True,False,ONE_METHOD_FDR_SUPPORTED
FDis,Estimated_Mean_DBH,FUNCTIONAL_DIVERSITY,STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,0.22144750015689682,0.10755651258469467,0.36108252334667423,0.007307920049915635,0.22144750015689682,0.18438259300233373,0.021503609884080226,False,True,False,ONE_METHOD_FDR_SUPPORTED
CWM_WD,FDis,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,-0.2175386712777125,0.039432941277358705,-0.2995843108202659,0.004123248691980321,0.2175386712777125,0.09463905906566089,0.01349426844648105,False,True,False,ONE_METHOD_FDR_SUPPORTED
