Variable_1,Variable_2,Pearson_r,Spearman_rho,Pearson_q_BH,Spearman_q_BH,Association_Class,Domain_1,Domain_2,Analysis_Dataset,N,Partial_Pearson_r,Partial_Pearson_p,Partial_Spearman_rho,Partial_Spearman_p,Minimum_Absolute_Partial_Association,Partial_Pearson_q_BH,Partial_Spearman_q_BH,Partial_Pearson_FDR,Partial_Spearman_FDR,Both_Partial_FDR,Partial_Association_Class,Pearson_Absolute_Change,Spearman_Absolute_Change,Coupling_Interpretation
FEve,Estimated_Mean_DBH,0.32995551195958905,0.24625060474117078,0.06331656256129144,0.19412118361849912,NOT_FDR_SUPPORTED,FUNCTIONAL_DIVERSITY,STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,53,0.34925954465491,0.010368321192481727,0.3880825673278503,0.004086757302019179,0.34925954465491,0.04665744536616777,0.01349426844648105,True,True,True,ROBUST_WEAK_TO_MODERATE,0.01930403269532094,0.14183196258667952,EMERGES_AFTER_DESIGN_CONTROL
Richness,Estimated_Mean_Height,0.13951114448437815,0.1831785176964391,0.48517391214934064,0.3328098328357437,NOT_FDR_SUPPORTED,TAXONOMIC_DIVERSITY,STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,0.3283500675468841,0.015349011786915064,0.3585265721147682,0.00776519245814008,0.3283500675468841,0.05525644243289422,0.021503609884080226,False,True,False,ONE_METHOD_FDR_SUPPORTED,0.18883892306250596,0.17534805441832907,EMERGES_AFTER_DESIGN_CONTROL
Pielou,CWM_Max_Height_m,0.022449695788451705,0.07536017166727528,0.8574659725509958,0.5576807939531844,NOT_FDR_SUPPORTED,TAXONOMIC_DIVERSITY,FUNCTIONAL_COMPOSITION,FULL_INTEGRATED_BACKBONE,90,0.2940532850025641,0.004906365068376773,0.4029995719737468,8.212445701446651e-05,0.2940532850025641,0.02523397126160554,0.0005912960905041589,True,True,True,ROBUST_WEAK,0.27160358921411243,0.32763940030647154,EMERGES_AFTER_DESIGN_CONTROL
Richness,FDis,0.16161306650401208,0.13067684833923945,0.3073497476943883,0.35930866592001454,NOT_FDR_SUPPORTED,TAXONOMIC_DIVERSITY,FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,0.2940517112345706,0.004906605523089966,0.3156148463988884,0.0024440538368031735,0.2940517112345706,0.02523397126160554,0.010522100056627874,True,True,True,ROBUST_WEAK,0.1324386447305585,0.18493799805964897,EMERGES_AFTER_DESIGN_CONTROL
FDis,Estimated_Mean_Height,0.03808514121787884,0.08450543167524298,0.830680778177575,0.6114265581885927,NOT_FDR_SUPPORTED,FUNCTIONAL_DIVERSITY,STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,0.2572713616963661,0.06037258609698398,0.3519344387268915,0.009061141707843447,0.2572713616963661,0.12266998283224957,0.02330007867731172,False,True,False,ONE_METHOD_FDR_SUPPORTED,0.21918622047848726,0.2674290070516485,EMERGES_AFTER_DESIGN_CONTROL
CWM_Max_Height_m,FDis,0.11375251848259896,0.2070495460270161,0.48517391214934064,0.14930227149207503,NOT_FDR_SUPPORTED,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,0.24739104162344316,0.018732200559861013,0.3134131785817179,0.0026305250141569684,0.24739104162344316,0.05619660167958304,0.010522100056627874,False,True,False,ONE_METHOD_FDR_SUPPORTED,0.1336385231408442,0.1063636325547018,EMERGES_AFTER_DESIGN_CONTROL
FDis,Estimated_Mean_DBH,0.07034239276121997,0.0707070707070707,0.7358992226990264,0.6481867243834615,NOT_FDR_SUPPORTED,FUNCTIONAL_DIVERSITY,STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,0.22144750015689682,0.10755651258469467,0.36108252334667423,0.007307920049915635,0.22144750015689682,0.18438259300233373,0.021503609884080226,False,True,False,ONE_METHOD_FDR_SUPPORTED,0.15110510739567684,0.2903754526396035,EMERGES_AFTER_DESIGN_CONTROL
CWM_WD,FDis,-0.09884014024212139,-0.18056024299696255,0.5097703158717551,0.199266191762363,NOT_FDR_SUPPORTED,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,-0.2175386712777125,0.039432941277358705,-0.2995843108202659,0.004123248691980321,0.2175386712777125,0.09463905906566089,0.01349426844648105,False,True,False,ONE_METHOD_FDR_SUPPORTED,0.11869853103559112,0.11902406782330333,EMERGES_AFTER_DESIGN_CONTROL
Richness,CWM_WD,0.6123705990112027,0.5871149528752658,5.114869387734429e-09,4.2712314864017877e-08,ROBUST_MODERATE,TAXONOMIC_DIVERSITY,FUNCTIONAL_COMPOSITION,FULL_INTEGRATED_BACKBONE,90,0.20382316727423228,0.053993763893598785,0.13233708361384014,0.2137251325331429,0.13233708361384014,0.12148596876059727,0.33452629439970194,False,False,False,NOT_FDR_SUPPORTED,-0.40854743173697045,-0.4547778692614257,EXPLAINED_OR_ATTENUATED_BY_DESIGN
Pielou,CWM_SLA,0.21574794297838326,0.3369144664062968,0.12337336388207208,0.006996275016786732,ONE_METHOD_FDR_SUPPORTED,TAXONOMIC_DIVERSITY,FUNCTIONAL_COMPOSITION,FULL_INTEGRATED_BACKBONE,90,0.13233675993407362,0.21372626262818775,0.14570643048137774,0.17059468778041365,0.13233675993407362,0.30776581818459037,0.2924480361949948,False,False,False,NOT_FDR_SUPPORTED,-0.08341118304430964,-0.19120803592491906,EXPLAINED_OR_ATTENUATED_BY_DESIGN
