Plot_ID,Zone,Habitat,Structural_Coverage_Percent,PC1,PC2,Provisional_KMeans_Cluster,Provisional_Ward_Cluster
CmP1,Core,Major River,77.77777777777777,0.1653642781628116,0.5641289239191153,2,2
CmP2,Core,Major River,81.81818181818181,-0.39118950275918846,2.151610169631717,1,3
CmP3,Core,Major River,90.9090909090909,0.5996746537591574,0.8697237802113239,2,2
CmP4,Core,Major River,90.47619047619048,-0.30733600165550795,1.601497393777791,1,3
CmP5,Core,Major River,84.61538461538461,-1.1926154216971385,2.246421581365673,1,3
CmP6,Core,Major River,95.45454545454544,-0.9363373336204913,2.597452573002013,1,3
CmP7,Core,Major River,90.0,0.6755148572523817,1.3347786743180707,2,2
CmP8,Core,Major River,79.16666666666667,-0.11399790688926259,1.3066650414495868,1,2
CmP9,Core,Major River,80.0,0.029113748681466385,1.48806372437428,1,2
CmP10,Core,Major River,78.125,-0.43918725876111375,2.075451329623845,1,3
CsP1,Core,Stream,75.0,3.110934235650688,-0.389937597680038,2,2
CsP2,Core,Stream,76.47058823529412,1.469731335066152,-0.24260459810007112,2,2
CsP4,Core,Stream,76.19047619047619,1.4650933644016582,0.2740712903656473,2,2
CsP6,Core,Stream,84.0,3.2410302201027186,-0.15766972471035937,2,2
CsP7,Core,Stream,78.94736842105263,1.233596748597571,0.1569375664471607,2,2
CsP9,Core,Stream,100.0,3.6109032801298686,-1.8534337282185689,2,4
CsP10,Core,Stream,88.88888888888889,1.4796121609156023,-0.20487695558549288,2,2
CuP1,Core,Upland,94.73684210526316,-1.5995903244206633,2.562641422296399,1,3
CuP2,Core,Upland,100.0,-0.8687510666818211,1.7951732168126222,1,3
CuP3,Core,Upland,100.0,-0.784603159100231,1.2832618485232554,1,3
CuP4,Core,Upland,100.0,-1.054187943354651,1.3154860690796815,1,3
CuP5,Core,Upland,100.0,-0.16009753762672238,1.9644226582735125,1,3
CuP6,Core,Upland,95.23809523809524,-0.500253617881961,2.758226763664724,1,3
CuP7,Core,Upland,100.0,-0.6435238885897011,1.539474717166462,1,3
CuP8,Core,Upland,100.0,-0.6528220920674834,1.9583844959756964,1,3
CuP9,Core,Upland,96.0,-0.3577308166211952,2.05670654751931,1,3
CuP10,Core,Upland,100.0,0.23644832683192574,1.4110803484896353,1,3
BmP1,Buffer,Major River,100.0,-0.3479102510813595,0.9773104906752539,1,2
BmP2,Buffer,Major River,76.47058823529412,0.27084848090375124,0.07662982355021924,2,2
BmP3,Buffer,Major River,78.26086956521739,0.4765429112108942,1.1419235518272897,2,2
BmP4,Buffer,Major River,88.88888888888889,1.2000473300780576,0.032673633724568725,2,2
BmP5,Buffer,Major River,83.33333333333333,2.024425491736286,-2.4432232316590645,4,4
BmP6,Buffer,Major River,78.57142857142857,1.1228910490427613,0.6996352237789077,2,2
BmP7,Buffer,Major River,78.57142857142857,1.08382383307818,-0.4352955462230964,2,2
BmP8,Buffer,Major River,82.3529411764706,-0.4968251152585453,0.7731838500117264,1,2
BmP9,Buffer,Major River,81.25,1.2604762974158632,0.4239130730230608,2,2
BsP1,Buffer,Stream,100.0,-2.546104268940314,1.1824111112588889,1,3
BsP2,Buffer,Stream,100.0,-1.3563153846727167,1.3694461819334902,1,3
BsP3,Buffer,Stream,100.0,-0.1327655253027393,0.2121272251045872,1,2
BsP4,Buffer,Stream,100.0,0.19931388283757281,0.5135813594471518,2,2
BsP5,Buffer,Stream,95.0,2.481849662713612,-1.2154362535460113,4,4
BsP6,Buffer,Stream,100.0,-0.10360128459051231,0.6461341812347844,1,3
BsP7,Buffer,Stream,94.44444444444444,1.0778641443865362,-0.20274355672771177,2,2
BsP8,Buffer,Stream,94.73684210526316,2.399064433004295,0.00670359407651384,2,4
BsP9,Buffer,Stream,95.65217391304348,0.8277111671202373,0.5176408359147883,2,2
BsP10,Buffer,Stream,100.0,1.8756350542003553,-0.4486591589757368,2,4
BuP1,Buffer,Upland,100.0,1.4024906448183885,-1.7106164478154378,4,4
BuP2,Buffer,Upland,80.0,0.7716206731046057,0.864594485328988,2,2
BuP3,Buffer,Upland,86.36363636363636,-0.3928338810225641,1.9019237722249451,1,3
BuP4,Buffer,Upland,76.47058823529412,-0.2991007674770128,1.3740615715127311,1,2
BuP6,Buffer,Upland,77.77777777777777,0.7165234897662448,0.5428735827250466,2,2
BuP7,Buffer,Upland,100.0,1.757529576874477,0.31580854610116355,2,2
BuP8,Buffer,Upland,76.0,0.7396774640667327,1.3306190930001167,2,2
BuP9,Buffer,Upland,90.0,1.3316075227644846,0.6185883893953642,2,2
TmP1,Transition,Major River,100.0,0.9251950596173849,-2.1518955472805974,2,2
TmP2,Transition,Major River,100.0,1.3411806916546478,-2.0379828472342365,4,4
TmP3,Transition,Major River,100.0,-0.8242409217260988,-1.1423994383994596,3,1
TmP4,Transition,Major River,100.0,-2.2448263471789525,0.062463746410790055,1,1
TmP5,Transition,Major River,100.0,-3.4042837050980963,-2.213084920872845,3,1
TmP6,Transition,Major River,100.0,0.49395659361034644,0.1884102786244885,2,2
TmP7,Transition,Major River,100.0,-0.4775195115804184,-1.499538091141381,3,1
TmP8,Transition,Major River,100.0,-0.532721408113259,-0.9667431658811007,4,4
TmP9,Transition,Major River,100.0,3.112731452397493,-1.5480476029060322,2,2
TmP10,Transition,Major River,100.0,1.2481188817400175,-0.47478208041095793,2,2
TsP1,Transition,Stream,88.88888888888889,0.680751020871321,-1.6422286398268193,4,4
TsP3,Transition,Stream,100.0,1.7657876644120873,-1.164506456147139,4,4
TsP4,Transition,Stream,100.0,-3.3484340300851283,-1.6261073786721694,3,1
TsP5,Transition,Stream,100.0,-3.3878996403806476,-1.984037378408341,3,1
TsP6,Transition,Stream,80.95238095238095,0.4387939447130853,-0.7917257453981192,4,4
TsP7,Transition,Stream,100.0,-1.3868192730582865,-1.390175303828124,3,1
TsP8,Transition,Stream,100.0,-3.331706628598236,-1.7409568299833837,3,1
TsP9,Transition,Stream,86.66666666666667,-1.0147467160425663,-1.7740068422255806,4,4
TsP10,Transition,Stream,100.0,0.9741282008336458,-1.4431732284719967,4,4
TuP1,Transition,Upland,100.0,0.09275756577525358,-4.079310955896238,4,1
TuP2,Transition,Upland,90.0,-0.5810380231685087,-1.5494924902722813,4,1
TuP4,Transition,Upland,100.0,-2.768053955358135,-1.2402743513367807,3,1
TuP5,Transition,Upland,100.0,-2.700544233680052,-0.9735773285167667,3,1
TuP6,Transition,Upland,87.5,0.6581536052878947,-1.4023611539887415,4,4
TuP7,Transition,Upland,100.0,-2.6147192708245646,-1.8084109832869337,3,1
TuP8,Transition,Upland,100.0,-2.4844140027582085,-1.4206553874619372,3,1
TuP9,Transition,Upland,100.0,-3.5345165236490055,-1.6664388887326185,3,1
TuP10,Transition,Upland,100.0,-1.7543504582154439,-2.0479079013502175,3,1
