Plot_ID,Reference_Cluster,Within_Cluster_Consensus,Maximum_External_Consensus,Consensus_Margin,Confidence_Class
CmP1,2,0.7013448275862069,0.711,-0.0096551724137931,LOW_CONFIDENCE
CmP2,1,0.92804,0.624,0.30404,HIGH_CONFIDENCE
CmP3,2,0.6984827586206896,0.726,-0.02751724137931033,LOW_CONFIDENCE
CmP4,1,0.93624,0.61,0.32624,HIGH_CONFIDENCE
CmP5,1,0.93664,0.606,0.33064000000000004,HIGH_CONFIDENCE
CmP6,1,0.9366800000000001,0.608,0.3286800000000001,HIGH_CONFIDENCE
CmP7,2,0.6193793103448276,0.716,-0.09662068965517234,LOW_CONFIDENCE
CmP8,1,0.92332,0.633,0.29032,MODERATE_CONFIDENCE
CmP9,1,0.8735199999999999,0.693,0.1805199999999999,MODERATE_CONFIDENCE
CmP10,1,0.9343600000000001,0.614,0.3203600000000001,HIGH_CONFIDENCE
CsP1,2,0.7372758620689654,0.354,0.38327586206896547,MODERATE_CONFIDENCE
CsP2,2,0.7750689655172412,0.341,0.4340689655172412,MODERATE_CONFIDENCE
CsP4,2,0.8168275862068965,0.447,0.36982758620689654,HIGH_CONFIDENCE
CsP6,2,0.7510689655172414,0.338,0.4130689655172414,MODERATE_CONFIDENCE
CsP7,2,0.7752068965517241,0.345,0.43020689655172417,MODERATE_CONFIDENCE
CsP9,2,0.5153103448275862,0.533,-0.017689655172413832,LOW_CONFIDENCE
CsP10,2,0.774103448275862,0.341,0.43310344827586195,MODERATE_CONFIDENCE
CuP1,1,0.9351599999999999,0.604,0.3311599999999999,HIGH_CONFIDENCE
CuP2,1,0.93664,0.606,0.33064000000000004,HIGH_CONFIDENCE
CuP3,1,0.93664,0.606,0.33064000000000004,HIGH_CONFIDENCE
CuP4,1,0.93664,0.606,0.33064000000000004,HIGH_CONFIDENCE
CuP5,1,0.9365600000000001,0.609,0.3275600000000001,HIGH_CONFIDENCE
CuP6,1,0.93664,0.606,0.33064000000000004,HIGH_CONFIDENCE
CuP7,1,0.93664,0.606,0.33064000000000004,HIGH_CONFIDENCE
CuP8,1,0.93664,0.606,0.33064000000000004,HIGH_CONFIDENCE
CuP9,1,0.9366800000000001,0.608,0.3286800000000001,HIGH_CONFIDENCE
CuP10,1,0.9308799999999999,0.615,0.31587999999999994,HIGH_CONFIDENCE
BmP1,1,0.9227200000000001,0.633,0.2897200000000001,MODERATE_CONFIDENCE
BmP2,2,0.7928620689655175,0.6,0.1928620689655175,MODERATE_CONFIDENCE
BmP3,2,0.5570689655172414,0.751,-0.1939310344827586,LOW_CONFIDENCE
BmP4,2,0.8166896551724139,0.466,0.35068965517241385,HIGH_CONFIDENCE
BmP5,3,0.8731666666666666,0.509,0.36416666666666664,HIGH_CONFIDENCE
BmP6,2,0.8035862068965518,0.569,0.23458620689655185,MODERATE_CONFIDENCE
BmP7,2,0.8093448275862068,0.43,0.37934482758620686,HIGH_CONFIDENCE
BmP8,1,0.89444,0.67,0.22443999999999997,MODERATE_CONFIDENCE
BmP9,2,0.8159655172413793,0.519,0.2969655172413793,MODERATE_CONFIDENCE
BsP1,1,0.62088,0.382,0.23887999999999998,LOW_CONFIDENCE
BsP2,1,0.87872,0.546,0.3327199999999999,HIGH_CONFIDENCE
BsP3,1,0.66488,0.751,-0.08611999999999997,LOW_CONFIDENCE
BsP4,2,0.7837241379310345,0.535,0.24872413793103443,MODERATE_CONFIDENCE
BsP5,3,0.82,0.609,0.21099999999999997,MODERATE_CONFIDENCE
BsP6,1,0.9316000000000001,0.605,0.3266000000000001,HIGH_CONFIDENCE
BsP7,2,0.8095172413793105,0.42,0.3895172413793105,HIGH_CONFIDENCE
BsP8,2,0.7821034482758621,0.428,0.3541034482758621,MODERATE_CONFIDENCE
BsP9,2,0.8041379310344826,0.563,0.24113793103448267,MODERATE_CONFIDENCE
BsP10,2,0.6496551724137931,0.609,0.04065517241379313,LOW_CONFIDENCE
BuP1,3,0.8512500000000002,0.576,0.2752500000000002,MODERATE_CONFIDENCE
BuP2,2,0.7626551724137931,0.634,0.1286551724137931,MODERATE_CONFIDENCE
BuP3,1,0.93588,0.605,0.33088000000000006,HIGH_CONFIDENCE
BuP4,1,0.9358399999999999,0.611,0.3248399999999999,HIGH_CONFIDENCE
BuP6,2,0.7973793103448275,0.587,0.21037931034482749,MODERATE_CONFIDENCE
BuP7,2,0.8102758620689655,0.479,0.33127586206896553,HIGH_CONFIDENCE
BuP8,2,0.7456551724137933,0.643,0.1026551724137933,MODERATE_CONFIDENCE
BuP9,2,0.8035172413793102,0.555,0.2485172413793102,MODERATE_CONFIDENCE
TmP1,2,0.6863793103448275,0.314,0.37237931034482746,MODERATE_CONFIDENCE
TmP2,3,0.86925,0.52,0.34924999999999995,HIGH_CONFIDENCE
TmP3,4,0.5874166666666666,0.428,0.1594166666666666,LOW_CONFIDENCE
TmP4,1,0.42375999999999997,0.49,-0.06624000000000002,LOW_CONFIDENCE
TmP5,4,0.8876666666666667,0.419,0.46866666666666673,HIGH_CONFIDENCE
TmP6,2,0.8075172413793104,0.562,0.2455172413793103,MODERATE_CONFIDENCE
TmP7,4,0.5832499999999999,0.354,0.22924999999999995,LOW_CONFIDENCE
TmP8,3,0.7656666666666667,0.384,0.3816666666666667,MODERATE_CONFIDENCE
TmP9,2,0.6803448275862066,0.326,0.3543448275862066,MODERATE_CONFIDENCE
