Plot_ID,Zone,Habitat,Plot_Abundance,Structural_Abundance,DBH_Weighted_Sum,Height_Weighted_Sum,BA_Weighted_Sum,Structural_Coverage_Percent,Estimated_Mean_DBH,Estimated_Mean_Height,Estimated_Mean_Basal_Area_Contribution,Structural_Coverage_Class,Primary_Structural_Eligible,Sensitivity_Structural_Eligible,Structural_Analysis_Tier,Use_Primary_Association,Use_Factorial_Structural,Use_Full_Descriptive,Structural_Use_Class
BmP1,Buffer,Major River,21,21,586.0,555.6,13889.5,100.0,27.904761904761905,26.45714285714286,661.4047619047619,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP1,Buffer,Stream,27,27,784.6999999999999,787.6999999999999,18935.8,100.0,29.06296296296296,29.17407407407407,701.3259259259258,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP10,Buffer,Stream,24,24,726.45,717.8,18517.4,100.0,30.26875,29.90833333333333,771.5583333333334,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP2,Buffer,Stream,20,20,581.2,577.1,14191.5,100.0,29.060000000000002,28.855,709.575,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP3,Buffer,Stream,18,18,511.7,536.0,12168.4,100.0,28.427777777777777,29.77777777777778,676.0222222222222,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP4,Buffer,Stream,36,36,1244.4,1225.6,35618.3,100.0,34.56666666666667,34.044444444444444,989.3972222222224,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP5,Buffer,Stream,20,19,631.05,579.3,18046.2,95.0,33.21315789473684,30.489473684210523,949.8000000000001,HIGH_95_99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP6,Buffer,Stream,20,20,538.9,547.7,12146.1,100.0,26.945,27.385,607.3050000000001,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP7,Buffer,Stream,18,17,544.4,546.6,14488.0,94.44444444444444,32.023529411764706,32.15294117647059,852.2352941176471,GOOD_90_95,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP8,Buffer,Stream,19,18,553.6,550.5,14415.7,94.73684210526316,30.755555555555556,30.583333333333332,800.8722222222223,GOOD_90_95,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BsP9,Buffer,Stream,23,22,660.1,654.9,17606.57,95.65217391304348,30.004545454545454,29.768181818181816,800.2986363636363,HIGH_95_99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BuP1,Buffer,Upland,7,7,183.46,217.5,4402.6,100.0,26.208571428571428,31.071428571428573,628.9428571428572,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BuP7,Buffer,Upland,17,17,473.34999999999997,496.1,11583.0,100.0,27.844117647058823,29.18235294117647,681.3529411764706,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
BuP9,Buffer,Upland,20,18,455.21,508.2,9345.4,90.0,25.28944444444444,28.233333333333334,519.1888888888889,GOOD_90_95,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
